--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	02.10.2001
Test Start Time	20:50:03
Test Stop Date	03.10.2001
Test Stop Time	1:56:34
Test Length	5:06:31
Final Sample Time Offset	5:06:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35(60min), T: 50C(60min), tap water, premixing
Information	WellID	
Information	Customer	Kogalym
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.3%Sulfacel-2+0.1%C-3+0.04%TBF
Information	Density	1900
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	
Information	JobType	146 mm CSG tail slurry
Calculated Value	Thickening_Time	5:02:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	35 MPa
Initial Consistency (Bc)	20 Bc
Final Consistency (Bc)	87 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	2	20
0:01:00	23	3	15
0:02:00	23	3	15
0:03:00	23	4	17
0:04:00	23	4	15
0:05:00	23	5	15
0:06:00	24	6	15
0:07:00	24	6	16
0:08:00	25	7	16
0:09:00	25	7	16
0:10:00	25	8	16
0:11:00	26	8	18
0:12:00	27	9	17
0:13:00	27	9	17
0:14:00	28	10	17
0:15:00	28	11	18
0:16:00	29	11	17
0:17:00	29	12	17
0:18:00	30	12	16
0:19:00	30	13	16
0:20:00	31	13	16
0:21:00	31	14	18
0:22:00	32	15	16
0:23:00	32	15	15
0:24:00	33	15	16
0:25:00	33	16	19
0:26:00	34	16	16
0:27:00	34	17	16
0:28:00	35	18	16
0:29:00	35	18	16
0:30:00	35	19	16
0:31:00	36	19	16
0:32:00	36	20	17
0:33:00	37	21	16
0:34:00	37	21	17
0:35:00	38	21	16
0:36:00	38	22	16
0:37:00	39	23	16
0:38:00	39	23	17
0:39:00	39	23	17
0:40:00	40	24	18
0:41:00	40	25	20
0:42:00	41	25	16
0:43:00	41	26	16
0:44:00	42	26	16
0:45:00	42	27	18
0:46:00	43	27	16
0:47:00	43	28	16
0:48:00	44	28	16
0:49:00	44	29	16
0:50:00	45	30	15
0:51:00	45	30	15
0:52:00	45	31	16
0:53:00	46	31	16
0:54:00	46	32	16
0:55:00	47	33	16
0:56:00	47	33	16
0:57:00	48	34	15
0:58:00	48	34	17
0:59:00	49	35	17
1:00:00	49	35	16
1:01:00	49	35	16
1:02:00	50	35	16
1:03:00	50	35	16
1:04:00	50	35	17
1:05:00	51	35	17
1:06:00	51	35	16
1:07:00	51	35	16
1:08:00	51	35	16
1:09:00	51	35	16
1:10:00	50	35	16
1:11:00	50	35	16
1:12:00	50	35	17
1:13:00	50	35	17
1:14:00	50	35	17
1:15:00	50	35	17
1:16:00	49	35	17
1:17:00	49	35	17
1:18:00	49	35	16
1:19:00	49	35	18
1:20:00	49	35	17
1:21:00	49	36	16
1:22:00	49	36	16
1:23:00	49	36	16
1:24:00	49	36	16
1:25:00	49	36	16
1:26:00	49	36	17
1:27:00	49	36	16
1:28:00	49	36	16
1:29:00	49	36	16
1:30:00	49	36	16
1:31:00	49	36	16
1:32:00	49	36	16
1:33:00	49	36	16
1:34:00	49	36	16
1:35:00	49	36	16
1:36:00	49	36	15
1:37:00	49	36	15
1:38:00	49	36	15
1:39:00	49	36	15
1:40:00	49	36	15
1:41:00	49	36	15
1:42:00	49	36	15
1:43:00	49	36	15
1:44:00	49	36	14
1:45:00	49	36	14
1:46:00	49	36	15
1:47:00	49	36	15
1:48:00	49	36	15
1:49:00	49	36	15
1:50:00	49	36	15
1:51:00	49	36	15
1:52:00	49	36	15
1:53:00	49	36	15
1:54:00	49	36	15
1:55:00	49	36	15
1:56:00	49	36	15
1:57:00	49	36	15
1:58:00	49	36	15
1:59:00	49	36	15
2:00:00	49	36	15
2:01:00	49	36	15
2:02:00	49	36	16
2:03:00	49	36	17
2:04:00	49	36	18
2:05:00	49	36	17
2:06:00	49	36	16
2:07:00	49	36	16
2:08:00	49	36	16
2:09:00	49	36	16
2:10:00	49	36	16
2:11:00	49	36	15
2:12:00	49	36	15
2:13:00	49	36	15
2:14:00	49	36	15
2:15:00	49	36	15
2:16:00	49	36	15
2:17:00	49	36	15
2:18:00	49	36	15
2:19:00	49	36	15
2:20:00	49	36	15
2:21:00	49	36	15
2:22:00	49	36	15
2:23:00	49	36	15
2:24:00	49	36	16
2:25:00	49	36	16
2:26:00	49	36	16
2:27:00	49	36	16
2:28:00	49	36	16
2:29:00	49	36	16
2:30:00	49	36	15
2:31:00	49	36	15
2:32:00	49	36	15
2:33:00	49	36	16
2:34:00	49	36	15
2:35:00	49	36	16
2:36:00	49	36	16
2:37:00	49	36	16
2:38:00	49	36	16
2:39:00	49	36	16
2:40:00	49	36	16
2:41:00	49	36	16
2:42:00	49	36	16
2:43:00	49	36	16
2:44:00	49	36	16
2:45:00	49	36	16
2:46:00	49	36	16
2:47:00	49	36	16
2:48:00	49	36	16
2:49:00	49	36	16
2:50:00	49	36	16
2:51:00	49	36	16
2:52:00	49	36	16
2:53:00	49	36	15
2:54:00	49	36	15
2:55:00	49	36	15
2:56:00	49	36	15
2:57:00	49	36	15
2:58:00	49	36	15
2:59:00	49	36	15
3:00:00	49	36	15
3:01:00	49	36	15
3:02:00	49	36	15
3:03:00	49	36	15
3:04:00	49	36	15
3:05:00	49	36	15
3:06:00	49	36	15
3:07:00	49	36	15
3:08:00	49	36	15
3:09:00	49	36	15
3:10:00	49	36	15
3:11:00	49	36	15
3:12:00	49	36	15
3:13:00	49	36	15
3:14:00	49	36	15
3:15:00	49	36	15
3:16:00	49	36	15
3:17:00	49	36	15
3:18:00	49	36	15
3:19:00	49	36	15
3:20:00	49	36	15
3:21:00	49	36	15
3:22:00	49	36	15
3:23:00	49	36	15
3:24:00	49	36	15
3:25:00	49	36	15
3:26:00	49	36	15
3:27:00	49	36	15
3:28:00	49	36	15
