--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	26.12.2001
Test Start Time	22:10:52
Test Stop Date	27.12.2001
Test Stop Time	10:33:52
Test Length	12:23:00
Final Sample Time Offset	12:23:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa:25(30min) T:50C(30min); tap water, dry blending.
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.2%FL-52+0.45%CFL-80+0.35%CD-32
Information	Density	1900
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	34cc/30min
Information	JobType	Research
Calculated Value	Thickening_Time	8:40:00
Calculated Value	Setting Time	12:23:00
Initial Temperature (°C)	23 °C
Final Temperature (°C)	38 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	100 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	1	19
0:01:00	23	3	18
0:02:00	22	4	13
0:03:00	22	5	14
0:04:00	22	6	13
0:05:00	23	7	17
0:06:00	24	8	18
0:07:00	25	8	27
0:08:00	26	9	20
0:09:00	28	10	19
0:10:00	29	11	17
0:11:00	30	11	30
0:12:00	32	12	20
0:13:00	33	13	20
0:14:00	34	14	24
0:15:00	35	14	21
0:16:00	36	15	21
0:17:00	37	16	20
0:18:00	38	16	15
0:19:00	39	17	18
0:20:00	40	18	17
0:21:00	41	18	15
0:22:00	42	19	19
0:23:00	43	20	16
0:24:00	43	21	18
0:25:00	44	21	14
0:26:00	45	22	24
0:27:00	46	23	17
0:28:00	47	24	31
0:29:00	47	24	41
0:30:00	48	25	33
0:31:00	49	26	20
0:32:00	50	26	24
0:33:00	50	26	18
0:34:00	51	26	20
0:35:00	51	25	21
0:36:00	52	25	16
0:37:00	52	25	13
0:38:00	52	25	21
0:39:00	51	25	13
0:40:00	51	25	11
0:41:00	51	25	23
0:42:00	51	25	15
0:43:00	50	25	16
0:44:00	50	25	15
0:45:00	50	25	11
0:46:00	49	25	14
0:47:00	49	25	12
0:48:00	49	25	11
0:49:00	48	26	11
0:50:00	48	26	10
0:51:00	48	26	11
0:52:00	48	26	11
0:53:00	48	26	11
0:54:00	48	26	11
0:55:00	49	26	11
0:56:00	49	26	11
0:57:00	49	26	11
0:58:00	49	26	11
0:59:00	49	26	11
1:00:00	49	26	12
1:01:00	49	26	12
1:02:00	49	26	12
1:03:00	49	26	12
1:04:00	49	26	12
1:05:00	49	25	12
1:06:00	49	25	12
1:07:00	49	25	12
1:08:00	49	25	12
1:09:00	49	25	12
1:10:00	49	25	12
1:11:00	49	25	12
1:12:00	49	25	12
1:13:00	49	26	12
1:14:00	49	26	12
1:15:00	49	26	12
1:16:00	49	26	12
1:17:00	49	26	12
1:18:00	49	26	12
1:19:00	49	26	12
1:20:00	49	26	12
1:21:00	49	26	12
1:22:00	49	26	12
1:23:00	49	26	12
1:24:00	49	26	12
1:25:00	49	26	12
1:26:00	49	26	12
1:27:00	49	26	12
1:28:00	49	26	12
1:29:00	49	26	12
1:30:00	49	26	12
1:31:00	49	26	12
1:32:00	49	26	12
1:33:00	49	26	12
1:34:00	49	26	12
1:35:00	49	26	12
1:36:00	49	26	12
1:37:00	49	26	12
1:38:00	49	26	12
1:39:00	49	26	12
1:40:00	49	26	12
1:41:00	49	26	12
1:42:00	49	26	12
1:43:00	49	26	12
1:44:00	49	26	12
1:45:00	49	26	12
1:46:00	49	26	12
1:47:00	49	26	12
1:48:00	49	26	12
1:49:00	49	26	12
1:50:00	49	26	12
1:51:00	49	26	12
1:52:00	49	26	12
1:53:00	49	26	12
1:54:00	49	26	12
1:55:00	49	26	12
1:56:00	49	26	12
1:57:00	49	26	12
1:58:00	49	26	12
1:59:00	49	26	12
2:00:00	49	26	12
2:01:00	49	26	12
2:02:00	49	26	12
2:03:00	49	26	12
2:04:00	49	26	12
2:05:00	49	26	12
2:06:00	49	26	12
2:07:00	49	26	12
2:08:00	49	26	12
2:09:00	49	26	12
2:10:00	49	26	12
2:11:00	49	26	12
2:12:00	49	26	12
2:13:00	49	26	12
2:14:00	49	26	12
2:15:00	49	26	12
2:16:00	49	26	12
2:17:00	49	26	12
2:18:00	49	26	12
2:19:00	49	26	12
2:20:00	49	26	12
2:21:00	49	26	12
2:22:00	49	26	12
2:23:00	49	26	12
2:24:00	49	26	12
2:25:00	49	26	12
2:26:00	49	26	12
2:27:00	49	26	12
2:28:00	49	26	12
2:29:00	49	26	12
2:30:00	49	26	12
2:31:00	49	26	12
2:32:00	49	26	12
2:33:00	49	26	12
2:34:00	49	26	12
2:35:00	49	26	12
2:36:00	49	26	12
2:37:00	49	26	12
2:38:00	49	26	12
2:39:00	49	26	12
2:40:00	49	26	12
2:41:00	49	26	12
2:42:00	49	26	12
2:43:00	49	26	12
2:44:00	49	26	12
2:45:00	49	26	12
2:46:00	49	26	12
2:47:00	49	26	12
2:48:00	49	26	12
2:49:00	49	26	12
2:50:00	49	26	12
2:51:00	49	26	12
2:52:00	49	26	12
2:53:00	49	26	12
2:54:00	49	26	12
2:55:00	49	26	12
2:56:00	49	26	12
2:57:00	49	26	12
2:58:00	49	26	12
2:59:00	49	26	12
3:00:00	49	26	12
3:01:00	49	26	12
3:02:00	49	26	12
3:03:00	49	26	12
3:04:00	49	26	12
3:05:00	49	26	12
3:06:00	49	26	12
3:07:00	49	26	12
3:08:00	49	26	12
3:09:00	49	26	12
3:10:00	49	26	12
3:11:00	49	26	12
3:12:00	49	26	12
3:13:00	49	26	12
3:14:00	49	26	12
3:15:00	49	26	12
3:16:00	49	26	12
3:17:00	49	26	12
3:18:00	49	26	12
3:19:00	49	26	12
3:20:00	49	26	12
3:21:00	49	26	12
