--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	08.10.2001
Test Start Time	20:49:18
Test Stop Date	09.10.2001
Test Stop Time	2:05:31
Test Length	5:16:13
Final Sample Time Offset	5:16:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(50min); T: 50C(50min), tap water, premix, with no result
Information	WellID	Pokachevneftegaz
Information	Customer	Kogalym
Information	CementClass	A
Information	CementMfr	Suhoy Log
Information	Additives	16.27%PPB Gel+0.7%Sulfacel-2+1%CaCl2+0.04%TBF
Information	Density	1500
Information	BHCT	50
Information	BHST	55
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	14 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	12 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	14	1	6
0:01:00	14	2	4
0:02:00	15	3	4
0:03:00	15	3	3
0:04:00	15	4	4
0:05:00	15	4	4
0:06:00	15	5	4
0:07:00	16	6	4
0:08:00	17	6	3
0:09:00	17	7	3
0:10:00	18	7	3
0:11:00	19	8	3
0:12:00	20	8	4
0:13:00	21	9	4
0:14:00	22	9	4
0:15:00	23	10	7
0:16:00	24	10	4
0:17:00	25	11	3
0:18:00	26	11	3
0:19:00	27	12	3
0:20:00	27	12	3
0:21:00	28	13	3
0:22:00	29	13	4
0:23:00	30	13	5
0:24:00	31	14	3
0:25:00	31	14	4
0:26:00	32	15	4
0:27:00	33	15	4
0:28:00	33	16	3
0:29:00	34	16	2
0:30:00	35	17	3
0:31:00	35	17	4
0:32:00	36	18	4
0:33:00	37	18	3
0:34:00	37	19	4
0:35:00	38	19	4
0:36:00	39	19	4
0:37:00	39	20	4
0:38:00	40	20	6
0:39:00	41	21	7
0:40:00	41	21	14
0:41:00	42	22	14
0:42:00	43	22	8
0:43:00	44	23	7
0:44:00	45	23	15
0:45:00	45	23	16
0:46:00	46	24	11
0:47:00	47	24	15
0:48:00	48	25	13
0:49:00	48	25	11
0:50:00	49	26	13
0:51:00	50	26	11
0:52:00	50	26	13
0:53:00	51	26	14
0:54:00	51	26	20
0:55:00	52	26	24
0:56:00	52	26	27
0:57:00	52	26	16
0:58:00	52	25	5
0:59:00	52	26	4
1:00:00	52	25	5
1:01:00	52	25	5
1:02:00	52	25	7
1:03:00	52	25	4
1:04:00	52	25	4
1:05:00	52	25	3
1:06:00	51	25	4
1:07:00	51	25	5
1:08:00	51	25	6
1:09:00	51	25	6
1:10:00	50	25	6
1:11:00	50	25	6
1:12:00	50	25	5
1:13:00	50	25	10
1:14:00	50	25	9
1:15:00	50	25	10
1:16:00	49	25	11
1:17:00	49	25	10
1:18:00	49	25	10
1:19:00	49	25	9
1:20:00	49	25	7
1:21:00	49	25	8
1:22:00	49	25	8
1:23:00	49	26	11
1:24:00	49	26	10
1:25:00	49	26	8
1:26:00	49	26	12
1:27:00	49	26	16
1:28:00	49	26	17
1:29:00	50	26	20
1:30:00	50	26	20
1:31:00	50	26	18
1:32:00	50	26	16
1:33:00	50	26	16
1:34:00	50	26	15
1:35:00	50	26	15
1:36:00	50	26	17
1:37:00	50	26	16
1:38:00	50	26	17
1:39:00	50	26	15
1:40:00	50	26	15
1:41:00	50	26	14
1:42:00	50	26	14
1:43:00	50	26	16
1:44:00	50	26	14
1:45:00	50	26	14
1:46:00	50	26	15
1:47:00	50	26	11
1:48:00	50	26	12
1:49:00	50	26	12
1:50:00	50	26	11
1:51:00	50	26	12
1:52:00	50	26	11
1:53:00	50	26	11
1:54:00	50	26	10
1:55:00	50	26	17
1:56:00	50	26	14
1:57:00	50	26	13
1:58:00	49	26	14
1:59:00	50	26	14
2:00:00	49	26	14
2:01:00	50	26	26
2:02:00	50	26	24
2:03:00	50	26	24
2:04:00	49	26	24
2:05:00	50	26	24
2:06:00	49	26	21
2:07:00	50	26	21
2:08:00	50	26	22
2:09:00	50	26	20
2:10:00	50	26	19
2:11:00	50	26	10
