--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	15.12.2001
Test Start Time	21:41:35
Test Stop Date	16.12.2001
Test Stop Time	3:03:05
Test Length	5:21:30
Final Sample Time Offset	5:21:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min), T:50(30min), tap water, dry-blending
Information	WellID	
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.15%LWL+0.35%DIACEL FL
Information	Density	1900
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	452.8 cc/30min
Information	JobType	Research
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	20 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	47 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	20	2	8
0:01:00	20	3	13
0:02:00	20	3	16
0:03:00	20	5	18
0:04:00	20	5	12
0:05:00	21	6	12
0:06:00	21	7	10
0:07:00	22	8	10
0:08:00	23	9	10
0:09:00	24	10	10
0:10:00	25	11	10
0:11:00	26	11	10
0:12:00	27	12	11
0:13:00	28	13	10
0:14:00	29	14	10
0:15:00	31	14	10
0:16:00	32	15	10
0:17:00	33	16	10
0:18:00	35	17	10
0:19:00	36	18	10
0:20:00	37	18	10
0:21:00	38	19	10
0:22:00	40	20	10
0:23:00	41	20	10
0:24:00	42	21	9
0:25:00	43	22	9
0:26:00	45	23	9
0:27:00	46	23	9
0:28:00	47	24	9
0:29:00	48	25	9
0:30:00	49	26	10
0:31:00	50	26	9
0:32:00	51	26	10
0:33:00	52	26	10
0:34:00	52	26	11
0:35:00	53	26	10
0:36:00	53	25	11
0:37:00	54	25	11
0:38:00	54	25	17
0:39:00	54	25	18
0:40:00	54	25	13
0:41:00	53	25	18
0:42:00	53	25	11
0:43:00	53	25	11
0:44:00	52	25	12
0:45:00	52	25	13
0:46:00	52	25	13
0:47:00	51	25	10
0:48:00	51	25	10
0:49:00	51	25	10
0:50:00	51	25	12
0:51:00	50	25	9
0:52:00	50	25	9
0:53:00	50	25	10
0:54:00	50	25	9
0:55:00	49	25	9
0:56:00	49	25	9
0:57:00	49	25	9
0:58:00	49	26	8
0:59:00	49	26	8
1:00:00	49	26	8
1:01:00	49	25	8
1:02:00	49	26	8
1:03:00	49	26	8
1:04:00	49	26	9
1:05:00	49	26	8
1:06:00	49	26	8
1:07:00	49	26	9
1:08:00	49	26	9
1:09:00	49	26	9
1:10:00	49	26	9
1:11:00	49	26	9
1:12:00	49	26	9
1:13:00	49	26	8
1:14:00	49	26	8
1:15:00	49	26	8
1:16:00	49	26	8
1:17:00	49	26	8
1:18:00	49	26	8
1:19:00	49	26	8
1:20:00	49	26	9
1:21:00	49	26	9
1:22:00	49	26	9
1:23:00	49	26	9
1:24:00	49	26	9
1:25:00	49	26	9
1:26:00	49	26	9
1:27:00	49	26	9
1:28:00	49	26	9
1:29:00	49	26	9
1:30:00	49	26	9
1:31:00	49	26	10
1:32:00	49	26	9
1:33:00	49	26	10
1:34:00	49	25	10
1:35:00	49	25	10
1:36:00	49	25	10
1:37:00	49	25	10
1:38:00	49	26	11
1:39:00	49	25	10
1:40:00	49	25	10
1:41:00	49	25	10
1:42:00	49	26	10
1:43:00	49	25	11
1:44:00	49	25	10
1:45:00	49	25	9
1:46:00	49	26	9
1:47:00	49	26	9
1:48:00	49	25	9
1:49:00	49	25	9
1:50:00	49	26	9
1:51:00	49	25	9
1:52:00	49	26	9
1:53:00	49	26	9
1:54:00	49	26	9
1:55:00	49	26	10
1:56:00	49	25	10
1:57:00	49	26	10
1:58:00	49	25	9
1:59:00	49	25	9
2:00:00	49	26	9
2:01:00	49	26	9
2:02:00	49	26	9
2:03:00	49	26	8
2:04:00	49	26	8
2:05:00	49	26	8
2:06:00	49	26	8
2:07:00	49	26	8
2:08:00	49	26	9
2:09:00	49	25	8
2:10:00	49	26	8
2:11:00	49	25	8
2:12:00	49	25	8
2:13:00	49	26	8
2:14:00	49	26	8
2:15:00	49	26	8
2:16:00	49	26	8
2:17:00	49	26	8
2:18:00	49	25	8
2:19:00	49	25	8
2:20:00	49	26	8
2:21:00	49	26	8
2:22:00	49	25	8
2:23:00	49	26	8
2:24:00	49	25	8
2:25:00	49	25	8
2:26:00	49	26	8
2:27:00	49	26	8
2:28:00	49	26	8
2:29:00	49	26	8
2:30:00	49	26	8
2:31:00	49	26	8
2:32:00	49	25	8
2:33:00	49	25	8
2:34:00	49	26	8
2:35:00	49	26	8
2:36:00	49	25	8
2:37:00	49	25	8
2:38:00	49	26	8
2:39:00	49	26	8
2:40:00	49	25	8
2:41:00	49	26	8
2:42:00	49	26	8
2:43:00	49	25	8
2:44:00	49	25	8
2:45:00	49	26	8
2:46:00	49	26	8
2:47:00	49	26	8
2:48:00	49	26	8
2:49:00	49	25	8
2:50:00	49	25	8
2:51:00	49	26	8
2:52:00	49	26	8
2:53:00	49	25	8
2:54:00	49	25	8
2:55:00	49	25	8
2:56:00	49	26	8
2:57:00	49	25	8
2:58:00	49	26	8
2:59:00	49	26	8
3:00:00	49	25	8
3:01:00	49	25	8
3:02:00	49	26	8
3:03:00	49	26	8
3:04:00	49	25	8
3:05:00	49	26	8
3:06:00	49	25	8
3:07:00	49	26	8
3:08:00	49	26	8
3:09:00	49	25	8
3:10:00	49	25	8
3:11:00	49	26	8
3:12:00	49	26	8
3:13:00	49	26	8
3:14:00	49	25	8
3:15:00	49	25	8
3:16:00	49	25	8
3:17:00	49	26	8
3:18:00	49	26	8
3:19:00	49	25	8
3:20:00	49	25	8
3:21:00	49	25	8
3:22:00	49	25	8
3:23:00	49	25	8
3:24:00	49	25	8
3:25:00	49	26	8
3:26:00	49	25	8
3:27:00	49	25	8
3:28:00	49	26	8
3:29:00	49	25	8
3:30:00	49	26	8
3:31:00	49	26	8
3:32:00	49	25	8
3:33:00	49	26	8
3:34:00	49	25	8
3:35:00	49	25	8
3:36:00	49	26	8
3:37:00	49	25	8
3:38:00	49	25	8
3:39:00	49	25	8
3:40:00	49	26	8
3:41:00	49	25	8
3:42:00	49	25	8
3:43:00	49	25	8
3:44:00	49	25	8
3:45:00	49	25	8
3:46:00	49	25	8
3:47:00	49	25	8
3:48:00	49	25	8
3:49:00	49	25	8
3:50:00	49	25	8
3:51:00	49	25	8
3:52:00	49	25	8
3:53:00	49	25	8
3:54:00	49	25	8
3:55:00	49	25	8
3:56:00	49	25	8
3:57:00	49	25	8
3:58:00	49	25	8
3:59:00	49	25	8
4:00:00	49	25	8
4:01:00	49	25	8
4:02:00	49	25	8
4:03:00	49	25	8
4:04:00	49	25	8
4:05:00	49	25	8
4:06:00	49	25	8
4:07:00	49	25	8
4:08:00	49	25	8
4:09:00	49	25	9
4:10:00	49	25	9
4:11:00	49	25	9
4:12:00	49	25	10
4:13:00	49	25	10
4:14:00	49	25	10
4:15:00	49	25	10
4:16:00	49	25	11
4:17:00	49	25	12
4:18:00	49	25	13
4:19:00	49	25	13
4:20:00	49	25	14
4:21:00	49	25	15
4:22:00	49	25	16
4:23:00	49	25	17
4:24:00	49	25	19
4:25:00	49	25	21
4:26:00	49	25	25
4:27:00	49	25	29
4:28:00	49	25	28
4:29:00	49	25	32
4:30:00	49	25	35
4:31:00	49	25	36
4:32:00	49	25	39
4:33:00	49	25	41
4:34:00	49	25	39
4:35:00	49	25	42
4:36:00	49	25	42
4:37:00	49	25	43
4:38:00	49	25	43
4:39:00	49	25	43
4:40:00	49	25	43
4:41:00	49	25	43
4:42:00	49	25	43
4:43:00	49	25	43
4:44:00	49	25	44
4:45:00	49	25	44
4:46:00	49	25	44
4:47:00	49	25	45
4:48:00	49	25	45
4:49:00	49	25	46
4:50:00	49	25	46
4:51:00	49	25	45
4:52:00	49	25	45
4:53:00	49	25	45
4:54:00	49	25	45
4:55:00	49	25	45
4:56:00	49	25	45
4:57:00	49	25	45
4:58:00	49	25	45
4:59:00	49	25	45
5:00:00	49	25	46
5:01:00	49	25	46
5:02:00	49	25	46
5:03:00	49	25	46
5:04:00	49	25	46
5:05:00	49	25	46
5:06:00	49	25	46
5:07:00	49	25	46
5:08:00	49	25	46
5:09:00	49	25	47
5:10:00	49	25	47
5:11:00	49	25	47
5:12:00	49	25	47
5:13:00	49	25	47
5:14:00	49	25	47
5:15:00	49	25	47
5:16:00	49	25	47
5:17:00	49	25	47
5:18:00	49	25	47
5:19:00	49	25	47
5:20:00	49	25	47
5:21:00	49	25	47
