--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	29.11.2001
Test Start Time	21:14:29
Test Stop Date	30.11.2001
Test Stop Time	1:11:17
Test Length	3:56:48
Final Sample Time Offset	3:56:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min); T: 60C(30min); tap water, dry blending.
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.1%TDF-1
Information	Density	1900
Information	BHCT	60
Information	BHST	60
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	3:54:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	59 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	86 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	2	7
0:01:00	21	3	8
0:02:00	21	4	7
0:03:00	22	5	7
0:04:00	22	5	5
0:05:00	22	6	6
0:06:00	23	8	10
0:07:00	24	8	8
0:08:00	25	9	11
0:09:00	26	10	13
0:10:00	27	11	10
0:11:00	29	11	7
0:12:00	30	12	8
0:13:00	32	13	13
0:14:00	34	14	13
0:15:00	36	14	9
0:16:00	38	15	9
0:17:00	40	16	9
0:18:00	42	17	9
0:19:00	44	18	9
0:20:00	45	18	9
0:21:00	47	19	8
0:22:00	48	20	9
0:23:00	50	20	8
0:24:00	51	21	8
0:25:00	53	22	8
0:26:00	54	23	8
0:27:00	55	24	8
0:28:00	57	24	8
0:29:00	58	25	8
0:30:00	59	26	8
0:31:00	60	26	8
0:32:00	61	26	8
0:33:00	62	26	8
0:34:00	63	26	8
0:35:00	64	26	9
0:36:00	64	25	9
0:37:00	65	25	10
0:38:00	65	25	7
0:39:00	65	25	7
0:40:00	64	25	9
0:41:00	64	25	13
0:42:00	64	25	8
0:43:00	63	25	7
0:44:00	63	25	18
0:45:00	62	25	11
0:46:00	62	25	11
0:47:00	61	25	10
0:48:00	61	25	9
0:49:00	61	25	10
0:50:00	60	25	9
0:51:00	60	25	9
0:52:00	60	25	8
0:53:00	59	25	8
0:54:00	59	25	8
0:55:00	59	25	8
0:56:00	59	25	8
0:57:00	59	25	8
0:58:00	59	25	8
0:59:00	59	26	8
1:00:00	59	26	8
1:01:00	59	26	8
1:02:00	59	26	8
1:03:00	59	26	8
1:04:00	59	26	8
1:05:00	59	26	8
1:06:00	59	26	8
1:07:00	59	26	9
1:08:00	59	26	11
1:09:00	60	26	14
1:10:00	60	26	12
1:11:00	60	26	9
1:12:00	60	26	11
1:13:00	60	26	10
1:14:00	60	26	12
1:15:00	60	26	11
1:16:00	60	26	12
1:17:00	60	26	10
1:18:00	60	26	11
1:19:00	60	26	10
1:20:00	60	26	11
1:21:00	60	26	11
1:22:00	60	26	11
1:23:00	60	26	12
1:24:00	60	26	15
1:25:00	60	25	16
1:26:00	59	25	12
1:27:00	59	25	11
1:28:00	59	25	12
1:29:00	59	25	12
1:30:00	59	26	12
1:31:00	59	25	11
1:32:00	59	26	11
1:33:00	59	25	10
1:34:00	59	26	10
1:35:00	59	26	10
1:36:00	59	26	10
1:37:00	59	26	9
1:38:00	59	26	9
1:39:00	59	26	9
1:40:00	59	26	10
1:41:00	59	26	9
1:42:00	59	26	9
1:43:00	59	26	9
1:44:00	59	26	9
1:45:00	59	26	9
1:46:00	59	26	9
1:47:00	59	26	9
1:48:00	59	26	9
1:49:00	59	26	10
1:50:00	59	26	10
1:51:00	59	26	10
