--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	26.10.2001
Test Start Time	23:30:28
Test Stop Date	27.10.2001
Test Stop Time	19:13:38
Test Length	19:43:10
Final Sample Time Offset	19:43:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 40(90min); T: 57C(90min), tap water, dry-blending
Information	WellID	
Information	Customer	Usinsk
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.25%SMS+1.25%TC-101
Information	Density	1300
Information	BHCT	57
Information	BHST	73
Information	FluidLoss	
Information	JobType	244.5 mm csg lead slurry
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	56 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	19 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	22 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2	6
0:01:00	24	2	4
0:02:00	24	3	4
0:03:00	24	3	4
0:04:00	24	4	4
0:05:00			
0:10:00	24	1	7
0:11:00	24	2	6
0:12:00	24	3	7
0:13:00	24	3	6
0:14:00	24	4	8
0:15:00	24	4	6
0:16:00	24	4	6
0:17:00	25	5	6
0:18:00	25	5	7
0:19:00	25	6	5
0:20:00	26	6	5
0:21:00	26	7	6
0:22:00	26	7	3
0:23:00	27	7	4
0:24:00	27	8	4
0:25:00	28	9	3
0:26:00	28	9	3
0:27:00	29	9	3
0:28:00	30	10	3
0:29:00	30	10	3
0:30:00	31	11	3
0:31:00	31	11	3
0:32:00	32	11	3
0:33:00	32	12	5
0:34:00	33	12	4
0:35:00	33	12	4
0:36:00	34	13	3
0:37:00	34	13	3
0:38:00	34	14	3
0:39:00	35	14	3
0:40:00	35	15	3
0:41:00	36	15	5
0:42:00	36	15	4
0:43:00	36	16	5
0:44:00	36	16	5
0:45:00	37	17	5
0:46:00	37	17	4
0:47:00	37	18	4
