--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	20.12.2001
Test Start Time	3:49:09
Test Stop Date	20.12.2001
Test Stop Time	20:13:30
Test Length	16:24:21
Final Sample Time Offset	16:24:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min) T: 50(30min), tap water 
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.15%HE400+0.6%DIACEL FL+0.2%CFR-10
Information	Density	1900
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	30cc/30min
Information	JobType	
Calculated Value	Thickening_Time	2:47:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	23 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	14 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	64 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	1	17
0:01:00	23	2	19
0:02:00	23	3	20
0:03:00	23	4	20
0:04:00	23	5	20
0:05:00	23	6	20
0:06:00	23	7	20
0:07:00	23	8	20
0:08:00	24	9	20
0:09:00	25	10	19
0:10:00	26	10	19
0:11:00	27	11	19
0:12:00	28	12	18
0:13:00	29	13	18
0:14:00	30	13	18
0:15:00	32	14	17
0:16:00	33	15	17
0:17:00	35	16	17
0:18:00	36	16	16
0:19:00	37	17	16
0:20:00	39	18	16
0:21:00	40	19	15
0:22:00	41	19	15
0:23:00	43	20	15
0:24:00	44	20	15
0:25:00	45	21	15
0:26:00	46	22	14
0:27:00	47	23	14
0:28:00	48	23	14
0:29:00	49	24	14
0:30:00	49	25	13
0:31:00	50	26	13
0:32:00	51	26	13
0:33:00	52	26	13
0:34:00	52	26	13
0:35:00	53	26	13
0:36:00	53	25	13
0:37:00	53	25	13
0:38:00	53	25	13
0:39:00	53	25	13
0:40:00	53	25	13
0:41:00	53	25	12
0:42:00	53	25	12
0:43:00	53	25	12
0:44:00	52	25	12
0:45:00	52	25	12
0:46:00	52	25	12
0:47:00	51	25	12
0:48:00	51	25	12
0:49:00	51	25	12
0:50:00	50	25	12
0:51:00	50	25	12
0:52:00	50	25	12
0:53:00	50	25	12
0:54:00	49	25	12
0:55:00	49	25	12
0:56:00	49	25	12
0:57:00	49	25	12
0:58:00	49	25	12
0:59:00	49	26	12
1:00:00	49	25	12
1:01:00	49	26	12
1:02:00	49	26	12
1:03:00	49	26	12
1:04:00	49	26	12
1:05:00	49	26	12
1:06:00	49	26	12
1:07:00	49	26	12
1:08:00	49	26	12
1:09:00	49	26	12
1:10:00	49	26	12
1:11:00	49	26	12
1:12:00	49	26	12
1:13:00	49	26	12
1:14:00	49	26	12
1:15:00	50	26	12
1:16:00	50	26	12
1:17:00	50	26	12
1:18:00	50	26	12
1:19:00	50	26	12
1:20:00	50	26	12
1:21:00	50	26	12
1:22:00	50	26	12
1:23:00	50	26	12
1:24:00	50	26	12
1:25:00	50	26	12
1:26:00	50	26	12
1:27:00	50	26	12
1:28:00	49	26	12
1:29:00	50	26	12
1:30:00	49	26	12
1:31:00	49	26	12
1:32:00	49	26	12
1:33:00	49	26	12
1:34:00	49	26	12
1:35:00	49	26	12
1:36:00	49	26	12
1:37:00	49	26	12
1:38:00	49	26	12
1:39:00	49	26	12
1:40:00	49	26	12
1:41:00	49	26	12
1:42:00	49	26	12
1:43:00	49	26	12
1:44:00	49	26	12
1:45:00	49	26	12
1:46:00	49	26	12
1:47:00	49	26	12
1:48:00	49	26	12
1:49:00	49	26	12
1:50:00	49	26	12
1:51:00	49	26	13
1:52:00	49	26	13
1:53:00	49	26	13
1:54:00	49	26	13
1:55:00	49	26	14
1:56:00	49	26	14
1:57:00	49	26	14
1:58:00	49	26	14
1:59:00	49	26	15
2:00:00	49	26	15
2:01:00	49	26	16
2:02:00	49	25	16
2:03:00	49	26	17
2:04:00	49	26	18
2:05:00	49	26	18
2:06:00	49	25	19
2:07:00	49	25	20
2:08:00	49	25	22
2:09:00	49	26	23
2:10:00	49	25	23
2:11:00	49	26	24
2:12:00	49	25	25
2:13:00	49	25	26
2:14:00	49	25	27
2:15:00	49	25	29
2:16:00	49	25	30
2:17:00	49	25	30
2:18:00	49	25	32
2:19:00	49	25	33
2:20:00	49	25	35
2:21:00	49	25	35
2:22:00	49	25	36
2:23:00	49	25	37
2:24:00	49	25	39
2:25:00	49	25	40
2:26:00	49	25	41
2:27:00	49	25	42
2:28:00	49	25	43
2:29:00	49	25	44
2:30:00	49	25	45
2:31:00	49	25	47
2:32:00	49	25	47
2:33:00	49	25	50
2:34:00	49	25	51
2:35:00	49	25	51
2:36:00	49	25	51
2:37:00	49	25	52
2:38:00	49	25	53
2:39:00	49	25	55
2:40:00	49	25	56
2:41:00	49	25	57
2:42:00	49	25	59
2:43:00	49	25	63
2:44:00	49	25	65
2:45:00	49	25	68
2:46:00	49	25	72
2:47:00	49	25	77
2:48:00	49	25	86
2:49:00	49	25	91
2:50:00	49	25	95
2:51:00	49	25	100
2:52:00	49	25	64
2:53:00	49	25	64
2:54:00	49	25	64
2:55:00	49	25	64
2:56:00	49	25	64
2:57:00	49	25	64
2:58:00	49	25	64
2:59:00	49	25	64
3:00:00	50	25	64
3:01:00	49	25	64
3:02:00	50	25	64
3:03:00	50	25	64
3:04:00	50	25	64
3:05:00	50	25	64
3:06:00	50	25	64
3:07:00	50	25	64
3:08:00	50	25	64
3:09:00	50	25	64
3:10:00	50	25	64
3:11:00	50	25	64
3:12:00	50	25	64
3:13:00	50	25	64
3:14:00	50	25	64
3:15:00	50	25	64
3:16:00	50	25	64
3:17:00	50	25	64
3:18:00	51	25	64
3:19:00	51	25	64
3:20:00	51	25	64
3:21:00	51	25	64
3:22:00	51	25	64
3:23:00	51	25	64
3:24:00	51	25	64
3:25:00	51	25	64
3:26:00	51	25	64
3:27:00	51	25	64
3:28:00	51	25	64
3:29:00	52	25	64
3:30:00	52	25	64
3:31:00	52	25	64
3:32:00	52	25	64
3:33:00	52	25	64
3:34:00	52	25	64
3:35:00	52	25	64
3:36:00	52	25	64
3:37:00	52	25	64
3:38:00	52	25	64
3:39:00	53	25	64
3:40:00	53	25	64
3:41:00	53	25	64
3:42:00	53	25	64
3:43:00	53	25	64
3:44:00	53	25	64
3:45:00	53	25	64
3:46:00	53	25	64
3:47:00	53	25	64
3:48:00	53	25	64
3:49:00	53	25	64
3:50:00	53	25	64
3:51:00	53	25	64
3:52:00	53	25	64
3:53:00	53	25	64
3:54:00	53	25	64
3:55:00	53	25	64
3:56:00	54	25	64
3:57:00	54	25	64
3:58:00	54	25	64
3:59:00	54	25	64
4:00:00	54	25	64
4:01:00	54	25	64
4:02:00	54	25	64
4:03:00	54	25	64
4:04:00	54	25	64
4:05:00	54	25	64
4:06:00	54	25	64
4:07:00	54	25	64
4:08:00	54	25	64
4:09:00	53	25	64
4:10:00	54	25	64
4:11:00	53	25	64
4:12:00	53	25	64
4:13:00	53	25	64
4:14:00	53	25	64
4:15:00	53	25	64
4:16:00	53	25	64
4:17:00	53	25	64
4:18:00	53	25	64
4:19:00	53	25	64
4:20:00	53	25	64
4:21:00	53	25	64
4:22:00	53	25	64
4:23:00	53	25	64
4:24:00	53	25	64
4:25:00	53	25	64
4:26:00	53	25	64
4:27:00	52	25	64
4:28:00	52	25	64
4:29:00	52	25	64
4:30:00	52	25	64
4:31:00	52	25	64
4:32:00	52	25	64
4:33:00	52	25	64
4:34:00	52	25	64
4:35:00	52	25	64
4:36:00	52	25	64
4:37:00	51	25	64
4:38:00	51	25	64
4:39:00	51	25	64
4:40:00	51	25	64
4:41:00	51	25	64
4:42:00	51	25	64
4:43:00	51	25	64
4:44:00	51	25	64
4:45:00	51	25	64
4:46:00	50	25	64
4:47:00	50	25	64
4:48:00	50	25	64
4:49:00	50	25	64
4:50:00	50	25	64
4:51:00	50	25	64
4:52:00	50	25	64
4:53:00	50	25	64
4:54:00	49	25	64
4:55:00	49	25	64
4:56:00	49	25	64
4:57:00	49	25	64
4:58:00	49	25	64
4:59:00	49	25	64
5:00:00	49	25	64
5:01:00	49	25	64
5:02:00	48	25	64
5:03:00	48	25	64
5:04:00	48	25	64
5:05:00	48	25	64
5:06:00	48	25	64
5:07:00	48	25	64
5:08:00	48	25	64
5:09:00	48	25	64
5:10:00	48	25	64
5:11:00	47	25	64
5:12:00	47	25	64
5:13:00	47	25	64
5:14:00	47	25	64
5:15:00	47	25	64
5:16:00	47	25	64
5:17:00	47	25	64
5:18:00	47	25	64
5:19:00	47	25	64
5:20:00	47	25	64
5:21:00	46	25	64
5:22:00	46	25	64
5:23:00	46	25	64
5:24:00	46	25	64
5:25:00	46	25	64
5:26:00	46	25	64
5:27:00	46	25	64
5:28:00	46	25	64
5:29:00	45	25	64
5:30:00	45	25	64
5:31:00	45	25	64
5:32:00	45	25	64
5:33:00	45	25	64
5:34:00	45	25	64
5:35:00	45	25	64
5:36:00	45	25	64
5:37:00	45	25	64
5:38:00	45	25	64
5:39:00	45	25	64
5:40:00	44	25	64
5:41:00	44	25	64
5:42:00	44	25	64
5:43:00	44	25	64
5:44:00	44	25	64
5:45:00	44	25	64
5:46:00	44	25	64
5:47:00	44	25	64
5:48:00	44	25	64
5:49:00	43	25	64
5:50:00	43	25	64
5:51:00	43	25	64
5:52:00	43	25	64
5:53:00	43	25	64
5:54:00	43	25	64
5:55:00	43	25	64
5:56:00	43	25	64
5:57:00	43	25	64
5:58:00	43	25	64
5:59:00	43	25	64
6:00:00	42	26	64
6:01:00	42	25	64
6:02:00	42	25	64
6:03:00	42	25	64
6:04:00	42	25	64
6:05:00	42	25	64
6:06:00	42	25	64
6:07:00	42	25	64
6:08:00	42	25	64
6:09:00	42	25	64
6:10:00	42	25	64
6:11:00	41	25	64
6:12:00	41	25	64
6:13:00	41	25	64
6:14:00	41	25	64
6:15:00	41	26	64
6:16:00	41	25	64
6:17:00	41	25	64
6:18:00	41	25	64
6:19:00	41	25	64
6:20:00	41	25	64
6:21:00	41	25	64
6:22:00	41	25	64
6:23:00	41	25	64
6:24:00	40	25	64
6:25:00	40	25	64
6:26:00	40	25	64
6:27:00	40	25	64
6:28:00	40	25	64
6:29:00	40	25	64
6:30:00	40	26	64
6:31:00	40	25	64
6:32:00	40	25	64
6:33:00	40	25	64
6:34:00	40	25	64
6:35:00	40	25	64
6:36:00	40	25	64
6:37:00	39	25	64
6:38:00	39	25	64
6:39:00	39	25	64
6:40:00	39	25	64
6:41:00	39	25	64
6:42:00	39	25	64
6:43:00	39	25	64
6:44:00	39	25	64
6:45:00	39	25	64
6:46:00	39	25	64
6:47:00	39	26	64
6:48:00	39	25	64
6:49:00	39	25	64
6:50:00	39	25	64
6:51:00	39	25	64
6:52:00	38	25	64
6:53:00	38	25	64
6:54:00	38	25	64
6:55:00	38	25	64
6:56:00	38	25	64
6:57:00	38	25	64
6:58:00	38	25	64
6:59:00	38	25	64
7:00:00	38	25	64
7:01:00	38	25	64
7:02:00	38	25	64
7:03:00	38	25	64
7:04:00	38	25	64
7:05:00	38	25	64
7:06:00	38	25	64
7:07:00	38	25	64
7:08:00	37	25	64
7:09:00	37	25	64
7:10:00	37	25	64
7:11:00	37	25	64
7:12:00	37	25	64
7:13:00	37	25	64
7:14:00	37	25	64
7:15:00	37	26	64
7:16:00	37	25	64
7:17:00	37	25	64
7:18:00	37	25	64
7:19:00	37	25	64
7:20:00	37	25	64
7:21:00	37	25	64
7:22:00	37	25	64
7:23:00	37	25	64
7:24:00	36	25	64
7:25:00	36	25	64
7:26:00	36	25	64
7:27:00	36	25	64
7:28:00	36	25	64
7:29:00	36	25	64
7:30:00	36	25	64
7:31:00	36	25	64
7:32:00	36	25	64
7:33:00	36	25	64
7:34:00	36	25	64
7:35:00	36	25	64
7:36:00	36	25	64
7:37:00	36	25	64
7:38:00	36	25	64
7:39:00	36	25	64
7:40:00	36	25	64
7:41:00	36	25	64
7:42:00	36	25	64
7:43:00	35	25	64
7:44:00	35	25	64
7:45:00	35	25	64
7:46:00	35	25	64
7:47:00	35	25	64
7:48:00	35	25	64
7:49:00	35	25	64
7:50:00	35	25	64
7:51:00	35	25	64
7:52:00	35	25	64
7:53:00	35	25	64
7:54:00	35	25	64
7:55:00	35	25	64
7:56:00	35	26	64
7:57:00	35	25	64
7:58:00	35	25	64
7:59:00	35	25	64
8:00:00	35	25	64
8:01:00	35	25	64
8:02:00	35	25	64
8:03:00	34	25	64
8:04:00	34	25	64
8:05:00	34	25	64
8:06:00	34	25	64
8:07:00	34	25	64
8:08:00	34	25	64
8:09:00	34	25	64
8:10:00	34	25	64
8:11:00	34	25	64
8:12:00	34	25	64
8:13:00	34	25	64
8:14:00	34	25	64
8:15:00	34	25	64
8:16:00	34	25	64
8:17:00	34	25	64
8:18:00	34	25	64
8:19:00	34	25	64
8:20:00	34	25	64
8:21:00	34	25	64
8:22:00	34	25	64
8:23:00	34	25	64
8:24:00	33	25	64
8:25:00	33	25	64
8:26:00	33	25	64
8:27:00	33	25	64
8:28:00	33	25	64
8:29:00	33	25	64
8:30:00	33	25	64
8:31:00	33	25	64
8:32:00	33	25	64
8:33:00	33	25	64
8:34:00	33	25	64
8:35:00	33	25	64
8:36:00	33	25	64
8:37:00	33	25	64
8:38:00	33	25	64
8:39:00	33	25	64
8:40:00	33	25	64
8:41:00	33	25	64
