--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	09.11.2001
Test Start Time	23:00:28
Test Stop Date	10.11.2001
Test Stop Time	2:15:36
Test Length	3:15:08
Final Sample Time Offset	3:15:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min);  T: 40C(30min);  tap water, dry-blending
Information	WellID	
Information	Customer	Sovetsky
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.9%TDF-1
Information	Density	1900
Information	BHCT	40
Information	BHST	
Information	FluidLoss	62cc/30min
Information	JobType	Research
Calculated Value	Thickening_Time	3:13:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	39 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	79 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2	5
0:01:00	25	3	5
0:02:00	25	3	3
0:03:00	25	4	5
0:04:00	25	5	4
0:05:00	25	6	5
0:06:00	25	7	4
0:07:00	25	7	4
0:08:00	26	8	3
0:09:00	26	9	4
0:10:00	27	10	7
0:11:00	28	10	8
0:12:00	28	11	5
0:13:00	29	12	6
0:14:00	30	13	6
0:15:00	30	14	6
0:16:00	31	14	8
0:17:00	32	15	9
0:18:00	33	16	10
0:19:00	33	16	10
0:20:00	34	17	9
0:21:00	34	18	8
0:22:00	35	19	9
0:23:00	36	20	7
0:24:00	36	20	9
0:25:00	37	21	9
0:26:00	37	22	6
0:27:00	38	23	9
0:28:00	38	23	11
0:29:00	38	24	9
0:30:00	39	25	10
0:31:00	39	26	11
0:32:00	40	26	10
0:33:00	40	26	10
0:34:00	40	26	11
0:35:00	41	25	9
0:36:00	41	25	10
0:37:00	41	25	12
0:38:00	41	25	9
0:39:00	41	25	7
0:40:00	41	25	7
0:41:00	41	25	8
0:42:00	40	25	7
0:43:00	40	25	8
0:44:00	40	25	9
0:45:00	40	25	9
0:46:00	40	25	8
0:47:00	40	25	9
0:48:00	40	25	9
0:49:00	39	25	9
0:50:00	39	25	9
0:51:00	39	25	9
0:52:00	39	25	10
0:53:00	39	25	10
0:54:00	39	25	10
0:55:00	39	25	9
0:56:00	39	25	9
0:57:00	39	25	10
0:58:00	39	25	9
0:59:00	39	25	9
1:00:00	39	25	10
1:01:00	39	25	9
1:02:00	39	25	10
1:03:00	39	26	9
1:04:00	39	25	10
1:05:00	39	25	10
1:06:00	39	25	10
1:07:00	39	26	10
1:08:00	39	26	9
1:09:00	39	26	9
1:10:00	39	26	9
1:11:00	39	26	9
1:12:00	39	26	9
1:13:00	39	26	10
1:14:00	39	26	10
1:15:00	39	26	9
1:16:00	39	26	9
1:17:00	39	26	10
1:18:00	39	26	10
1:19:00	39	26	10
1:20:00	39	26	10
1:21:00	39	26	9
1:22:00	39	26	9
1:23:00	39	26	9
1:24:00	39	26	9
1:25:00	39	26	9
1:26:00	39	26	9
1:27:00	39	26	9
1:28:00	39	26	9
1:29:00	39	26	9
1:30:00	39	26	9
1:31:00	39	26	9
1:32:00	39	26	10
1:33:00	39	26	10
1:34:00	39	26	9
1:35:00	39	26	9
1:36:00	39	26	9
1:37:00	39	26	9
1:38:00	39	26	9
1:39:00	39	26	9
1:40:00	39	26	9
1:41:00	39	26	10
1:42:00	39	26	10
1:43:00	39	26	10
1:44:00	39	26	10
1:45:00	39	26	10
1:46:00	39	26	11
1:47:00	39	26	11
1:48:00	39	26	11
1:49:00	39	26	11
1:50:00	39	26	11
1:51:00	39	26	11
1:52:00	39	26	11
1:53:00	39	26	11
1:54:00	39	26	11
1:55:00	39	26	11
1:56:00	39	26	11
1:57:00	39	26	12
1:58:00	39	26	13
1:59:00	39	26	12
2:00:00	39	26	14
2:01:00	39	26	12
2:02:00	39	26	12
2:03:00	39	26	12
2:04:00	39	26	13
2:05:00	39	26	13
2:06:00	39	26	14
2:07:00	39	26	14
2:08:00	39	26	14
2:09:00	39	26	14
2:10:00	39	26	14
2:11:00	39	26	14
2:12:00	39	25	14
2:13:00	39	25	15
2:14:00	39	26	16
2:15:00	39	25	16
2:16:00	39	25	16
2:17:00	39	26	15
2:18:00	39	26	15
2:19:00	39	25	15
2:20:00	39	25	15
2:21:00	39	25	16
2:22:00	39	25	20
2:23:00	39	25	21
2:24:00	39	25	20
2:25:00	39	25	18
2:26:00	39	25	21
2:27:00	39	25	26
2:28:00	39	25	21
2:29:00	39	25	23
2:30:00	39	25	21
2:31:00	39	25	22
2:32:00	39	25	23
2:33:00	39	25	24
2:34:00	39	25	23
2:35:00	39	25	23
2:36:00	39	25	27
2:37:00	39	25	27
2:38:00	39	25	27
2:39:00	39	25	27
2:40:00	39	25	27
2:41:00	39	25	28
2:42:00	39	25	28
2:43:00	39	25	29
2:44:00	39	25	30
2:45:00	39	25	30
2:46:00	39	25	30
2:47:00	39	25	30
2:48:00	39	25	32
2:49:00	39	25	34
2:50:00	39	25	32
2:51:00	39	25	33
2:52:00	39	25	32
2:53:00	39	25	34
2:54:00	39	25	39
2:55:00	39	26	43
2:56:00	39	25	46
2:57:00	39	25	47
