--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	27.08.2002
Test Start Time	18:14:22
Test Stop Date	28.08.2002
Test Stop Time	10:45:02
Test Length	16:30:40
Final Sample Time Offset	16:30:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(40min) T:35(40min), all dry blend, tap water
Information	WellID	
Information	Customer	AGD-Usinsk
Information	CementClass	PCT-II-50
Information	CementMfr	Sukhoy Log
Information	Additives	1%TDF-1+0.2%D-19
Information	Density	1900
Information	BHCT	35
Information	BHST	38
Information	FluidLoss	
Information	JobType	168.3 mm csg Tail slurry
Calculated Value	Thickening_Time	4:20:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	ERROR
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	ERROR
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	ERROR
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1	13
0:01:00	26	2	13
0:02:00	26	3	12
0:03:00	26	3	11
0:04:00	26	4	12
0:05:00	26	4	11
0:06:00	26	5	12
0:07:00	26	6	14
0:08:00	27	6	11
0:09:00	27	7	11
0:10:00	27	7	11
0:11:00	28	8	12
0:12:00	28	8	11
0:13:00	28	9	11
0:14:00	29	9	12
0:15:00	29	10	12
0:16:00	29	11	13
0:17:00	30	11	12
0:18:00	30	12	14
0:19:00	30	12	13
0:20:00	30	13	14
0:21:00	31	14	14
0:22:00	31	14	13
0:23:00	31	15	13
0:24:00	31	15	14
0:25:00	32	16	7
0:26:00	32	16	7
0:27:00	32	17	8
0:28:00	32	18	8
0:29:00	32	18	8
0:30:00	32	19	9
0:31:00	33	20	9
0:32:00	33	20	9
0:33:00	33	21	11
0:34:00	33	21	17
0:35:00	33	22	15
0:36:00	34	22	13
0:37:00	34	23	13
0:38:00	34	23	15
0:39:00	34	24	15
0:40:00	35	25	13
0:41:00	35	25	8
0:42:00	35	25	8
0:43:00	35	25	7
0:44:00	35	25	7
0:45:00	36	25	8
0:46:00	36	25	8
0:47:00	36	25	10
0:48:00	36	25	8
0:49:00	35	25	8
0:50:00	35	25	8
0:51:00	35	25	9
0:52:00	35	25	8
0:53:00	35	25	8
0:54:00	35	25	8
0:55:00	35	25	8
0:56:00	35	25	8
0:57:00	35	25	8
0:58:00	35	25	9
0:59:00	35	25	8
1:00:00	34	25	8
1:01:00	34	25	9
1:02:00	34	25	9
1:03:00	34	25	9
1:04:00	34	25	9
1:05:00	34	25	8
1:06:00	34	25	8
1:07:00	34	26	8
1:08:00	35	25	9
1:09:00	35	25	12
1:10:00	35	25	12
1:11:00	35	25	12
1:12:00	35	25	8
1:13:00	35	25	8
1:14:00	35	25	8
1:15:00	35	25	10
1:16:00	35	25	8
1:17:00	35	25	8
1:18:00	35	25	10
1:19:00	35	25	11
1:20:00	35	25	12
1:21:00	34	25	11
1:22:00	34	25	10
1:23:00	34	25	16
1:24:00	34	25	13
1:25:00	34	25	13
1:26:00	34	25	13
1:27:00	35	25	10
1:28:00	35	25	10
1:29:00	35	25	11
1:30:00	35	25	11
1:31:00	35	25	10
1:32:00	35	25	12
1:33:00	35	25	11
1:34:00	35	25	11
1:35:00	35	25	12
1:36:00	35	25	12
1:37:00	35	25	11
1:38:00	34	25	11
1:39:00	34	25	11
1:40:00	34	25	12
1:41:00	34	25	12
1:42:00	34	25	13
1:43:00	34	25	14
1:44:00	34	25	14
1:45:00	34	25	14
1:46:00	35	25	15
1:47:00	35	25	15
1:48:00	35	25	16
1:49:00	35	25	16
1:50:00	35	25	21
1:51:00	35	25	20
1:52:00	35	25	19
1:53:00	35	25	20
1:54:00	35	25	19
1:55:00	35	25	19
1:56:00	35	25	20
1:57:00	35	25	20
1:58:00	34	25	21
1:59:00	35	25	20
2:00:00	34	25	20
2:01:00	34	25	21
2:02:00	34	25	22
2:03:00	34	25	22
2:04:00	35	25	22
2:05:00	35	25	22
2:06:00	35	25	22
2:07:00	35	25	23
2:08:00	35	25	23
2:09:00	35	25	23
2:10:00	35	25	23
2:11:00	35	25	23
2:12:00	35	25	23
2:13:00	35	25	24
2:14:00	35	25	24
2:15:00	35	25	25
2:16:00	35	25	25
2:17:00	35	25	25
2:18:00	35	25	25
2:19:00	35	25	25
2:20:00	34	25	25
2:21:00	34	25	26
2:22:00	35	25	26
2:23:00	35	25	26
2:24:00	35	25	26
2:25:00	35	25	26
2:26:00	35	25	27
2:27:00	35	25	27
2:28:00	35	25	27
2:29:00	35	25	28
2:30:00	35	25	28
2:31:00	35	25	28
2:32:00	35	25	29
2:33:00	35	25	29
2:34:00	35	25	29
2:35:00	35	25	29
2:36:00	35	25	29
2:37:00	35	25	29
2:38:00	35	25	29
2:39:00	35	25	30
2:40:00	35	25	30
2:41:00	35	25	30
2:42:00	35	25	30
2:43:00	35	25	30
2:44:00	35	25	35
2:45:00	35	25	31
2:46:00	35	25	30
2:47:00	35	25	30
2:48:00	35	25	30
2:49:00	35	25	31
2:50:00	35	25	31
2:51:00	35	25	31
2:52:00	35	25	31
2:53:00	35	25	31
2:54:00	35	25	36
2:55:00	35	25	35
2:56:00	35	24	38
