--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	27.06.2002
Test Start Time	4:15:47
Test Stop Date	27.06.2002
Test Stop Time	19:12:03
Test Length	14:56:16
Final Sample Time Offset	14:56:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPA: 45(50min); T: 70C(30min), 90C(20min), field water, Lignosulf premix
Information	WellID	Khvalynskaya 4
Information	Customer	LUKOIL
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.9%LignoSulf
Information	Density	1950
Information	BHCT	90
Information	BHST	115
Information	FluidLoss	
Information	JobType	PLUG
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	89 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	45 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	22 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2	13
0:01:00	25	3	14
0:02:00	25	4	14
0:03:00	25	6	16
0:04:00	26	7	16
0:05:00	27	7	17
0:06:00	28	8	21
0:07:00	30	9	20
0:08:00	31	10	14
0:09:00	34	11	15
0:10:00	37	12	14
0:11:00	39	12	16
0:12:00	42	13	15
0:13:00	44	13	18
0:14:00	46	14	14
0:15:00	48	15	15
0:16:00	50	16	18
0:17:00	51	17	14
0:18:00	52	18	24
0:19:00	54	19	16
0:20:00	55	20	14
0:21:00	56	20	14
0:22:00	57	21	12
0:23:00	58	22	14
0:24:00	60	23	14
0:25:00	61	24	24
0:26:00	63	25	15
0:27:00	64	26	17
0:28:00	65	26	13
0:29:00	67	27	14
0:30:00	68	28	14
0:31:00	70	29	19
0:32:00	71	30	16
0:33:00	73	31	14
0:34:00	74	32	14
0:35:00	75	33	12
0:36:00	76	33	14
0:37:00	77	34	13
0:38:00	78	35	12
0:39:00	79	36	11
0:40:00	80	37	11
0:41:00	80	38	11
0:42:00	81	39	10
0:43:00	82	40	11
0:44:00	83	40	10
0:45:00	84	41	11
0:46:00	84	42	11
0:47:00	85	43	11
0:48:00	86	44	11
0:49:00	87	45	11
0:50:00	88	46	11
0:51:00	89	46	11
0:52:00	90	46	11
0:53:00	91	46	12
0:54:00	91	46	12
0:55:00	92	45	12
0:56:00	92	45	14
0:57:00	93	45	14
0:58:00	93	45	15
0:59:00	93	45	15
1:00:00	92	45	15
1:01:00	92	45	16
1:02:00	92	45	25
1:03:00	91	45	27
1:04:00	91	45	23
1:05:00	90	45	16
1:06:00	89	45	24
1:07:00	89	45	28
1:08:00	89	46	27
1:09:00	88	46	20
1:10:00	88	46	24
1:11:00	88	46	22
1:12:00	88	46	23
1:13:00	88	46	17
1:14:00	88	46	19
1:15:00	89	46	20
1:16:00	89	46	26
1:17:00	89	46	24
1:18:00	89	46	17
1:19:00	89	46	15
1:20:00	89	46	15
1:21:00	89	46	14
1:22:00	89	46	19
1:23:00	89	46	14
1:24:00	89	46	15
1:25:00	89	46	15
1:26:00	89	46	16
1:27:00	89	46	21
1:28:00	89	46	14
1:29:00	89	46	14
1:30:00	89	46	16
1:31:00	89	46	17
1:32:00	89	46	15
1:33:00	89	46	15
1:34:00	89	46	15
1:35:00	89	46	15
1:36:00	89	46	14
1:37:00	89	46	13
1:38:00	89	46	12
1:39:00	89	46	12
1:40:00	89	46	12
1:41:00	89	46	12
1:42:00	89	46	12
1:43:00	89	46	12
1:44:00	89	46	12
1:45:00	89	46	12
1:46:00	89	46	11
1:47:00	89	46	11
1:48:00	89	46	11
1:49:00	89	46	11
1:50:00	89	46	11
1:51:00	89	46	11
1:52:00	89	46	11
1:53:00	89	46	11
1:54:00	89	46	11
1:55:00	89	46	11
1:56:00	89	46	11
1:57:00	89	46	11
1:58:00	89	46	11
1:59:00	89	46	11
2:00:00	89	46	11
2:01:00	89	46	11
2:02:00	89	46	11
2:03:00	89	46	11
2:04:00	89	46	11
