--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	12.04.2002
Test Start Time	0:47:16
Test Stop Date	12.04.2002
Test Stop Time	7:01:20
Test Length	6:14:04
Final Sample Time Offset	6:14:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 50(30min); T: 80C(30min), 115C(30min); field water, NTF premix
Information	WellID	Khvalynskaya 4
Information	Customer	LUKOIL
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	30%SF+0.15%NTF
Information	Density	1950
Information	BHCT	115
Information	BHST	115
Information	FluidLoss	
Information	JobType	194 mm csg tail slurry
Calculated Value	Thickening_Time	6:10:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	114 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	50 MPa
Initial Consistency (Bc)	18 Bc
Final Consistency (Bc)	80 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2	18
0:01:00	25	4	18
0:02:00	25	5	19
0:03:00	25	7	20
0:04:00	26	9	18
0:05:00	27	11	17
0:06:00	28	12	18
0:07:00	30	14	17
0:08:00	32	16	17
0:09:00	35	17	18
0:10:00	38	19	18
0:11:00	41	20	19
0:12:00	44	21	18
0:13:00	47	23	19
0:14:00	49	25	19
0:15:00	52	26	18
0:16:00	54	28	18
0:17:00	56	29	17
0:18:00	57	31	17
0:19:00	59	32	17
0:20:00	61	34	17
0:21:00	62	36	17
0:22:00	64	37	16
0:23:00	66	39	16
0:24:00	67	40	15
0:25:00	69	42	14
0:26:00	70	44	14
0:27:00	72	45	15
0:28:00	74	47	15
0:29:00	75	49	15
0:30:00	77	50	15
0:31:00	79	51	15
0:32:00	81	51	15
0:33:00	82	51	16
0:34:00	84	51	16
0:35:00	85	51	15
0:36:00	86	51	16
0:37:00	87	51	16
0:38:00	88	51	16
0:39:00	89	51	16
0:40:00	90	51	16
0:41:00	92	51	17
0:42:00	93	51	17
0:43:00	94	51	17
0:44:00	95	51	17
0:45:00	96	51	17
0:46:00	97	51	18
0:47:00	98	51	19
0:48:00	100	51	20
0:49:00	101	51	21
0:50:00	102	51	21
0:51:00	103	51	21
0:52:00	104	51	21
0:53:00	106	51	21
0:54:00	107	51	22
0:55:00	108	51	22
0:56:00	109	51	22
0:57:00	110	51	22
0:58:00	112	51	23
0:59:00	113	51	23
1:00:00	114	51	23
1:01:00	115	51	23
1:02:00	116	51	24
1:03:00	117	51	24
1:04:00	117	51	24
1:05:00	117	51	24
1:06:00	117	51	24
1:07:00	117	51	24
1:08:00	117	51	24
1:09:00	117	50	23
1:10:00	117	50	22
1:11:00	117	50	22
1:12:00	116	50	22
1:13:00	116	50	22
1:14:00	116	50	22
1:15:00	116	50	22
1:16:00	116	50	22
1:17:00	115	50	22
1:18:00	115	50	22
1:19:00	115	50	22
1:20:00	115	50	22
1:21:00	115	50	22
1:22:00	115	50	22
1:23:00	115	50	22
1:24:00	115	50	22
1:25:00	114	50	21
1:26:00	114	50	22
1:27:00	114	51	21
1:28:00	114	51	21
1:29:00	114	51	21
1:30:00	114	51	21
1:31:00	114	51	21
1:32:00	114	51	20
1:33:00	114	51	21
1:34:00	114	51	20
1:35:00	114	51	20
1:36:00	114	51	20
1:37:00	114	51	19
