--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	11.01.2002
Test Start Time	2:35:01
Test Stop Date	11.01.2002
Test Stop Time	5:57:46
Test Length	3:22:45
Final Sample Time Offset	3:22:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 56(40min); T: 78C(40min); tap water, dry blending
Information	WellID	15 / 1237
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.3%TDF-1
Information	Density	1900
Information	BHCT	78
Information	BHST	95
Information	FluidLoss	35cc/30min
Information	JobType	146 mm csg tail slurry
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	77 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	57 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	41 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	1	12
0:01:00	24	3	12
0:02:00	24	5	11
0:03:00	24	6	12
0:04:00	25	8	18
0:05:00	25	9	14
0:06:00	27	11	16
0:07:00	28	12	14
0:08:00	30	13	15
0:09:00	31	15	13
0:10:00	33	16	13
0:11:00	35	17	13
0:12:00	37	19	11
0:13:00	39	20	10
0:14:00	41	21	11
0:15:00	43	22	13
0:16:00	44	24	15
0:17:00	46	25	13
0:18:00	47	26	12
0:19:00	49	28	12
0:20:00	50	29	12
0:21:00	52	30	11
0:22:00	53	31	10
0:23:00	54	33	11
0:24:00	56	34	11
0:25:00	57	36	11
0:26:00	58	37	13
0:27:00	59	38	12
0:28:00	60	40	12
0:29:00	61	41	12
0:30:00	63	42	11
0:31:00	64	44	12
0:32:00	66	45	12
0:33:00	67	46	11
0:34:00	68	48	10
0:35:00	69	49	10
0:36:00	71	50	10
0:37:00	72	52	11
0:38:00	73	53	11
0:39:00	75	54	11
0:40:00	76	56	11
0:41:00	77	57	11
0:42:00	78	56	11
0:43:00	80	56	11
0:44:00	80	56	11
0:45:00	81	56	11
0:46:00	81	56	11
0:47:00	81	56	11
0:48:00	81	56	11
0:49:00	80	56	11
0:50:00	80	56	11
0:51:00	79	56	11
0:52:00	79	56	11
0:53:00	79	56	11
0:54:00	78	56	10
0:55:00	78	56	10
0:56:00	78	56	10
0:57:00	77	56	10
0:58:00	77	56	10
0:59:00	77	56	10
1:00:00	77	57	10
1:01:00	77	57	10
1:02:00	77	57	10
1:03:00	77	57	10
1:04:00	77	57	10
1:05:00	77	57	10
1:06:00	77	56	10
1:07:00	77	57	10
1:08:00	77	57	10
1:09:00	77	57	10
1:10:00	77	57	10
1:11:00	77	57	10
1:12:00	77	57	10
1:13:00	77	57	10
1:14:00	77	57	10
1:15:00	77	57	10
1:16:00	77	57	10
1:17:00	77	57	10
1:18:00	77	57	10
1:19:00	77	57	10
1:20:00	77	57	10
1:21:00	77	57	10
1:22:00	77	57	10
1:23:00	77	57	10
1:24:00	77	57	10
1:25:00	77	57	10
1:26:00	77	57	10
1:27:00	77	57	10
1:28:00	77	57	10
1:29:00	77	57	10
1:30:00	77	57	10
1:31:00	77	57	10
1:32:00	77	57	10
1:33:00	77	57	10
1:34:00	77	57	10
1:35:00	77	57	10
1:36:00	77	57	10
1:37:00	77	57	10
1:38:00	77	57	10
1:39:00	77	57	10
1:40:00	77	57	10
1:41:00	77	57	10
1:42:00	77	57	10
1:43:00	77	57	10
1:44:00	77	57	10
1:45:00	77	57	10
1:46:00	77	57	10
1:47:00	77	57	10
1:48:00	77	57	10
1:49:00	77	57	10
1:50:00	77	57	10
1:51:00	77	57	10
1:52:00	77	57	10
1:53:00	77	57	10
1:54:00	77	57	10
1:55:00	77	57	10
1:56:00	77	57	10
1:57:00	77	57	10
1:58:00	77	57	10
1:59:00	77	57	10
2:00:00	77	57	10
2:01:00	77	57	10
2:02:00	77	57	10
2:03:00	77	57	10
2:04:00	77	57	10
2:05:00	77	57	10
2:06:00	77	57	10
2:07:00	77	57	10
