--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	11.01.2002
Test Start Time	21:08:06
Test Stop Date	12.01.2002
Test Stop Time	1:19:32
Test Length	4:11:26
Final Sample Time Offset	4:11:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 56(40min); T: 78C(40min); tap water, dry blending
Information	WellID	15 / 1237
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.3%TDF-1
Information	Density	1900
Information	BHCT	78
Information	BHST	95
Information	FluidLoss	35cc/30min
Information	JobType	146 mm csg tail slurry
Calculated Value	Thickening_Time	4:08:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	78 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	56 MPa
Initial Consistency (Bc)	18 Bc
Final Consistency (Bc)	120 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	18
0:01:00	24	3	17
0:02:00	24	5	16
0:03:00	24	6	14
0:04:00	24	8	15
0:05:00	25	10	15
0:06:00	26	11	15
0:07:00	28	12	14
0:08:00	29	14	13
0:09:00	31	15	12
0:10:00	33	16	14
0:11:00	36	17	14
0:12:00	38	18	13
0:13:00	40	20	13
0:14:00	42	21	14
0:15:00	43	22	12
0:16:00	45	24	12
0:17:00	46	25	12
0:18:00	47	26	12
0:19:00	48	28	12
0:20:00	50	29	13
0:21:00	51	30	12
0:22:00	52	32	12
0:23:00	53	33	12
0:24:00	55	34	11
0:25:00	56	36	11
0:26:00	57	37	11
0:27:00	59	38	11
0:28:00	60	40	12
0:29:00	62	41	11
0:30:00	63	42	11
0:31:00	64	44	12
0:32:00	66	45	12
0:33:00	67	46	12
0:34:00	68	48	11
0:35:00	70	49	12
0:36:00	71	50	11
0:37:00	72	52	11
0:38:00	73	53	11
0:39:00	75	55	11
0:40:00	76	56	10
0:41:00	77	57	10
0:42:00	79	57	10
0:43:00	80	56	10
0:44:00	81	56	10
0:45:00	81	56	10
0:46:00	81	56	10
0:47:00	81	56	11
0:48:00	80	56	12
0:49:00	80	56	13
0:50:00	80	56	13
0:51:00	79	56	13
0:52:00	79	56	13
0:53:00	78	56	13
0:54:00	78	56	14
0:55:00	78	56	14
0:56:00	77	56	14
0:57:00	77	57	14
0:58:00	77	57	14
0:59:00	77	57	14
1:00:00	77	57	14
1:01:00	77	56	16
1:02:00	77	57	16
1:03:00	77	57	16
1:04:00	77	57	16
1:05:00	77	57	15
1:06:00	77	57	16
1:07:00	77	57	16
1:08:00	77	57	16
1:09:00	77	57	16
1:10:00	77	57	16
1:11:00	77	57	16
1:12:00	77	57	15
1:13:00	77	56	19
1:14:00	77	57	17
1:15:00	77	57	17
1:16:00	77	57	17
1:17:00	77	57	15
1:18:00	77	57	14
1:19:00	77	57	14
1:20:00	77	57	14
1:21:00	77	57	14
1:22:00	77	57	14
1:23:00	77	57	14
1:24:00	77	57	13
1:25:00	77	57	13
1:26:00	77	57	13
1:27:00	77	57	13
