--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	11.02.2002
Test Start Time	21:02:43
Test Stop Date	12.02.2002
Test Stop Time	2:50:40
Test Length	5:47:57
Final Sample Time Offset	5:47:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 37(50min); T: 80C(40min), 90C(10min); tap water, LignoSulf premix
Information	WellID	Khvalynskaya 4
Information	Customer	Lukoil
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	10%SF+5.5%MS+0.35%LignoSulf ( bwodb)
Information	Density	1550
Information	BHCT	90
Information	BHST	118
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	5:45:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	89 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	37 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	102 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	1	10
0:01:00	22	3	9
0:02:00	22	3	10
0:03:00	23	4	9
0:04:00	23	5	9
0:05:00	24	6	9
0:06:00	25	6	9
0:07:00	27	7	9
0:08:00	28	8	10
0:09:00	31	8	9
0:10:00	33	9	10
0:11:00	35	10	10
0:12:00	38	11	10
0:13:00	40	11	10
0:14:00	42	12	11
0:15:00	43	13	11
0:16:00	45	13	11
0:17:00	46	14	12
0:18:00	47	15	14
0:19:00	49	15	17
0:20:00	50	16	15
0:21:00	51	17	13
0:22:00	52	18	19
0:23:00	53	18	13
0:24:00	55	19	14
0:25:00	56	19	15
0:26:00	57	20	13
0:27:00	59	21	17
0:28:00	60	22	15
0:29:00	62	22	16
0:30:00	63	23	14
0:31:00	65	24	13
0:32:00	67	25	13
0:33:00	68	25	12
0:34:00	70	26	13
0:35:00	71	27	13
0:36:00	73	27	12
0:37:00	74	28	13
0:38:00	76	29	13
0:39:00	77	29	13
0:40:00	78	30	14
0:41:00	80	31	14
0:42:00	81	32	14
0:43:00	82	32	14
0:44:00	84	33	14
0:45:00	85	34	15
0:46:00	86	34	16
0:47:00	86	35	15
0:48:00	87	36	16
0:49:00	88	36	16
0:50:00	89	37	16
0:51:00	90	37	17
0:52:00	91	37	17
