--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	05.04.2002
Test Start Time	1:38:40
Test Stop Date	05.04.2002
Test Stop Time	5:27:50
Test Length	3:49:10
Final Sample Time Offset	3:49:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(50min); T: 50C(50min); dry-blending, tap water;
Rheology testing demonstrated that settling and channeling take place, i.e. the slurrydoes not sutisfy requirements.
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.35%Diacel FL+0.70%Daxad-19
Information	Density	1900
Information	BHCT	50
Information	BHST	62
Information	FluidLoss	86cc/30min @50C
Information	JobType	Research
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	86 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	12
0:01:00	24	3	15
0:02:00	24	4	17
0:03:00	24	4	14
0:04:00	24	5	13
0:05:00	25	6	13
0:06:00	26	8	14
0:07:00	26	8	13
0:08:00	28	9	14
0:09:00	29	10	15
0:10:00	30	11	14
0:11:00	31	11	20
0:12:00	32	12	15
0:13:00	34	12	15
0:14:00	35	13	14
0:15:00	36	14	13
0:16:00	37	14	16
0:17:00	38	15	12
0:18:00	39	16	14
0:19:00	40	17	12
0:20:00	41	18	14
0:21:00	42	18	13
0:22:00	43	19	11
0:23:00	43	20	15
0:24:00	44	20	13
0:25:00	45	21	15
0:26:00	45	22	15
0:27:00	46	23	12
0:28:00	47	24	14
0:29:00	47	24	14
0:30:00	48	25	11
0:31:00	49	26	9
0:32:00	50	26	10
0:33:00	50	26	10
0:34:00	51	25	10
0:35:00	51	25	11
0:36:00	51	25	12
0:37:00	51	25	11
0:38:00	51	25	11
0:39:00	51	25	10
0:40:00	50	25	11
0:41:00	50	25	11
0:42:00	50	25	10
0:43:00	49	25	10
0:44:00	49	25	9
0:45:00	49	25	9
0:46:00	49	26	9
0:47:00	48	26	9
0:48:00	48	26	9
0:49:00	48	26	9
0:50:00	48	26	10
0:51:00	48	26	10
0:52:00	48	26	9
0:53:00	48	26	9
0:54:00	49	26	9
0:55:00	49	26	9
0:56:00	49	26	9
0:57:00	49	26	9
0:58:00	49	26	9
0:59:00	49	26	9
1:00:00	49	26	9
1:01:00	49	26	9
1:02:00	49	26	9
1:03:00	49	26	10
1:04:00	49	26	9
1:05:00	49	26	9
1:06:00	49	26	9
1:07:00	49	26	9
1:08:00	49	26	9
1:09:00	49	26	9
1:10:00	49	26	9
1:11:00	49	26	9
1:12:00	49	26	9
1:13:00	49	26	9
1:14:00	49	26	9
1:15:00	49	26	9
1:16:00	49	26	9
1:17:00	49	26	9
1:18:00	49	26	9
1:19:00	49	26	9
1:20:00	49	26	9
1:21:00	49	26	9
1:22:00	49	26	9
1:23:00	49	26	9
1:24:00	49	26	9
1:25:00	49	26	9
1:26:00	49	26	9
1:27:00	49	26	9
1:28:00	49	26	9
1:29:00	49	26	9
1:30:00	49	26	9
1:31:00	49	26	9
1:32:00	49	26	9
1:33:00	49	26	9
1:34:00	49	26	9
1:35:00	49	26	9
1:36:00	49	26	9
1:37:00	49	26	9
1:38:00	49	26	9
1:39:00	49	26	9
1:40:00	49	26	9
1:41:00	49	26	9
1:42:00	49	26	9
1:43:00	49	26	9
1:44:00	49	26	9
1:45:00	49	26	9
1:46:00	49	26	9
1:47:00	49	26	9
1:48:00	49	26	9
1:49:00	49	26	9
1:50:00	49	26	9
1:51:00	49	26	9
1:52:00	49	26	9
1:53:00	49	26	9
1:54:00	49	26	9
1:55:00	49	26	9
1:56:00	49	26	9
1:57:00	49	26	9
1:58:00	49	26	9
1:59:00	49	26	9
2:00:00	49	26	9
2:01:00	49	26	9
2:02:00	49	26	9
2:03:00	49	26	9
2:04:00	49	26	9
2:05:00	49	26	9
2:06:00	49	26	9
2:07:00	49	26	9
2:08:00	49	26	9
2:09:00	49	26	9
2:10:00	49	26	9
2:11:00	49	26	9
2:12:00	49	26	9
2:13:00	49	26	9
2:14:00	49	26	9
2:15:00	49	26	9
2:16:00	49	26	9
2:17:00	49	26	9
2:18:00	49	26	9
2:19:00	49	26	9
2:20:00	49	26	9
2:21:00	49	26	9
2:22:00	49	26	9
2:23:00	49	26	9
2:24:00	49	26	9
2:25:00	49	26	9
2:26:00	49	26	9
2:27:00	49	26	9
2:28:00	49	26	9
2:29:00	49	26	9
2:30:00	49	26	9
2:31:00	49	26	9
2:32:00	49	26	9
2:33:00	49	26	9
2:34:00	49	26	10
2:35:00	49	26	10
2:36:00	49	26	10
2:37:00	49	26	10
2:38:00	49	26	10
2:39:00	49	26	10
2:40:00	49	26	10
2:41:00	49	26	10
2:42:00	49	26	10
2:43:00	49	26	10
2:44:00	49	26	10
2:45:00	49	26	10
2:46:00	49	26	10
2:47:00	49	26	10
2:48:00	49	26	10
2:49:00	49	26	10
2:50:00	49	26	10
2:51:00	49	26	10
2:52:00	49	25	10
2:53:00	49	25	10
2:54:00	49	25	10
2:55:00	49	25	12
2:56:00	49	25	12
2:57:00	49	25	12
2:58:00	49	25	13
2:59:00	49	25	13
3:00:00	49	25	13
3:01:00	48	25	13
3:02:00	48	25	13
3:03:00	48	25	15
3:04:00	48	26	17
3:05:00	48	26	19
3:06:00	48	26	24
3:07:00	48	26	21
3:08:00	48	26	24
3:09:00	48	26	27
3:10:00	48	26	21
3:11:00	48	26	28
3:12:00	48	26	22
3:13:00	48	26	24
3:14:00	48	26	26
3:15:00	48	26	26
3:16:00	48	26	30
3:17:00	48	26	29
3:18:00	49	26	34
3:19:00	49	26	28
3:20:00	49	26	28
3:21:00	49	26	31
3:22:00	49	26	37
3:23:00	50	25	41
3:24:00	50	25	46
3:25:00	50	25	45
3:26:00	50	25	42
3:27:00	50	25	55
3:28:00	50	25	45
3:29:00	51	25	40
3:30:00	51	25	52
3:31:00	51	25	46
3:32:00	51	25	52
3:33:00	51	25	49
3:34:00	51	25	43
3:35:00	51	25	48
3:36:00	51	25	54
3:37:00	51	25	45
3:38:00	51	25	46
3:39:00	50	25	52
3:40:00	50	25	49
3:41:00	50	25	50
3:42:00	50	25	58
3:43:00	50	25	61
3:44:00	50	25	52
3:45:00	50	25	56
3:46:00	50	25	59
3:47:00	50	25	61
3:48:00	49	25	70
3:49:00	49	25	86
