--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	23.01.2002
Test Start Time	3:53:32
Test Stop Date	23.01.2002
Test Stop Time	7:51:32
Test Length	3:58:00
Final Sample Time Offset	3:58:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min) T:50(30min), Usinsk cement G
Information	WellID	
Information	Customer	Petro-Aliance
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.5%DiacelFL+0.2%CFR-10
Information	Density	1900
Information	BHCT	50
Information	BHST	70
Information	FluidLoss	100cc/20min
Information	JobType	Research
Calculated Value	Thickening_Time	3:20:00
Calculated Value	Setting Time	3:58:00
Initial Temperature (°C)	22 °C
Final Temperature (°C)	52 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	26 Bc
Final Consistency (Bc)	101 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	1	26
0:01:00	23	3	23
0:02:00	23	4	21
0:03:00	23	4	21
0:04:00	23	5	25
0:05:00	24	6	21
0:06:00	24	7	24
0:07:00	25	8	27
0:08:00	26	9	23
0:09:00	27	10	19
0:10:00	28	11	18
0:11:00	29	11	21
0:12:00	30	12	17
0:13:00	32	13	16
0:14:00	33	14	18
0:15:00	34	14	16
0:16:00	35	15	15
0:17:00	36	16	15
0:18:00	38	16	15
0:19:00	39	17	15
0:20:00	40	18	14
0:21:00	41	18	14
0:22:00	42	19	14
0:23:00	43	20	14
0:24:00	44	21	14
0:25:00	45	21	14
0:26:00	45	22	14
0:27:00	46	23	14
0:28:00	47	24	14
0:29:00	47	25	14
0:30:00	48	25	14
0:31:00	49	26	14
0:32:00	49	26	14
0:33:00	50	26	14
0:34:00	51	25	14
0:35:00	51	25	14
0:36:00	52	25	13
0:37:00	52	25	13
0:38:00	52	25	13
0:39:00	52	25	13
0:40:00	52	25	13
0:41:00	51	25	13
0:42:00	51	25	13
0:43:00	50	25	13
0:44:00	50	25	13
