--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	13.06.2002
Test Start Time	23:22:32
Test Stop Date	14.06.2002
Test Stop Time	18:52:29
Test Length	19:29:57
Final Sample Time Offset	19:29:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 60(60min); T: 120C(40min), 140C(20min); tap water, premix HTR-100
Information	WellID	
Information	Customer	LUKOIL
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	30%SF+0.7%HTR-100 bwoc (0.538%bwodb)
Information	Density	1950
Information	BHCT	140
Information	BHST	160
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	7:52:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	35 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	39 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	82 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	2	10
0:01:00	24	3	10
0:02:00	24	4	10
0:03:00	25	6	10
0:04:00	26	8	10
0:05:00	27	9	11
0:06:00	29	10	11
0:07:00	32	10	11
0:08:00	35	11	11
0:09:00	39	12	11
0:10:00	43	13	11
0:11:00	46	14	10
0:12:00	50	15	11
0:13:00	52	15	11
0:14:00	55	17	11
0:15:00	58	18	12
0:16:00	60	18	11
0:17:00	63	19	11
0:18:00	66	20	11
0:19:00	68	21	10
0:20:00	70	22	11
0:21:00	72	23	11
0:22:00	75	24	11
0:23:00	77	25	10
0:24:00	79	26	10
0:25:00	82	27	10
0:26:00	84	28	10
0:27:00	86	29	10
0:28:00	89	30	10
0:29:00	91	31	10
0:30:00	94	32	10
0:31:00	96	33	10
0:32:00	98	34	10
0:33:00	101	35	10
0:34:00	103	36	10
0:35:00	106	37	9
0:36:00	108	38	11
0:37:00	110	39	10
0:38:00	113	40	10
0:39:00	115	41	10
0:40:00	117	42	11
0:41:00	119	43	11
0:42:00	121	44	10
0:43:00	123	45	10
0:44:00	125	45	10
0:45:00	126	46	11
0:46:00	128	47	10
0:47:00	129	47	10
0:48:00	130	48	10
0:49:00	130	49	10
0:50:00	131	50	10
0:51:00	131	52	10
0:52:00	132	52	10
0:53:00	133	53	10
0:54:00	134	54	10
0:55:00	134	55	10
0:56:00	135	56	10
0:57:00	136	57	10
0:58:00	137	58	10
0:59:00	138	59	11
1:00:00	139	60	11
1:01:00	140	61	11
1:02:00	140	61	10
1:03:00	141	61	10
1:04:00	142	61	13
1:05:00	142	61	11
1:06:00	142	60	11
1:07:00	143	60	11
1:08:00	143	60	12
1:09:00	143	60	13
1:10:00	142	60	12
1:11:00	142	60	12
1:12:00	142	60	11
1:13:00	142	60	11
1:14:00	141	60	11
1:15:00	141	60	11
1:16:00	141	60	11
1:17:00	141	60	11
1:18:00	140	60	11
1:19:00	140	60	11
1:20:00	140	60	11
1:21:00	139	60	11
1:22:00	139	60	11
1:23:00	139	60	10
1:24:00	139	61	10
1:25:00	139	61	10
1:26:00	139	61	10
1:27:00	139	61	10
1:28:00	139	61	10
1:29:00	139	60	10
1:30:00	139	60	10
1:31:00	139	60	10
1:32:00	139	60	10
1:33:00	139	60	10
1:34:00	139	61	10
1:35:00	139	61	10
1:36:00	139	61	10
1:37:00	139	61	10
1:38:00	139	61	10
1:39:00	139	61	10
1:40:00	139	61	10
1:41:00	139	61	10
1:42:00	139	61	10
1:43:00	139	61	10
1:44:00	140	61	10
1:45:00	140	61	10
1:46:00	140	61	10
1:47:00	140	61	10
1:48:00	140	61	10
1:49:00	140	61	10
1:50:00	140	60	10
1:51:00	140	60	10
1:52:00	140	60	10
1:53:00	140	60	10
1:54:00	139	60	10
1:55:00	139	60	10
1:56:00	139	60	10
1:57:00	139	60	10
1:58:00	139	60	10
1:59:00	139	60	10
2:00:00	139	60	10
2:01:00	139	60	10
2:02:00	139	60	10
2:03:00	139	61	10
2:04:00	139	61	10
2:05:00	139	61	10
2:06:00	139	61	10
2:07:00	139	61	10
2:08:00	139	61	10
2:09:00	139	61	10
2:10:00	139	61	10
2:11:00	139	61	10
2:12:00	139	61	10
2:13:00	139	61	10
2:14:00	139	61	10
2:15:00	139	61	10
2:16:00	139	61	10
2:17:00	139	61	10
2:18:00	139	61	10
2:19:00	139	61	10
2:20:00	139	61	10
2:21:00	139	61	10
2:22:00	139	61	10
2:23:00	139	61	10
2:24:00	139	61	10
2:25:00	139	61	10
2:26:00	139	61	10
2:27:00	139	61	10
2:28:00	139	61	10
2:29:00	139	61	10
2:30:00	139	61	10
2:31:00	139	61	10
2:32:00	139	61	10
2:33:00	139	61	10
2:34:00	139	61	10
2:35:00	139	61	10
2:36:00	139	61	10
2:37:00	139	61	10
2:38:00	139	61	10
2:39:00	139	61	10
2:40:00	139	61	10
2:41:00	139	61	10
2:42:00	139	61	10
2:43:00	139	61	10
2:44:00	139	61	10
2:45:00	139	61	10
2:46:00	139	61	10
2:47:00	139	61	10
2:48:00	139	61	10
2:49:00	139	61	10
2:50:00	139	61	10
2:51:00	139	61	10
