--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	25.09.2002
Test Start Time	16:54:53
Test Stop Date	26.09.2002
Test Stop Time	8:28:59
Test Length	15:34:06
Final Sample Time Offset	15:34:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 40(100min) T:90(100min), NTF premix, field water, Yield=1.0 m3/t
Information	WellID	Sarmatskaya 1
Information	Customer	LukoilShelf
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	10%SF+4%MS+0.08%bwodb NTF
Information	Density	1650
Information	BHCT	90
Information	BHST	125
Information	FluidLoss	
Information	JobType	245 mm csg lead slurry
Calculated Value	Thickening_Time	7:32:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	35 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	28 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	82 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	1	5
0:01:00	22	2	6
0:02:00	22	2	7
0:03:00	22	3	7
0:04:00	23	3	7
0:05:00	23	4	6
0:06:00	23	5	9
0:07:00	24	5	14
0:08:00	25	5	8
0:09:00	26	6	9
0:10:00	27	6	9
0:11:00	28	7	18
0:12:00	29	7	14
0:13:00	30	7	14
0:14:00	31	7	18
0:15:00	32	7	13
0:16:00	33	8	14
0:17:00	34	8	13
0:18:00	35	8	16
0:19:00	35	9	14
0:20:00	36	9	13
0:21:00	37	10	13
0:22:00	37	10	13
0:23:00	38	10	9
0:24:00	39	11	12
0:25:00	39	11	12
0:26:00	40	11	12
0:27:00	40	12	12
0:28:00	41	12	12
0:29:00	42	13	9
0:30:00	42	13	8
0:31:00	43	13	8
0:32:00	44	14	8
0:33:00	44	14	8
0:34:00	45	14	8
0:35:00	46	15	8
0:36:00	46	15	8
0:37:00	47	16	8
0:38:00	48	16	8
0:39:00	48	16	8
0:40:00	49	17	8
0:41:00	50	17	8
0:42:00	51	17	8
0:43:00	51	18	13
0:44:00	52	18	12
0:45:00	53	19	12
0:46:00	53	19	11
0:47:00	54	19	9
0:48:00	55	20	10
0:49:00	55	20	10
0:50:00	56	21	15
0:51:00	57	21	13
0:52:00	57	21	11
0:53:00	58	22	9
0:54:00	59	22	8
0:55:00	59	22	12
0:56:00	60	23	12
0:57:00	61	23	12
0:58:00	61	24	11
0:59:00	62	24	8
1:00:00	63	24	8
1:01:00	64	25	8
1:02:00	64	25	9
1:03:00	65	25	10
1:04:00	66	26	9
1:05:00	66	26	10
1:06:00	67	27	10
1:07:00	68	27	9
1:08:00	68	28	9
1:09:00	69	28	10
1:10:00	70	28	9
1:11:00	70	29	9
1:12:00	71	29	9
1:13:00	72	30	9
1:14:00	72	30	9
1:15:00	73	30	11
1:16:00	74	31	11
1:17:00	74	31	11
1:18:00	75	31	12
1:19:00	76	32	9
1:20:00	76	32	9
1:21:00	77	33	9
1:22:00	78	33	9
1:23:00	78	34	9
1:24:00	79	34	13
1:25:00	80	34	13
1:26:00	80	35	13
