--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	24.10.2002
Test Start Time	18:24:34
Test Stop Date	25.10.2002
Test Stop Time	1:13:34
Test Length	6:49:00
Final Sample Time Offset	6:49:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 45(50min); T: 65C(30min), 85C(20min), new cement sample
Information	WellID	Sarmatskaya 1
Information	Customer	LukoilShelf
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.06%NTF
Information	Density	1930
Information	BHCT	85
Information	BHST	100
Information	FluidLoss	
Information	JobType	177.8 mm csg tail slurry
Calculated Value	Thickening_Time	6:10:00
Calculated Value	Setting Time	6:49:00
Initial Temperature (°C)	26 °C
Final Temperature (°C)	85 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	45 MPa
Initial Consistency (Bc)	24 Bc
Final Consistency (Bc)	103 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1	24
0:01:00	25	2	22
0:02:00	25	3	12
0:03:00	25	4	15
0:04:00	25	6	18
0:05:00	26	6	18
0:06:00	27	7	18
0:07:00	29	8	16
0:08:00	31	9	11
0:09:00	33	10	11
0:10:00	35	11	11
0:11:00	37	11	18
0:12:00	39	12	19
0:13:00	40	13	15
0:14:00	42	14	11
0:15:00	44	15	13
0:16:00	45	16	15
0:17:00	47	16	14
0:18:00	48	18	16
0:19:00	50	19	13
0:20:00	51	19	13
0:21:00	52	20	13
0:22:00	54	21	14
0:23:00	55	22	14
0:24:00	56	22	15
0:25:00	57	24	14
0:26:00	59	25	12
0:27:00	60	25	12
0:28:00	61	25	11
0:29:00	63	27	15
0:30:00	64	28	14
0:31:00	65	29	13
0:32:00	67	30	13
0:33:00	68	31	13
0:34:00	69	31	13
0:35:00	70	32	13
0:36:00	71	33	12
0:37:00	72	34	14
0:38:00	73	35	13
0:39:00	74	35	15
0:40:00	75	36	14
0:41:00	76	37	15
0:42:00	77	38	15
0:43:00	78	39	14
0:44:00	79	40	14
0:45:00	80	41	14
0:46:00	81	42	14
0:47:00	82	42	15
0:48:00	83	43	14
0:49:00	84	44	14
0:50:00	85	45	14
0:51:00	86	46	15
0:52:00	87	46	15
0:53:00	87	45	15
0:54:00	88	45	14
0:55:00	88	45	15
0:56:00	88	45	14
0:57:00	88	45	15
0:58:00	88	45	15
0:59:00	88	45	15
1:00:00	87	45	14
1:01:00	87	45	15
1:02:00	87	45	15
1:03:00	87	45	15
1:04:00	87	45	15
1:05:00	86	45	15
1:06:00	86	45	16
1:07:00	86	45	15
1:08:00	86	45	16
1:09:00	86	45	15
1:10:00	86	45	15
1:11:00	86	45	15
1:12:00	86	45	16
1:13:00	85	45	16
1:14:00	85	45	16
1:15:00	85	45	16
1:16:00	85	45	15
1:17:00	85	45	15
1:18:00	85	45	15
1:19:00	85	45	15
1:20:00	85	45	15
1:21:00	85	45	15
1:22:00	85	45	15
1:23:00	85	45	15
1:24:00	85	45	15
1:25:00	85	45	15
1:26:00	85	45	15
1:27:00	85	45	15
1:28:00	85	45	15
1:29:00	85	45	16
1:30:00	85	45	15
1:31:00	85	45	15
1:32:00	85	45	15
1:33:00	85	45	15
1:34:00	85	45	15
1:35:00	85	45	15
1:36:00	85	45	15
1:37:00	85	45	15
1:38:00	85	45	15
1:39:00	85	45	15
1:40:00	85	45	15
1:41:00	85	45	15
1:42:00	85	45	15
1:43:00	85	45	15
1:44:00	85	45	15
1:45:00	85	45	15
1:46:00	85	45	15
1:47:00	85	45	15
1:48:00	85	45	17
1:49:00	85	45	17
1:50:00	85	45	17
1:51:00	85	45	17
1:52:00	85	45	17
1:53:00	85	45	17
1:54:00	85	45	17
1:55:00	85	45	17
1:56:00	85	45	16
1:57:00	85	45	16
1:58:00	85	45	16
1:59:00	85	45	16
2:00:00	85	45	16
2:01:00	85	45	22
2:02:00	85	45	22
2:03:00	85	45	22
2:04:00	85	45	22
2:05:00	85	45	22
2:06:00	85	45	22
2:07:00	85	45	22
2:08:00	85	45	22
2:09:00	85	45	22
2:10:00	85	45	22
2:11:00	85	45	22
2:12:00	85	45	22
2:13:00	85	45	22
2:14:00	85	45	25
2:15:00	85	45	25
2:16:00	85	45	25
2:17:00	85	45	25
2:18:00	85	45	25
2:19:00	85	45	25
2:20:00	85	45	37
2:21:00	85	45	32
2:22:00	85	45	31
2:23:00	85	45	31
2:24:00	85	45	32
2:25:00	85	45	32
2:26:00	85	45	32
2:27:00	85	45	32
2:28:00	85	45	32
2:29:00	85	45	32
2:30:00	85	45	32
2:31:00	85	45	32
2:32:00	85	45	32
2:33:00	85	45	32
2:34:00	85	45	33
2:35:00	85	45	32
2:36:00	85	45	32
2:37:00	85	45	32
2:38:00	85	45	32
2:39:00	85	45	32
2:40:00	85	45	32
2:41:00	85	45	32
2:42:00	85	45	33
2:43:00	85	45	33
2:44:00	85	45	34
2:45:00	85	45	35
2:46:00	85	45	34
2:47:00	85	45	35
2:48:00	85	45	34
2:49:00	85	45	35
2:50:00	85	45	35
2:51:00	85	45	35
2:52:00	85	45	35
2:53:00	85	45	35
2:54:00	85	45	35
2:55:00	85	45	35
2:56:00	85	45	35
2:57:00	85	45	34
2:58:00	85	45	35
2:59:00	85	45	35
3:00:00	85	45	34
3:01:00	85	45	38
3:02:00	85	45	38
3:03:00	85	45	38
3:04:00	85	45	38
3:05:00	85	45	38
3:06:00	85	45	38
3:07:00	85	45	38
3:08:00	85	45	38
3:09:00	85	45	38
3:10:00	85	45	38
3:11:00	85	45	38
3:12:00	85	45	38
3:13:00	85	45	38
3:14:00	85	45	42
3:15:00	85	45	45
3:16:00	85	45	44
3:17:00	85	45	44
3:18:00	85	45	44
3:19:00	85	45	43
3:20:00	85	45	43
3:21:00	85	45	43
3:22:00	85	45	43
3:23:00	85	45	43
3:24:00	85	45	43
3:25:00	85	45	43
3:26:00	85	45	43
3:27:00	85	45	46
3:28:00	85	45	45
3:29:00	85	45	48
3:30:00	85	45	43
3:31:00	85	45	44
3:32:00	85	45	49
3:33:00	85	45	48
3:34:00	85	45	47
3:35:00	85	45	46
3:36:00	85	45	42
3:37:00	85	45	45
3:38:00	85	45	48
3:39:00	85	45	48
