--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	24.04.2002
Test Start Time	21:21:51
Test Stop Date	25.04.2002
Test Stop Time	1:50:54
Test Length	4:29:03
Final Sample Time Offset	4:29:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 26(30min); T: 55C(30min); tap water, dry blending
Information	WellID	46/7283
Information	Customer	Sovetsky
Information	CementClass	A
Information	CementMfr	Suhoy Log
Information	Additives	8%PPB Gel+0.7%CFR-3+0.1%LignoCan
Information	Density	1500
Information	BHCT	55
Information	BHST	76
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	54 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	26 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	77 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	2	9
0:01:00	27	3	9
0:02:00	27	4	9
0:03:00	27	4	9
0:04:00	28	6	9
0:05:00	28	7	9
0:06:00	29	8	9
0:07:00	29	9	9
0:08:00	30	9	9
0:09:00	31	10	9
0:10:00	33	11	9
0:11:00	34	12	9
0:12:00	35	13	9
0:13:00	37	13	9
0:14:00	38	14	9
0:15:00	40	14	9
0:16:00	41	15	9
0:17:00	42	16	9
0:18:00	44	16	10
0:19:00	45	17	10
0:20:00	46	18	9
0:21:00	47	19	10
0:22:00	47	20	10
0:23:00	48	20	10
0:24:00	49	21	10
0:25:00	49	22	10
0:26:00	50	23	10
0:27:00	51	24	10
0:28:00	52	24	10
0:29:00	52	25	10
0:30:00	53	26	10
0:31:00	54	27	11
0:32:00	55	27	11
0:33:00	55	27	11
0:34:00	56	26	11
0:35:00	57	26	11
0:36:00	57	26	11
0:37:00	57	26	11
0:38:00	57	26	11
0:39:00	57	26	11
0:40:00	56	26	10
0:41:00	56	26	10
0:42:00	56	26	10
0:43:00	55	26	11
0:44:00	55	26	10
0:45:00	54	26	10
0:46:00	54	26	10
0:47:00	53	26	10
0:48:00	53	27	10
0:49:00	52	27	10
0:50:00	52	27	10
0:51:00	52	27	11
0:52:00	52	27	11
0:53:00	52	27	11
0:54:00	52	27	11
0:55:00	53	27	11
0:56:00	53	27	10
0:57:00	53	27	10
0:58:00	53	27	10
0:59:00	54	27	10
1:00:00	54	27	10
1:01:00	54	27	10
1:02:00	54	27	10
1:03:00	54	27	10
1:04:00	54	27	10
1:05:00	54	27	10
1:06:00	54	27	10
1:07:00	54	27	10
1:08:00	54	27	10
1:09:00	54	27	10
1:10:00	54	27	10
1:11:00	54	27	10
1:12:00	54	27	10
1:13:00	54	27	10
1:14:00	54	27	10
1:15:00	54	27	10
1:16:00	54	27	10
1:17:00	54	27	10
1:18:00	54	27	10
1:19:00	54	27	10
1:20:00	54	27	10
1:21:00	54	27	10
1:22:00	54	27	10
1:23:00	54	27	10
1:24:00	54	27	10
1:25:00	54	27	10
1:26:00	54	27	10
1:27:00	54	27	10
1:28:00	54	27	10
1:29:00	54	27	10
1:30:00	54	27	10
1:31:00	54	27	10
1:32:00	54	27	10
1:33:00	54	27	10
1:34:00	54	27	10
1:35:00	54	27	10
1:36:00	54	27	10
1:37:00	54	27	10
1:38:00	54	27	10
1:39:00	54	27	10
1:40:00	54	27	10
1:41:00	54	27	10
1:42:00	54	27	10
1:43:00	54	27	10
1:44:00	54	27	10
1:45:00	54	27	10
1:46:00	54	27	10
1:47:00	54	27	10
1:48:00	54	27	10
1:49:00	54	27	10
1:50:00	54	27	10
1:51:00	54	27	10
1:52:00	54	27	10
1:53:00	54	27	10
1:54:00	54	27	10
1:55:00	54	27	10
1:56:00	54	27	10
1:57:00	54	27	10
1:58:00	54	27	10
1:59:00	54	27	10
2:00:00	54	27	10
2:01:00	54	27	10
2:02:00	54	27	10
2:03:00	54	27	10
2:04:00	54	27	10
2:05:00	54	27	10
2:06:00	54	27	10
2:07:00	54	27	10
2:08:00	54	27	10
2:09:00	54	27	10
2:10:00	54	27	10
2:11:00	54	27	10
2:12:00	54	27	10
2:13:00	54	27	10
2:14:00	54	27	10
2:15:00	54	27	10
2:16:00	54	27	10
2:17:00	54	27	10
2:18:00	54	27	10
2:19:00	54	27	10
2:20:00	54	27	10
2:21:00	54	27	10
2:22:00	54	27	10
2:23:00	54	27	10
2:24:00	54	27	10
2:25:00	54	27	10
2:26:00	54	27	10
2:27:00	54	27	10
2:28:00	54	27	10
2:29:00	54	27	10
2:30:00	54	27	10
2:31:00	54	27	10
2:32:00	54	27	10
2:33:00	54	27	10
2:34:00	54	27	10
2:35:00	54	27	10
2:36:00	54	27	10
2:37:00	54	27	10
2:38:00	54	27	10
2:39:00	54	27	10
2:40:00	54	27	10
2:41:00	54	27	10
2:42:00	54	27	10
2:43:00	54	27	10
2:44:00	54	27	10
2:45:00	54	27	10
2:46:00	54	27	10
2:47:00	54	27	10
2:48:00	54	27	10
2:49:00	54	27	10
2:50:00	54	27	10
2:51:00	54	27	10
2:52:00	54	27	10
2:53:00	54	27	10
2:54:00	54	27	10
2:55:00	54	27	10
2:56:00	54	27	10
2:57:00	54	27	10
2:58:00	54	27	10
2:59:00	54	27	10
3:00:00	54	27	10
3:01:00	54	27	10
3:02:00	54	27	10
3:03:00	54	27	10
3:04:00	54	27	10
3:05:00	54	27	10
3:06:00	54	27	10
3:07:00	54	27	10
3:08:00	54	27	10
3:09:00	54	27	10
3:10:00	54	27	10
3:11:00	54	27	10
3:12:00	54	27	10
3:13:00	54	27	10
3:14:00	54	27	10
3:15:00	54	27	10
3:16:00	54	27	10
3:17:00	54	27	10
3:18:00	54	27	10
3:19:00	54	27	10
3:20:00	54	27	10
3:21:00	54	27	10
3:22:00	54	27	10
3:23:00	54	27	10
3:24:00	54	27	10
3:25:00	54	27	10
3:26:00	54	27	10
3:27:00	54	27	10
3:28:00	54	27	10
3:29:00	54	27	10
3:30:00	54	27	10
3:31:00	54	27	11
3:32:00	54	27	11
3:33:00	54	27	12
3:34:00	54	27	12
3:35:00	54	27	12
3:36:00	54	27	12
3:37:00	54	27	12
3:38:00	54	27	12
3:39:00	54	27	13
3:40:00	54	27	13
3:41:00	54	27	13
3:42:00	54	27	14
3:43:00	54	26	14
3:44:00	54	26	15
3:45:00	54	26	15
3:46:00	54	26	15
3:47:00	53	26	15
3:48:00	53	26	15
3:49:00	53	26	18
3:50:00	53	27	18
3:51:00	53	27	22
3:52:00	53	27	24
3:53:00	53	27	26
3:54:00	53	27	28
3:55:00	53	27	30
3:56:00	53	27	32
3:57:00	54	27	33
3:58:00	54	27	34
3:59:00	54	27	36
4:00:00	54	27	37
4:01:00	54	26	39
4:02:00	54	26	41
4:03:00	54	26	43
4:04:00	54	26	45
4:05:00	54	26	47
4:06:00	54	26	48
4:07:00	54	26	50
4:08:00	53	26	51
4:09:00	53	26	52
4:10:00	53	26	53
4:11:00	53	26	54
4:12:00	53	26	54
4:13:00	53	26	55
4:14:00	53	26	56
4:15:00	53	26	56
4:16:00	53	26	57
4:17:00	53	26	57
4:18:00	53	26	57
4:19:00	54	26	57
4:20:00	54	26	57
4:21:00	54	26	57
4:22:00	54	26	57
4:23:00	54	26	61
4:24:00	54	26	61
4:25:00	54	26	61
4:26:00	54	26	61
4:27:00	53	26	61
4:28:00	53	26	60
4:29:00	54	26	77
