--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	15.01.2002
Test Start Time	22:21:55
Test Stop Date	16.01.2002
Test Stop Time	0:19:22
Test Length	1:57:27
Final Sample Time Offset	1:57:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35.6(28min); T: 52(28min)
Information	WellID	Standart API
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	
Information	Density	1900
Information	BHCT	52
Information	BHST	52
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	1:57:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	51 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	36 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	74 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	1	19
0:01:00	27	3	19
0:02:00	28	4	19
0:03:00	28	6	19
0:04:00	28	7	20
0:05:00	29	8	19
0:06:00	30	9	19
0:07:00	30	10	19
0:08:00	31	12	20
0:09:00	32	13	20
0:10:00	33	14	19
0:11:00	34	15	20
0:12:00	36	16	19
0:13:00	37	18	20
0:14:00	38	19	19
0:15:00	39	20	19
0:16:00	40	21	19
0:17:00	41	22	19
0:18:00	42	23	19
0:19:00	43	25	19
0:20:00	44	26	19
0:21:00	45	27	19
0:22:00	45	28	20
0:23:00	46	29	20
0:24:00	47	31	20
0:25:00	48	32	20
0:26:00	49	33	20
0:27:00	49	34	20
0:28:00	50	35	20
0:29:00	51	36	20
0:30:00	52	36	20
0:31:00	52	36	20
0:32:00	53	36	20
0:33:00	53	36	20
0:34:00	53	36	20
0:35:00	53	36	20
0:36:00	53	36	21
0:37:00	53	36	20
0:38:00	53	36	20
0:39:00	53	36	21
0:40:00	52	36	21
0:41:00	52	36	21
0:42:00	52	36	21
0:43:00	51	36	22
0:44:00	51	36	23
0:45:00	51	36	22
0:46:00	51	36	22
0:47:00	51	36	23
0:48:00	51	36	24
0:49:00	51	36	23
0:50:00	51	36	24
0:51:00	51	36	23
0:52:00	51	36	22
0:53:00	51	36	21
0:54:00	51	36	22
0:55:00	51	36	21
0:56:00	51	37	21
0:57:00	51	36	21
0:58:00	51	37	21
0:59:00	51	36	21
1:00:00	51	36	21
1:01:00	51	36	21
1:02:00	51	36	21
1:03:00	51	36	21
1:04:00	51	36	21
1:05:00	51	36	21
1:06:00	51	36	21
1:07:00	51	36	21
1:08:00	51	36	21
1:09:00	51	36	22
1:10:00	51	36	23
1:11:00	51	36	23
1:12:00	51	36	23
1:13:00	51	36	23
1:14:00	51	36	24
1:15:00	51	36	24
1:16:00	51	36	24
1:17:00	51	36	26
1:18:00	51	36	26
1:19:00	51	36	28
1:20:00	51	36	27
1:21:00	51	36	28
1:22:00	51	36	28
1:23:00	51	36	29
1:24:00	51	36	29
1:25:00	51	36	31
1:26:00	51	36	34
1:27:00	51	36	33
1:28:00	51	36	34
1:29:00	51	36	34
1:30:00	51	36	34
1:31:00	51	36	33
1:32:00	51	36	34
1:33:00	51	36	34
1:34:00	51	36	34
1:35:00	51	36	37
1:36:00	50	36	38
1:37:00	51	36	38
1:38:00	51	36	42
1:39:00	51	36	43
1:40:00	51	36	43
1:41:00	51	36	43
1:42:00	51	36	46
1:43:00	51	36	48
1:44:00	51	36	49
1:45:00	51	36	51
1:46:00	51	36	53
1:47:00	51	36	55
1:48:00	51	36	57
1:49:00	51	36	59
1:50:00	51	36	60
1:51:00	51	36	63
1:52:00	51	36	63
1:53:00	51	36	64
1:54:00	51	36	66
1:55:00	51	36	67
1:56:00	51	36	74
1:57:00	51	36	74
