--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	17.08.2002
Test Start Time	17:05:42
Test Stop Date	18.08.2002
Test Stop Time	10:53:57
Test Length	17:48:15
Final Sample Time Offset	17:48:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35(40min) T:65(40min) tap water, all dry blend
Information	WellID	
Information	Customer	TNK
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.2%TDF-1+1%TA-1
Information	Density	1900
Information	BHCT	65
Information	BHST	81
Information	FluidLoss	
Information	JobType	146 mm csg tail slurry
Calculated Value	Thickening_Time	2:37:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	26 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	8 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	55 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	2	9
0:01:00	26	3	9
0:02:00	26	3	9
0:03:00	27	4	9
0:04:00	27	6	9
0:05:00	28	7	9
0:06:00	28	8	10
0:07:00	29	9	10
0:08:00	30	9	10
0:09:00	32	10	10
0:10:00	33	11	10
0:11:00	35	12	10
0:12:00	36	12	10
0:13:00	38	13	9
0:14:00	39	14	10
0:15:00	41	14	10
0:16:00	42	15	9
0:17:00	44	16	10
0:18:00	45	17	10
0:19:00	46	17	10
0:20:00	47	18	10
0:21:00	48	19	10
0:22:00	48	20	10
0:23:00	49	21	10
0:24:00	50	22	10
0:25:00	51	23	10
0:26:00	51	24	10
0:27:00	52	24	10
0:28:00	53	25	10
0:29:00	54	26	10
0:30:00	55	27	10
0:31:00	56	28	10
0:32:00	57	29	10
0:33:00	58	30	10
0:34:00	59	30	10
0:35:00	60	31	10
0:36:00	61	32	10
0:37:00	62	33	10
0:38:00	63	33	10
0:39:00	64	34	10
0:40:00	65	35	10
0:41:00	66	35	10
0:42:00	67	35	9
0:43:00	68	35	9
0:44:00	68	35	9
0:45:00	69	35	9
0:46:00	69	35	10
0:47:00	69	35	10
0:48:00	69	35	10
0:49:00	68	35	10
0:50:00	67	35	10
0:51:00	67	35	9
0:52:00	66	35	10
0:53:00	65	35	10
0:54:00	64	35	10
0:55:00	64	35	10
0:56:00	63	36	10
0:57:00	62	36	10
0:58:00	62	36	10
0:59:00	62	36	10
1:00:00	62	36	10
1:01:00	62	36	10
1:02:00	63	36	10
1:03:00	63	35	10
1:04:00	64	36	10
1:05:00	64	36	10
1:06:00	65	36	10
1:07:00	65	35	10
1:08:00	66	35	10
1:09:00	66	35	10
1:10:00	66	35	10
1:11:00	66	35	10
1:12:00	66	35	10
1:13:00	66	35	10
1:14:00	66	35	10
1:15:00	66	35	10
1:16:00	66	35	10
1:17:00	65	35	10
1:18:00	65	35	10
1:19:00	65	35	10
1:20:00	65	35	10
1:21:00	64	36	10
1:22:00	64	36	10
1:23:00	64	36	10
1:24:00	64	36	10
1:25:00	64	36	10
1:26:00	64	36	10
1:27:00	64	36	11
1:28:00	65	36	11
1:29:00	65	36	11
1:30:00	65	36	10
1:31:00	65	36	10
1:32:00	65	36	10
1:33:00	65	36	10
1:34:00	65	35	11
1:35:00	65	35	11
1:36:00	65	35	11
1:37:00	65	35	11
1:38:00	65	35	11
1:39:00	65	35	11
1:40:00	65	35	11
1:41:00	65	35	11
1:42:00	65	35	11
1:43:00	65	35	11
1:44:00	65	35	11
1:45:00	65	35	11
1:46:00	65	35	11
1:47:00	65	35	12
1:48:00	65	35	12
1:49:00	65	36	12
1:50:00	65	36	13
1:51:00	65	36	14
1:52:00	65	36	14
1:53:00	65	36	14
1:54:00	65	36	14
1:55:00	65	35	14
1:56:00	65	35	15
1:57:00	65	35	15
1:58:00	65	35	16
1:59:00	65	35	18
2:00:00	65	35	18
2:01:00	65	35	19
2:02:00	65	35	21
2:03:00	65	35	21
2:04:00	65	35	21
2:05:00	65	35	22
2:06:00	65	35	21
2:07:00	65	35	24
2:08:00	65	35	24
2:09:00	65	35	25
2:10:00	65	35	29
2:11:00	65	35	36
2:12:00	65	35	34
2:13:00	65	35	39
2:14:00	65	35	33
2:15:00	65	35	34
2:16:00	65	35	36
2:17:00	65	35	36
2:18:00	65	35	37
2:19:00	65	35	39
2:20:00	65	35	42
2:21:00	65	35	44
2:22:00	64	35	45
2:23:00	64	35	46
2:24:00	64	35	47
2:25:00	64	35	48
2:26:00	64	35	56
2:27:00	64	35	55
2:28:00	64	35	57
2:29:00	64	35	68
2:30:00	65	35	59
2:31:00	65	35	68
2:32:00	65	35	67
2:33:00	65	35	69
2:34:00	65	35	68
2:35:00	65	35	69
2:36:00	65	35	72
2:37:00	65	35	74
2:38:00	65	35	79
2:39:00	65	35	83
2:40:00	65	35	80
2:41:00	65	35	80
2:42:00	64	35	84
2:43:00	64	35	92
2:44:00	64	35	66
2:45:00	64	35	50
2:46:00	64	35	50
2:47:00	65	35	51
2:48:00	65	35	50
2:49:00	66	35	52
2:50:00	66	35	50
2:51:00	66	35	52
2:52:00	66	35	52
2:53:00	67	35	51
2:54:00	67	35	51
2:55:00	67	35	48
2:56:00	67	35	50
2:57:00	67	35	50
2:58:00	68	35	51
2:59:00	68	35	50
3:00:00	68	35	51
3:01:00	68	35	50
3:02:00	68	35	49
3:03:00	68	35	50
3:04:00	68	35	50
3:05:00	68	35	51
3:06:00	68	35	51
3:07:00	68	35	51
3:08:00	68	35	50
3:09:00	68	35	50
3:10:00	68	35	49
3:11:00	68	35	50
3:12:00	68	35	50
3:13:00	68	35	49
3:14:00	68	35	50
3:15:00	68	35	51
3:16:00	68	35	51
3:17:00	68	35	52
3:18:00	68	35	52
3:19:00	68	35	52
3:20:00	68	35	52
3:21:00	68	35	52
3:22:00	68	35	52
3:23:00	67	35	52
3:24:00	67	35	52
3:25:00	67	35	53
3:26:00	67	35	52
3:27:00	67	35	52
3:28:00	67	35	52
3:29:00	67	35	52
3:30:00	67	35	52
3:31:00	67	35	52
3:32:00	66	35	52
3:33:00	66	35	52
3:34:00	66	35	52
