--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	08.03.2002
Test Start Time	0:07:03
Test Stop Date	08.03.2002
Test Stop Time	2:20:41
Test Length	2:13:38
Final Sample Time Offset	2:13:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 40(30min); T: 50C(30min); tar water, dry blending 
Information	WellID	
Information	Customer	Usinsk
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%PPB Gel+1.2%SMS+0.1%TR-1
Information	Density	1500
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	48 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	40 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	41 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	10
0:01:00	24	3	8
0:02:00	24	5	8
0:03:00	24	6	8
0:04:00	24	7	8
0:05:00	25	8	9
0:06:00	25	10	9
0:07:00	26	11	8
0:08:00	27	12	11
0:09:00	28	13	16
0:10:00	29	15	9
0:11:00	31	16	11
0:12:00	32	17	14
0:13:00	33	19	23
0:14:00	34	19	15
0:15:00	36	21	25
0:16:00	37	22	8
0:17:00	38	23	8
0:18:00	39	25	7
0:19:00	40	26	7
0:20:00	40	27	7
0:21:00	41	29	7
0:22:00	42	30	7
0:23:00	43	31	7
0:24:00	44	32	7
0:25:00	44	34	7
0:26:00	45	35	7
0:27:00	46	36	7
0:28:00	47	37	7
0:29:00	47	39	7
0:30:00	48	40	28
0:31:00	49	40	26
0:32:00	49	40	38
0:33:00	50	40	12
0:34:00	51	40	27
0:35:00	51	40	31
0:36:00	51	40	18
0:37:00	51	40	36
0:38:00	51	40	16
0:39:00	51	40	22
0:40:00	51	40	27
0:41:00	50	40	12
0:42:00	50	40	42
0:43:00	49	40	16
0:44:00	49	40	18
0:45:00	49	40	14
0:46:00	49	40	9
0:47:00	48	41	8
0:48:00	48	41	8
0:49:00	48	41	8
0:50:00	48	41	8
0:51:00	48	41	8
0:52:00	48	41	8
0:53:00	48	41	9
0:54:00	48	41	10
0:55:00	48	41	10
0:56:00	49	41	10
0:57:00	49	41	10
0:58:00	49	41	10
0:59:00	49	41	11
1:00:00	49	41	11
1:01:00	49	41	11
1:02:00	49	41	11
1:03:00	49	41	11
1:04:00	49	41	11
1:05:00	49	41	11
1:06:00	49	41	11
1:07:00	49	41	11
1:08:00	49	41	11
1:09:00	49	41	11
1:10:00	49	41	11
1:11:00	49	41	11
1:12:00	49	41	11
1:13:00	49	41	11
1:14:00	49	41	11
1:15:00	49	41	11
1:16:00	49	41	11
1:17:00	49	41	11
1:18:00	49	41	11
1:19:00	49	41	11
1:20:00	49	41	11
1:21:00	49	41	11
1:22:00	49	40	11
1:23:00	49	41	11
1:24:00	49	41	12
1:25:00	49	41	12
1:26:00	49	40	12
1:27:00	49	40	12
1:28:00	49	40	12
1:29:00	49	40	12
1:30:00	49	40	12
1:31:00	49	40	12
1:32:00	49	40	12
1:33:00	49	40	12
1:34:00	49	40	12
1:35:00	49	40	13
1:36:00	49	40	13
1:37:00	49	40	13
1:38:00	49	40	13
1:39:00	49	40	14
1:40:00	49	40	14
1:41:00	49	40	14
1:42:00	49	40	14
1:43:00	49	40	14
1:44:00	49	40	15
1:45:00	49	40	15
1:46:00	49	40	15
1:47:00	49	40	15
1:48:00	49	40	16
1:49:00	49	40	16
1:50:00	49	40	16
1:51:00	49	40	16
1:52:00	49	40	17
1:53:00	49	40	17
1:54:00	49	40	18
1:55:00	49	40	18
1:56:00	49	40	18
1:57:00	49	40	18
1:58:00	49	40	18
1:59:00	49	40	18
2:00:00	49	40	19
2:01:00	49	40	20
2:02:00	49	40	20
2:03:00	49	40	20
2:04:00	49	40	20
2:05:00	49	40	20
2:06:00	49	40	22
2:07:00	49	40	22
2:08:00	49	40	45
2:09:00	49	40	81
2:10:00	49	40	40
2:11:00	48	40	36
2:12:00	48	40	55
2:13:00	48	40	41
