--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	22.07.2002
Test Start Time	11:32:56
Test Stop Date	22.07.2002
Test Stop Time	15:36:32
Test Length	4:03:36
Final Sample Time Offset	4:03:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25 (40min) T:35(40min)
Information	WellID	56/4023
Information	Customer	Usinsk
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.8%TDF-1
Information	Density	1900
Information	BHCT	35
Information	BHST	38
Information	FluidLoss	
Information	JobType	168 mm csg Tail slurry
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	37 °C
Initial Pressure (MPa)	0 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	0	14
0:01:00	26	2	14
0:02:00	26	2	15
0:03:00	26	3	13
0:04:00	26	4	13
0:05:00	26	4	14
0:06:00	27	5	14
0:07:00	27	5	14
0:08:00	27	6	14
0:09:00	27	7	14
0:10:00	27	7	14
0:11:00	28	8	13
0:12:00	28	8	13
0:13:00	28	9	12
0:14:00	29	10	12
0:15:00	29	10	12
0:16:00	29	11	14
0:17:00	29	11	14
0:18:00	30	12	14
0:19:00	30	12	14
0:20:00	30	13	12
0:21:00	30	14	13
0:22:00	31	14	15
0:23:00	31	15	13
0:24:00	31	15	13
0:25:00	31	16	14
0:26:00	31	16	15
0:27:00	32	17	15
0:28:00	32	18	15
0:29:00	32	18	14
0:30:00	32	19	15
0:31:00	32	19	15
0:32:00	33	20	15
0:33:00	33	21	14
0:34:00	33	21	15
0:35:00	33	22	16
0:36:00	33	23	17
0:37:00	33	23	16
0:38:00	34	23	16
0:39:00	34	24	15
0:40:00	34	25	16
0:41:00	34	25	15
0:42:00	35	25	14
0:43:00	35	25	14
0:44:00	35	25	14
0:45:00	35	25	15
0:46:00	35	25	15
0:47:00	35	25	15
0:48:00	35	25	15
0:49:00	35	25	15
0:50:00	35	25	15
0:51:00	35	25	15
0:52:00	35	25	15
0:53:00	35	25	17
0:54:00	35	25	17
0:55:00	35	25	17
0:56:00	34	25	17
0:57:00	34	25	16
0:58:00	34	25	16
0:59:00	34	25	16
1:00:00	34	25	16
1:01:00	34	25	14
1:02:00	34	25	14
1:03:00	34	25	14
1:04:00	34	25	14
1:05:00	34	25	14
1:06:00	34	25	14
1:07:00	34	25	14
1:08:00	34	25	15
1:09:00	34	25	14
1:10:00	34	25	15
1:11:00	35	25	15
1:12:00	35	25	14
1:13:00	35	25	15
1:14:00	35	25	14
1:15:00	35	25	17
1:16:00	35	25	15
1:17:00	35	25	17
1:18:00	35	25	14
1:19:00	35	25	14
1:20:00	35	25	14
1:21:00	35	25	16
1:22:00	34	25	15
1:23:00	34	25	14
1:24:00	34	25	15
1:25:00	34	25	14
1:26:00	34	25	15
1:27:00	34	25	14
1:28:00	34	25	14
1:29:00	35	25	15
1:30:00	35	25	15
1:31:00	35	25	15
1:32:00	35	25	16
1:33:00	35	25	15
1:34:00	35	25	14
1:35:00	35	25	16
1:36:00	35	25	16
1:37:00	35	25	17
1:38:00	35	25	16
1:39:00	35	25	15
1:40:00	35	25	16
1:41:00	35	25	16
1:42:00	35	25	16
1:43:00	35	25	16
1:44:00	35	25	16
1:45:00	35	25	15
1:46:00	35	25	17
1:47:00	35	25	18
1:48:00	35	25	18
1:49:00	35	25	19
1:50:00	35	25	19
1:51:00	35	25	19
1:52:00	35	25	18
1:53:00	35	25	18
1:54:00	35	25	18
1:55:00	35	25	18
1:56:00	35	25	20
1:57:00	35	25	18
1:58:00	35	25	17
1:59:00	35	25	17
2:00:00	35	25	18
2:01:00	35	25	18
2:02:00	35	25	18
2:03:00	35	25	18
2:04:00	35	25	18
2:05:00	35	25	18
2:06:00	35	25	18
2:07:00	35	25	18
2:08:00	35	25	18
2:09:00	35	25	19
2:10:00	35	25	18
2:11:00	35	25	18
2:12:00	35	25	18
2:13:00	35	25	18
2:14:00	35	25	18
2:15:00	35	25	18
2:16:00	35	25	18
2:17:00	35	25	18
2:18:00	35	25	18
2:19:00	35	25	19
2:20:00	35	25	18
2:21:00	35	25	18
2:22:00	35	25	18
2:23:00	35	25	18
2:24:00	35	25	18
2:25:00	35	25	19
2:26:00	35	25	19
2:27:00	35	25	19
2:28:00	35	25	19
2:29:00	35	25	19
2:30:00	35	25	19
2:31:00	35	25	19
2:32:00	35	25	19
2:33:00	35	25	21
2:34:00	35	25	21
2:35:00	35	25	22
2:36:00	35	25	22
2:37:00	35	25	22
2:38:00	35	25	22
2:39:00	35	25	23
2:40:00	35	25	23
2:41:00	35	25	23
2:42:00	35	25	23
2:43:00	35	25	23
2:44:00	35	25	24
2:45:00	35	25	24
2:46:00	35	25	24
2:47:00	35	25	24
2:48:00	35	25	25
2:49:00	35	25	25
2:50:00	35	25	25
2:51:00	35	25	25
2:52:00	35	25	26
2:53:00	35	25	26
2:54:00	35	25	26
2:55:00	35	25	27
2:56:00	35	25	27
2:57:00	35	25	26
2:58:00	35	25	27
2:59:00	35	24	27
3:00:00	35	25	27
3:01:00	35	25	28
3:02:00	35	25	29
3:03:00	35	25	29
3:04:00	35	25	31
3:05:00	35	25	34
3:06:00	35	25	34
3:07:00	35	25	32
3:08:00	35	25	31
3:09:00	35	25	32
3:10:00	35	25	31
3:11:00	35	25	31
3:12:00	35	25	32
3:13:00	35	25	32
3:14:00	35	25	32
3:15:00	35	25	32
3:16:00	35	24	33
3:17:00	35	25	33
3:18:00	35	25	33
