--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	24.12.2002
Test Start Time	10:07:56
Test Stop Date	24.12.2002
Test Stop Time	12:56:36
Test Length	2:48:40
Final Sample Time Offset	2:48:40
Controller Schedule Name	
Sampling Period	20 seconds
Comments	MPa: 25(30min), T: 24C(30min), tap water
Information	WellID	
Information	Customer	SeverTek
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.5%Diacel FL+0.5%D-19+3%NaCl
Information	Density	1940
Information	BHCT	24
Information	BHST	26
Information	FluidLoss	55cc/30min
Information	JobType	146 mm csg tail slurry
Calculated Value	30Bc - TT	2:37:40
Calculated Value	70Bc - TT	2:48:40
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	24 °C
Initial Pressure (MPa)	1,8 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	79 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,8	6
0:00:20	24	2,1	6
0:00:40	24	2,5	6
0:01:00	24	2,9	6
0:01:20	24	2,9	6
0:01:40	24	3,3	6
0:02:00	24	3,8	6
0:02:20	23	3,9	6
0:02:40	23	4,0	6
0:03:00	23	4,6	6
0:03:20	23	4,6	6
0:03:40	23	5,1	6
0:04:00	23	5,1	6
0:04:20	23	5,2	6
0:04:40	23	5,8	6
0:05:00	23	5,8	6
0:05:20	23	6,3	6
0:05:40	23	6,5	6
0:06:00	23	7,0	6
0:06:20	23	7,0	6
0:06:40	23	7,0	6
0:07:00	23	7,6	6
0:07:20	23	7,7	6
0:07:40	23	8,2	6
0:08:00	23	8,3	6
0:08:20	23	8,3	6
0:08:40	23	8,8	6
0:09:00	23	8,8	6
0:09:20	24	9,5	6
0:09:40	23	9,4	6
0:10:00	24	10,1	6
0:10:20	24	10,0	6
0:10:40	24	10,5	6
0:11:00	24	10,5	6
0:11:20	24	11,0	6
0:11:40	24	11,1	6
0:12:00	24	11,5	6
0:12:20	24	11,5	6
0:12:40	24	12,1	6
0:13:00	24	12,0	6
0:13:20	24	12,5	6
0:13:40	24	12,5	6
0:14:00	24	12,9	6
0:14:20	24	12,9	6
0:14:40	24	13,3	6
0:15:00	24	13,8	6
0:15:20	24	13,6	6
0:15:40	24	14,1	6
0:16:00	24	14,5	6
0:16:20	24	14,7	6
0:16:40	24	14,8	6
0:17:00	24	15,3	6
0:17:20	24	15,2	6
0:17:40	24	15,6	6
0:18:00	24	16,2	6
0:18:20	24	16,1	6
0:18:40	24	16,5	6
0:19:00	24	16,5	6
0:19:20	24	16,9	6
0:19:40	24	17,2	6
0:20:00	24	17,2	6
0:20:20	24	17,6	6
0:20:40	24	17,8	6
0:21:00	24	17,9	6
0:21:20	24	18,6	6
0:21:40	24	18,5	6
0:22:00	24	19,0	6
0:22:20	24	19,4	6
0:22:40	24	19,4	6
0:23:00	24	19,9	6
0:23:20	24	19,9	6
0:23:40	24	20,3	6
0:24:00	24	20,3	6
0:24:20	24	20,8	6
0:24:40	24	21,2	6
0:25:00	24	21,2	6
0:25:20	24	21,3	6
0:25:40	24	21,8	6
0:26:00	24	22,1	6
0:26:20	24	22,1	6
0:26:40	24	22,3	6
0:27:00	24	22,6	6
0:27:20	24	22,9	6
0:27:40	24	23,1	6
0:28:00	24	23,6	6
0:28:20	24	24,1	6
0:28:40	24	24,0	6
0:29:00	24	24,1	6
0:29:20	24	24,4	6
0:29:40	24	25,0	6
0:30:00	24	25,1	6
0:30:20	24	25,1	6
0:30:40	24	25,1	6
0:31:00	24	25,1	6
0:31:20	24	25,2	6
0:31:40	24	25,2	6
0:32:00	24	25,3	6
0:32:20	24	25,2	6
0:32:40	24	25,2	6
0:33:00	24	25,3	6
0:33:20	24	25,3	6
0:33:40	24	25,3	6
0:34:00	24	25,3	6
0:34:20	24	25,3	6
0:34:40	24	25,4	6
0:35:00	24	25,4	6
0:35:20	24	25,3	6
0:35:40	24	25,3	6
0:36:00	24	25,4	6
0:36:20	24	25,4	6
0:36:40	24	25,2	6
0:37:00	24	25,2	6
0:37:20	24	25,1	6
0:37:40	24	25,1	6
0:38:00	24	25,0	6
0:38:20	24	25,0	6
0:38:40	24	24,9	6
0:39:00	24	25,2	6
0:39:20	24	25,2	6
0:39:40	24	25,1	6
0:40:00	24	25,1	6
0:40:20	24	25,0	6
0:40:40	24	25,0	6
0:41:00	24	25,0	6
0:41:20	24	24,9	6
