--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	26.08.2002
Test Start Time	15:05:32
Test Stop Date	26.08.2002
Test Stop Time	18:57:14
Test Length	3:51:42
Final Sample Time Offset	3:51:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(40) T:47(40), tap water, all dry blend Gel nonbenificiated, SMS anhydrated
Information	WellID	30
Information	Customer	KomiOil-Usinsk
Information	CementClass	PCT-II-50
Information	CementMfr	Sukhoy Log
Information	Additives	1.5%Gel+1.25%SMS+0.1%TR-1
Information	Density	1500
Information	BHCT	47
Information	BHST	57
Information	FluidLoss	
Information	JobType	245 mm csg lead slurry
Calculated Value	Thickening_Time	3:48:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	47 °C
Initial Pressure (MPa)	0 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0	9
0:01:00	23	2	14
0:02:00	23	3	12
0:03:00	23	3	12
0:04:00	23	4	13
0:05:00	23	4	17
0:06:00	24	5	15
0:07:00	24	6	18
0:08:00	25	7	17
0:09:00	26	7	14
0:10:00	27	8	15
0:11:00	27	9	16
0:12:00	28	9	17
0:13:00	29	10	19
0:14:00	30	10	16
0:15:00	31	10	18
0:16:00	32	11	19
0:17:00	33	11	20
0:18:00	34	12	18
0:19:00	34	12	18
0:20:00	35	13	17
0:21:00	36	13	18
0:22:00	36	14	19
0:23:00	37	15	21
0:24:00	37	15	18
0:25:00	38	16	19
0:26:00	38	17	20
0:27:00	39	17	19
0:28:00	39	17	32
0:29:00	40	18	21
0:30:00	40	19	22
0:31:00	41	19	24
0:32:00	41	20	24
0:33:00	42	21	26
0:34:00	43	21	27
0:35:00	43	22	24
0:36:00	44	22	25
0:37:00	44	23	24
0:38:00	45	23	22
0:39:00	46	24	21
0:40:00	46	24	22
0:41:00	47	25	23
0:42:00	48	25	22
0:43:00	48	25	23
0:44:00	49	25	22
0:45:00	49	25	24
0:46:00	49	24	25
0:47:00	49	25	24
0:48:00	49	25	23
0:49:00	49	25	23
0:50:00	49	25	22
0:51:00	48	25	22
0:52:00	48	25	24
0:53:00	47	25	24
0:54:00	47	25	24
0:55:00	47	25	24
0:56:00	46	25	24
0:57:00	46	25	25
0:58:00	46	25	23
0:59:00	46	26	23
1:00:00	45	25	23
1:01:00	45	25	23
1:02:00	46	25	22
1:03:00	46	26	22
1:04:00	46	25	21
1:05:00	46	26	22
1:06:00	46	25	22
1:07:00	46	26	22
1:08:00	47	25	22
1:09:00	47	25	22
1:10:00	47	25	22
1:11:00	47	25	23
1:12:00	47	25	22
1:13:00	47	25	23
1:14:00	47	25	23
1:15:00	47	25	23
1:16:00	47	25	24
1:17:00	47	25	24
1:18:00	47	25	24
1:19:00	47	25	24
1:20:00	47	25	24
1:21:00	47	25	23
1:22:00	47	25	24
1:23:00	47	25	23
1:24:00	47	25	23
1:25:00	46	25	23
1:26:00	46	25	23
1:27:00	46	25	23
1:28:00	46	25	23
1:29:00	46	25	23
1:30:00	46	26	23
1:31:00	46	26	23
1:32:00	46	26	23
1:33:00	46	25	23
1:34:00	46	26	24
1:35:00	46	25	24
1:36:00	47	26	23
1:37:00	47	26	23
1:38:00	47	25	27
1:39:00	47	25	27
1:40:00	47	25	27
1:41:00	47	25	27
1:42:00	47	25	26
1:43:00	47	24	27
1:44:00	47	25	27
1:45:00	47	25	28
1:46:00	47	25	28
1:47:00	47	25	29
1:48:00	47	25	30
1:49:00	46	25	30
1:50:00	46	25	30
1:51:00	46	25	30
1:52:00	46	25	30
1:53:00	46	25	30
1:54:00	46	25	29
1:55:00	46	25	29
1:56:00	46	26	29
1:57:00	46	26	30
1:58:00	46	25	29
1:59:00	47	25	29
2:00:00	47	26	31
2:01:00	47	25	31
2:02:00	47	25	31
2:03:00	47	25	30
2:04:00	47	25	31
2:05:00	47	24	31
2:06:00	47	25	31
2:07:00	47	25	31
2:08:00	47	25	31
2:09:00	47	25	31
2:10:00	47	25	32
2:11:00	47	25	32
2:12:00	46	25	32
2:13:00	46	25	32
2:14:00	46	25	32
2:15:00	46	25	32
2:16:00	46	25	32
2:17:00	46	25	32
2:18:00	46	25	32
2:19:00	46	25	33
2:20:00	46	25	33
2:21:00	47	26	34
2:22:00	47	26	34
2:23:00	47	25	34
2:24:00	47	25	34
2:25:00	47	25	34
2:26:00	47	25	34
2:27:00	47	25	35
2:28:00	47	25	35
2:29:00	47	25	42
2:30:00	47	25	35
2:31:00	47	25	35
2:32:00	47	25	36
2:33:00	46	25	36
2:34:00	46	25	36
2:35:00	46	25	36
2:36:00	46	25	36
2:37:00	46	25	36
2:38:00	46	25	36
2:39:00	46	25	37
2:40:00	46	26	36
2:41:00	46	25	36
2:42:00	47	26	37
2:43:00	47	26	37
2:44:00	47	25	37
2:45:00	47	25	38
2:46:00	47	25	38
2:47:00	47	25	38
2:48:00	47	25	38
2:49:00	47	25	38
2:50:00	47	25	39
2:51:00	47	25	40
2:52:00	47	25	40
2:53:00	47	25	40
2:54:00	47	25	40
2:55:00	46	25	40
2:56:00	46	25	41
2:57:00	46	25	41
2:58:00	46	25	41
2:59:00	46	25	41
3:00:00	46	25	42
3:01:00	46	25	42
3:02:00	46	26	42
3:03:00	46	26	42
3:04:00	47	26	43
3:05:00	47	25	43
3:06:00	47	25	43
3:07:00	47	25	43
3:08:00	47	25	43
3:09:00	47	25	43
3:10:00	47	25	44
3:11:00	47	25	43
3:12:00	47	25	44
3:13:00	47	25	45
3:14:00	47	25	45
3:15:00	47	24	48
3:16:00	47	25	49
3:17:00	47	25	50
3:18:00	46	25	50
3:19:00	46	25	51
3:20:00	46	25	52
3:21:00	46	25	53
3:22:00	46	25	53
3:23:00	46	25	54
3:24:00	46	25	55
3:25:00	46	25	56
3:26:00	47	26	57
3:27:00	47	25	58
3:28:00	47	25	59
3:29:00	47	25	59
3:30:00	47	25	60
3:31:00	47	25	61
3:32:00	47	25	61
3:33:00	47	25	62
3:34:00	47	25	63
3:35:00	47	25	63
3:36:00	47	25	64
3:37:00	47	25	64
3:38:00	47	25	65
3:39:00	46	25	66
3:40:00	46	25	66
3:41:00	46	25	67
3:42:00	46	25	68
3:43:00	46	25	68
3:44:00	46	25	69
3:45:00	46	25	69
3:46:00	46	25	69
3:47:00	47	25	70
3:48:00	47	25	71
3:49:00	47	25	71
3:50:00	47	25	73
3:51:00	47	25	72
