--Test Summary--
Full Path and File Name	
Instrument Name	7222 #1
Instrument Type	Consistometer
Instrument Serial Number	113
Test Start Date	28.11.2002
Test Start Time	15:32:07
Test Stop Date	29.11.2002
Test Stop Time	9:37:30
Test Length	18:05:23
Final Sample Time Offset	18:05:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 15(30min); T: 22C(30min); field water "Cold"; CaCl2 dry-blended
Information	WellID	1
Information	Customer	LukOil Komi
Information	CementClass	PCT-II-50
Information	CementMfr	Far East
Information	Additives	2%CaCl2
Information	Density	1900
Information	BHCT	22
Information	BHST	22
Information	FluidLoss	
Information	JobType	245 mm csg tail slurry
Calculated Value	Thickening_Time	4:15:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	23 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	14 MPa
Initial Consistency (Bc)	24 Bc
Final Consistency (Bc)	51 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1	24
0:01:00	26	2	27
0:02:00	25	3	24
0:03:00	24	3	24
0:04:00	24	3	25
0:05:00	24	4	23
0:06:00	24	4	27
0:07:00	24	5	25
0:08:00	24	5	31
0:09:00	24	5	29
0:10:00	25	6	25
0:11:00	25	6	23
0:12:00	25	7	23
0:13:00	25	8	22
0:14:00	25	8	25
0:15:00	25	8	24
0:16:00	25	8	23
0:17:00	25	9	23
0:18:00	25	10	29
0:19:00	24	10	28
0:20:00	24	10	28
0:21:00	24	11	27
0:22:00	23	11	28
0:23:00	23	12	29
0:24:00	23	12	25
0:25:00	22	12	28
0:26:00	22	13	32
0:27:00	22	13	25
0:28:00	21	14	31
0:29:00	21	14	30
0:30:00	21	15	33
0:31:00	21	15	29
0:32:00	21	15	33
0:33:00	21	15	35
0:34:00	21	15	28
0:35:00	21	15	22
0:36:00	21	15	22
0:37:00	21	15	27
0:38:00	21	15	27
0:39:00	21	15	27
0:40:00	22	15	29
0:41:00	22	15	30
0:42:00	22	15	28
0:43:00	22	15	26
0:44:00	22	15	28
0:45:00	22	15	21
0:46:00	22	14	21
0:47:00	22	14	29
0:48:00	22	15	30
0:49:00	22	15	29
0:50:00	21	15	27
0:51:00	21	15	21
0:52:00	21	15	22
0:53:00	21	15	23
0:54:00	21	15	22
0:55:00	21	14	21
0:56:00	21	15	23
0:57:00	21	15	24
0:58:00	21	15	22
0:59:00	21	15	23
1:00:00	22	15	25
1:01:00	22	15	23
1:02:00	22	15	25
1:03:00	22	15	22
1:04:00	22	15	22
1:05:00	22	14	33
1:06:00	22	15	23
1:07:00	22	14	23
1:08:00	22	15	22
1:09:00	21	15	23
1:10:00	21	15	20
1:11:00	21	15	20
1:12:00	21	15	20
1:13:00	21	15	23
1:14:00	21	15	26
1:15:00	21	15	27
1:16:00	21	15	26
1:17:00	21	15	27
1:18:00	21	15	27
1:19:00	22	15	26
1:20:00	22	15	24
1:21:00	22	15	25
1:22:00	22	15	25
1:23:00	22	15	22
1:24:00	22	15	22
1:25:00	22	15	24
1:26:00	21	15	22
1:27:00	21	15	22
1:28:00	21	15	22
1:29:00	21	15	21
1:30:00	21	15	21
1:31:00	21	15	22
1:32:00	21	15	24
1:33:00	21	15	24
1:34:00	21	15	23
1:35:00	21	15	23
1:36:00	22	15	22
1:37:00	22	15	22
1:38:00	22	15	22
1:39:00	22	15	22
1:40:00	22	15	24
1:41:00	22	14	27
1:42:00	22	15	27
1:43:00	22	15	25
1:44:00	21	15	24
1:45:00	21	15	24
1:46:00	21	15	23
1:47:00	21	15	24
1:48:00	21	15	24
1:49:00	21	15	24
1:50:00	21	15	30
1:51:00	21	15	28
1:52:00	21	15	28
1:53:00	22	15	26
1:54:00	22	15	26
1:55:00	22	15	25
1:56:00	22	15	25
1:57:00	22	15	32
1:58:00	22	15	28
1:59:00	22	15	25
2:00:00	21	15	23
2:01:00	21	15	28
2:02:00	21	15	28
2:03:00	21	15	26
2:04:00	21	15	23
2:05:00	21	15	22
2:06:00	21	15	25
2:07:00	21	15	22
2:08:00	22	15	22
2:09:00	22	15	22
2:10:00	22	15	22
2:11:00	22	15	22
2:12:00	22	15	21
2:13:00	22	14	20
2:14:00	22	15	20
2:15:00	21	15	21
2:16:00	21	15	20
2:17:00	21	15	20
2:18:00	21	15	20
2:19:00	21	15	20
2:20:00	21	15	21
2:21:00	21	15	21
2:22:00	21	15	21
2:23:00	22	15	21
2:24:00	22	15	21
2:25:00	22	15	21
2:26:00	22	15	24
2:27:00	22	15	21
2:28:00	22	15	21
2:29:00	22	15	21
2:30:00	22	15	21
2:31:00	21	15	21
2:32:00	21	15	21
2:33:00	21	15	21
2:34:00	21	15	21
2:35:00	21	15	21
2:36:00	21	15	32
2:37:00	21	15	25
2:38:00	22	15	27
2:39:00	22	15	28
2:40:00	22	15	25
2:41:00	22	15	22
2:42:00	22	15	22
2:43:00	22	15	23
2:44:00	22	15	22
2:45:00	22	15	22
2:46:00	22	15	25
2:47:00	21	15	23
2:48:00	21	15	24
2:49:00	21	15	24
2:50:00	21	15	24
2:51:00	21	15	24
2:52:00	21	15	31
2:53:00	21	15	34
2:54:00	22	15	31
2:55:00	22	15	31
2:56:00	22	15	38
2:57:00	22	15	30
2:58:00	22	15	39
2:59:00	22	15	40
3:00:00	22	15	60
3:01:00	22	14	44
3:02:00	21	15	35
3:03:00	21	15	28
3:04:00	21	15	31
3:05:00	21	15	37
3:06:00	21	15	29
3:07:00	21	15	29
3:08:00	21	15	30
3:09:00	22	15	30
3:10:00	22	15	30
3:11:00	22	15	49
3:12:00	22	15	34
3:13:00	22	15	32
3:14:00	22	15	30
3:15:00	22	15	39
3:16:00	22	14	33
3:17:00	22	15	35
3:18:00	21	15	35
3:19:00	21	15	35
3:20:00	21	15	34
3:21:00	21	15	34
3:22:00	21	15	34
3:23:00	21	15	35
3:24:00	22	15	35
3:25:00	22	15	37
3:26:00	22	15	37
3:27:00	22	15	44
3:28:00	22	15	37
3:29:00	22	15	37
3:30:00	22	15	36
3:31:00	22	15	37
3:32:00	22	15	39
3:33:00	22	15	40
3:34:00	21	15	41
3:35:00	21	15	41
3:36:00	21	15	41
3:37:00	21	15	40
3:38:00	21	15	39
3:39:00	21	15	47
3:40:00	21	15	44
