--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	03.03.2002
Test Start Time	4:04:30
Test Stop Date	03.03.2002
Test Stop Time	11:50:34
Test Length	7:46:04
Final Sample Time Offset	7:46:04
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 37(50min); T: 80C(40min), 100C(15min); field water, LignoSulf premix
Information	WellID	Khvalynskaya 4
Information	Customer	LUKOIL
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	5.5%MS+10%SF+0.45%LignoSulfF(bwodb)
Information	Density	1550
Information	BHCT	100
Information	BHST	118
Information	FluidLoss	
Information	JobType	245 mm csg lead slurry
Calculated Value	Thickening_Time	0:44:00
Calculated Value	Setting Time	0:44:00
Initial Temperature (°C)	22 °C
Final Temperature (°C)	70 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	37 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	100 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	2	8
0:01:00	22	3	8
0:02:00	21	3	12
0:03:00	21	4	20
0:04:00	21	5	28
0:05:00	21	6	18
0:06:00	22	7	15
0:07:00	23	7	28
0:08:00	24	9	27
0:09:00	26	9	25
0:10:00	28	10	24
0:11:00	30	11	14
0:12:00	32	11	13
0:13:00	35	12	20
0:14:00	37	13	20
0:15:00	40	13	18
0:16:00	43	14	19
0:17:00	45	14	18
0:18:00	47	14	17
0:19:00	50	15	17
0:20:00	51	16	18
0:21:00	53	16	24
0:22:00	54	17	27
0:23:00	55	18	28
0:24:00	56	19	25
0:25:00	57	19	28
0:26:00	58	20	36
0:27:00	60	21	47
0:28:00	61	22	44
0:29:00	62	22	51
0:30:00	63	23	46
0:31:00	64	24	32
0:32:00	66	24	51
0:33:00	67	25	49
0:34:00	69	26	50
0:35:00	70	26	52
0:36:00	72	27	65
0:37:00	74	28	49
0:38:00	75	29	48
0:39:00	77	30	39
0:40:00	79	30	73
0:41:00	80	31	52
0:42:00	82	32	50
0:43:00	83	33	100
0:44:00	85	33	109
0:58:04			
0:58:04	102	38	9
0:59:04	103	38	43
1:00:04	103	38	56
1:01:04	103	38	10
1:02:04	104	38	32
1:03:04	104	38	49
1:04:04	104	38	5
1:05:04	104	37	49
1:06:04	104	37	50
1:07:04	104	37	3
1:08:04	103	37	64
1:09:04	103	37	11
1:10:04	103	37	55
1:11:04	102	37	43
1:12:04	102	37	4
1:13:04	102	37	62
1:14:04	102	37	26
1:15:04	101	37	24
1:16:04	101	37	51
1:17:04	101	37	1
1:18:04	101	37	46
1:19:04	101	37	21
1:20:04	101	37	18
1:21:04	101	37	43
1:22:04	100	37	1
1:23:04	100	37	50
1:24:04	100	37	14
1:25:04	100	37	37
1:26:04	100	37	1
1:27:04	100	37	64
1:28:04	100	37	24
1:29:04	100	37	20
1:30:04	100	37	31
1:31:04	100	37	17
1:32:04	100	37	32
1:33:04	100	37	21
1:34:04	100	37	19
1:35:04	100	37	45
1:36:04	100	37	15
1:37:04	100	37	17
1:38:04	100	37	33
1:39:04	100	37	35
1:40:04	100	37	4
1:41:04	100	37	62
1:42:04	100	37	3
1:43:04	100	37	57
1:44:04	100	37	3
1:45:04	100	37	61
1:46:04	100	37	3
1:47:04	100	37	49
1:48:04	100	37	3
1:49:04	100	37	42
1:50:04	100	37	33
1:51:04	100	37	3
1:52:04	100	37	55
1:53:04	100	37	3
1:54:04	100	37	50
1:55:04	100	37	4
1:56:04	100	37	33
1:57:04	100	37	27
1:58:04	99	37	15
1:59:04	99	37	44
2:00:04	100	37	13
2:01:04	100	37	39
2:02:04	99	37	27
2:03:04	99	37	10
2:04:04	99	37	43
2:05:04	99	37	4
2:06:04	99	37	58
2:07:04	99	37	3
2:08:04	99	37	46
2:09:04	99	37	34
2:10:04	99	37	3
2:11:04	99	37	16
2:12:04	99	37	62
2:13:04	99	37	23
2:14:04	99	37	5
2:15:04	99	37	54
2:16:04	99	37	28
2:17:04	99	37	3
2:18:04	99	37	18
2:19:04	99	37	40
2:20:04	99	37	39
2:21:04	99	37	15
2:22:04	99	37	4
2:23:04	99	37	4
2:24:04	99	37	23
2:25:04	99	37	55
2:26:04	99	37	54
2:27:04	99	37	32
2:28:04	99	37	9
2:29:04	99	37	4
2:30:04	99	37	5
2:31:04	99	37	12
2:32:04	99	37	24
2:33:04	99	37	41
2:34:04	99	37	58
2:35:04	99	37	51
2:36:04	99	37	31
2:37:04	99	37	19
2:38:04	99	37	6
2:39:04	99	37	3
2:40:04	99	37	7
2:41:04	99	37	12
2:42:04	99	37	29
2:43:04	99	37	47
2:44:04	99	37	53
2:45:04	99	37	56
2:46:04	99	37	52
2:47:04	99	37	48
2:48:04	99	37	47
2:49:04	99	37	51
2:50:04	99	37	51
2:51:04	99	37	50
2:52:04	99	37	45
2:53:04	99	37	54
2:54:04	99	37	56
2:55:04	99	37	54
2:56:04	99	37	47
2:57:04	99	37	43
2:58:04	99	37	22
2:59:04	99	37	14
3:00:04	99	37	6
3:01:04	99	37	3
3:02:04	99	37	3
3:03:04	99	37	3
3:04:04	99	37	3
3:05:04	99	37	5
3:06:04	99	37	9
3:07:04	99	37	21
3:08:04	99	37	28
3:09:04	99	37	37
3:10:04	99	37	38
3:11:04	99	37	37
3:12:04	99	37	29
3:13:04	99	37	26
3:14:04	99	37	34
3:15:04	99	37	40
3:16:04	99	37	48
3:17:04	99	37	48
3:18:04	99	37	51
3:19:04	99	37	53
3:20:04	99	37	51
3:21:04	99	37	37
3:22:04	99	37	22
3:23:04	99	37	9
3:24:04	99	37	3
3:25:04	99	37	4
3:26:04	99	37	3
3:27:04	99	37	16
3:28:04	99	37	29
3:29:04	99	37	41
3:30:04	99	37	51
3:31:04	99	37	49
3:32:04	99	37	26
3:33:04	99	37	5
3:34:04	99	37	4
3:35:04	99	37	27
3:36:04	99	37	49
3:37:04	99	37	14
3:38:04	99	37	4
3:39:04	99	37	4
3:40:04	99	37	11
3:41:04	99	37	23
3:42:04	99	37	33
3:43:04	99	37	41
3:44:04	99	37	50
3:45:04	99	37	50
3:46:04	99	37	49
3:47:04	99	37	50
3:48:04	99	37	50
3:49:04	99	37	36
3:50:04	99	37	32
3:51:04	100	37	24
3:52:04	99	37	16
3:53:04	99	37	7
3:54:04	99	37	5
3:55:04	99	37	4
3:56:04	99	37	3
3:57:04	99	37	5
3:58:04	99	37	4
3:59:04	100	37	5
4:00:04	99	37	5
4:01:04	99	37	5
4:02:04	99	37	5
4:03:04	99	37	4
4:04:04	99	37	5
4:05:04	99	37	5
4:06:04	99	37	4
4:07:04	99	37	4
4:08:04	99	37	6
4:09:04	99	37	8
4:10:04	99	37	24
4:11:04	99	37	44
4:12:04	99	37	51
4:13:04	99	37	23
4:14:04	99	37	9
4:15:04	99	37	15
4:16:04	99	37	53
4:17:04	99	37	20
4:18:04	99	37	12
4:19:04	99	37	46
4:20:04	99	37	28
4:21:04	99	37	15
4:22:04	99	37	56
4:23:04	99	37	18
4:24:04	99	37	15
4:25:04	99	37	40
4:26:04	99	37	24
4:27:04	99	37	17
4:28:04	99	37	21
4:29:04	99	37	41
4:30:04	100	37	33
4:31:04	100	37	18
4:32:04	100	37	26
4:33:04	100	37	41
4:34:04	100	37	19
4:35:04	100	37	55
4:36:04	100	37	26
4:37:04	100	37	65
4:38:04	99	37	36
4:39:04	99	37	39
4:40:04	99	37	57
4:41:04	99	37	82
4:42:04	99	37	65
4:43:04	99	37	79
4:44:04	99	37	91
4:45:04	99	37	82
4:46:04	100	37	82
4:47:04	100	37	83
4:48:04	100	37	84
4:49:04	101	37	84
4:50:04	101	37	84
4:51:04	101	37	84
4:52:04	102	37	84
4:53:04	102	37	84
4:54:04	102	37	84
4:55:04	102	37	84
4:56:04	102	37	84
4:57:04	103	37	85
4:58:04	103	37	85
4:59:04	103	37	85
5:00:04	103	37	85
5:01:04	103	37	85
5:02:04	104	37	84
5:03:04	104	37	83
5:04:04	104	37	83
5:05:04	105	37	83
5:06:04	105	37	83
5:07:04	106	37	83
5:08:04	106	37	83
5:09:04	107	37	84
5:10:04	107	37	84
5:11:04	108	37	84
5:12:04	109	37	84
5:13:04	109	37	84
5:14:04	110	37	83
5:15:04	110	37	83
5:16:04	110	37	83
5:17:04	111	37	83
5:18:04	111	37	83
5:19:04	111	37	83
5:20:04	111	37	83
5:21:04	111	37	83
5:22:04	111	37	83
5:23:04	111	37	83
5:24:04	111	37	83
5:25:04	111	37	83
5:26:04	111	37	83
5:27:04	111	37	83
5:28:04	110	37	83
5:29:04	110	37	83
5:30:04	110	37	83
5:31:04	109	37	83
5:32:04	109	37	83
5:33:04	109	37	83
5:34:04	108	37	83
5:35:04	108	37	83
5:36:04	107	37	83
5:37:04	107	37	83
5:38:04	107	37	83
5:39:04	106	37	83
5:40:04	106	37	83
5:41:04	105	37	83
5:42:04	105	37	83
5:43:04	104	37	83
5:44:04	104	37	84
5:45:04	103	37	84
5:46:04	103	37	84
5:47:04	103	37	84
5:48:04	102	37	84
5:49:04	102	37	84
5:50:04	101	37	84
5:51:04	101	37	84
5:52:04	100	37	84
5:53:04	100	37	85
5:54:04	99	37	87
5:55:04	99	37	88
5:56:04	99	37	87
5:57:04	98	37	87
5:58:04	98	37	88
5:59:04	97	37	87
6:00:04	97	37	87
6:01:04	97	37	87
6:02:04	96	37	87
6:03:04	96	37	86
6:04:04	95	37	86
6:05:04	95	37	86
6:06:04	95	37	86
6:07:04	94	37	86
6:08:04	94	37	87
6:09:04	94	37	89
6:10:04	93	37	91
6:11:04	93	37	90
6:12:04	92	37	94
6:13:04	92	37	93
6:14:04	92	37	92
6:15:04	91	37	90
6:16:04	91	37	89
6:17:04	91	37	88
6:18:04	90	37	86
6:19:04	90	37	87
6:20:04	90	37	87
6:21:04	89	37	87
6:22:04	89	37	88
6:23:04	89	37	87
6:24:04	88	37	85
6:25:04	88	37	86
6:26:04	88	37	85
6:27:04	88	37	85
6:28:04	87	37	85
6:29:04	87	37	86
6:30:04	87	37	86
6:31:04	86	37	86
6:32:04	86	37	86
6:33:04	86	37	86
6:34:04	86	37	87
6:35:04	85	37	87
6:36:04	85	37	87
6:37:04	85	37	87
6:38:04	84	37	87
6:39:04	84	37	89
6:40:04	84	37	89
6:41:04	84	37	90
6:42:04	83	37	89
6:43:04	83	37	88
6:44:04	83	37	88
6:45:04	83	37	88
6:46:04	82	37	88
6:47:04	82	37	88
6:48:04	82	37	88
6:49:04	82	37	88
6:50:04	81	37	88
6:51:04	81	37	88
6:52:04	81	37	88
6:53:04	81	37	88
6:54:04	80	37	88
6:55:04	80	37	88
6:56:04	80	37	88
6:57:04	80	37	88
6:58:04	79	37	88
6:59:04	79	37	88
7:00:04	79	37	88
7:01:04	79	37	88
7:02:04	79	37	88
7:03:04	78	37	88
7:04:04	78	37	88
7:05:04	78	37	87
7:06:04	78	37	87
7:07:04	77	37	87
7:08:04	77	37	87
7:09:04	77	37	87
7:10:04	77	37	86
7:11:04	77	37	86
7:12:04	77	37	86
7:13:04	76	37	86
7:14:04	76	37	85
7:15:04	76	37	85
7:16:04	76	37	85
7:17:04	75	37	85
7:18:04	75	37	85
7:19:04	75	37	86
7:20:04	75	37	85
7:21:04	75	37	85
7:22:04	75	37	85
7:23:04	74	37	85
7:24:04	74	37	86
7:25:04	74	37	86
7:26:04	74	37	86
7:27:04	74	37	86
7:28:04	73	37	86
7:29:04	73	37	87
7:30:04	73	37	87
7:31:04	73	37	87
7:32:04	73	37	87
7:33:04	73	37	88
7:34:04	72	37	88
7:35:04	72	37	87
7:36:04	72	37	88
7:37:04	72	37	88
