--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	04.03.2002
Test Start Time	21:32:09
Test Stop Date	04.03.2002
Test Stop Time	23:46:19
Test Length	2:14:10
Final Sample Time Offset	2:14:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 37(50min); T: 80C(40min), 100C(15min); field water, LignoSulf premix
Information	WellID	Khvalynskaya 4
Information	Customer	LUKOIL
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	5.5%MS+10%SF+0.45%LignoSulfF(bwodb)
Information	Density	1550
Information	BHCT	100
Information	BHST	118
Information	FluidLoss	
Information	JobType	245 mm csg lead slurry
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	100 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	37 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	64 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	9
0:01:00	24	3	9
0:02:00	24	3	8
0:03:00	24	4	6
0:04:00	25	5	6
0:05:00	25	5	8
0:06:00	26	6	16
0:07:00	27	7	11
0:08:00	28	8	14
0:09:00	29	8	14
0:10:00	30	9	14
0:11:00	32	10	23
0:12:00	34	10	13
0:13:00	36	11	16
0:14:00	38	12	17
0:15:00	40	12	14
0:16:00	43	13	22
0:17:00	45	14	15
0:18:00	46	15	23
0:19:00	48	15	19
0:20:00	51	16	12
0:21:00	53	17	17
0:22:00	54	17	10
0:23:00	56	18	26
0:24:00	57	19	13
0:25:00	58	19	10
0:26:00	59	20	8
0:27:00	60	21	11
0:28:00	61	21	10
0:29:00	62	22	8
0:30:00	64	23	13
0:31:00	65	24	6
0:32:00	66	25	4
0:33:00	67	25	5
0:34:00	69	26	4
0:35:00	70	26	4
0:36:00	72	27	4
0:37:00	73	28	4
0:38:00	75	29	4
0:39:00	76	29	4
0:40:00	77	30	4
0:41:00	79	31	5
0:42:00	80	31	4
0:43:00	82	32	4
0:44:00	83	33	4
0:45:00	85	34	5
0:46:00	86	34	5
0:47:00	88	35	5
0:48:00	89	36	7
0:49:00	91	36	12
0:50:00	92	37	13
0:51:00	94	38	16
0:52:00	95	38	18
0:53:00	96	38	13
0:54:00	98	38	14
0:55:00	99	38	21
0:56:00	100	38	12
0:57:00	101	38	14
0:58:00	102	38	13
0:59:00	103	38	15
1:00:00	103	38	16
1:01:00	104	38	14
1:02:00	104	38	11
1:03:00	104	38	11
1:04:00	104	37	11
1:05:00	104	37	10
1:06:00	104	37	11
1:07:00	104	37	11
1:08:00	104	37	12
1:09:00	104	37	12
1:10:00	104	37	12
1:11:00	103	37	12
1:12:00	103	37	12
1:13:00	102	37	11
1:14:00	102	37	11
1:15:00	102	37	11
1:16:00	101	37	11
1:17:00	101	37	12
1:18:00	101	37	12
1:19:00	100	37	13
1:20:00	100	37	13
1:21:00	100	37	13
1:22:00	100	37	13
1:23:00	99	37	13
1:24:00	99	37	13
1:25:00	99	37	14
1:26:00	99	37	13
1:27:00	99	37	13
1:28:00	99	37	13
1:29:00	99	37	13
1:30:00	99	37	13
1:31:00	99	38	13
1:32:00	99	38	13
1:33:00	99	38	13
1:34:00	99	38	14
1:35:00	99	38	13
1:36:00	99	38	14
1:37:00	100	38	14
1:38:00	100	38	14
1:39:00	100	38	15
1:40:00	100	38	15
1:41:00	100	38	14
1:42:00	100	38	14
1:43:00	100	37	14
1:44:00	100	37	17
1:45:00	100	38	16
1:46:00	100	38	15
1:47:00	100	38	15
1:48:00	100	37	16
1:49:00	100	37	16
1:50:00	100	37	16
1:51:00	100	37	17
1:52:00	100	37	18
1:53:00	100	37	17
1:54:00	99	37	16
1:55:00	99	37	16
1:56:00	99	37	17
1:57:00	99	37	17
1:58:00	99	37	17
1:59:00	99	37	17
2:00:00	99	37	18
2:01:00	99	37	19
2:02:00	99	37	20
2:03:00	99	37	23
2:04:00	99	37	24
2:05:00	99	37	26
2:06:00	99	37	29
2:07:00	99	37	32
2:08:00	100	37	36
2:09:00	100	37	41
2:10:00	100	37	47
2:11:00	100	37	56
2:12:00	100	37	69
2:13:00	100	37	84
2:14:00	100	37	64
