--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	02.09.2002
Test Start Time	15:50:20
Test Stop Date	03.09.2002
Test Stop Time	9:14:35
Test Length	17:24:15
Final Sample Time Offset	17:24:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(40min); T: 47C(40min),  all dry blend, tap water
Information	WellID	
Information	Customer	Petro-Aliance
Information	CementClass	PCT-II-50
Information	CementMfr	Sukhoy Log
Information	Additives	0.5%Gel+0.75%SMS+0.15%R-7
Information	Density	1500
Information	BHCT	47
Information	BHST	57
Information	FluidLoss	
Information	JobType	245 mm csg lead slurry
Calculated Value	Thickening_Time	3:43:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	22 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	0 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	0 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1	6
0:01:00	27	3	2
0:02:00	27	3	6
0:03:00	28	4	5
0:04:00	28	4	4
0:05:00	28	5	13
0:06:00	28	5	7
0:07:00	29	6	6
0:08:00	29	6	7
0:09:00	29	7	7
0:10:00	30	8	5
0:11:00	30	8	4
0:12:00	31	9	4
0:13:00	31	9	4
0:14:00	32	10	4
0:15:00	32	11	3
0:16:00	33	11	3
0:17:00	33	12	3
0:18:00	34	12	4
0:19:00	35	13	3
0:20:00	35	14	5
0:21:00	36	14	6
0:22:00	36	15	6
0:23:00	37	15	6
0:24:00	38	16	5
0:25:00	38	17	7
0:26:00	39	17	6
0:27:00	40	18	6
0:28:00	40	18	7
0:29:00	41	19	6
0:30:00	41	19	6
0:31:00	42	20	6
0:32:00	43	20	6
0:33:00	43	21	6
0:34:00	44	22	7
0:35:00	44	22	7
0:36:00	45	23	9
0:37:00	45	23	9
0:38:00	46	24	8
0:39:00	46	24	8
0:40:00	47	25	7
0:41:00	47	25	7
0:42:00	48	25	8
0:43:00	48	26	8
0:44:00	49	26	8
0:45:00	49	25	8
0:46:00	49	25	8
0:47:00	50	25	8
0:48:00	50	25	9
0:49:00	50	25	9
0:50:00	50	25	9
0:51:00	50	25	9
0:52:00	50	25	9
