--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	15.12.2002
Test Start Time	15:44:23
Test Stop Date	15.12.2002
Test Stop Time	19:27:23
Test Length	3:43:00
Final Sample Time Offset	3:43:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 45(70min), T:112C(70min), sea water, 0.14%NTF bwoc premix
Information	WellID	Sarmatskaya 1
Information	Customer	LukoilShelf
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	30%SF+0.108%NTF bwodb
Information	Density	1930
Information	BHCT	112
Information	BHST	112
Information	FluidLoss	
Information	JobType	PLUG
Calculated Value	Thickening_Time	3:29:00
Calculated Value	Setting Time	3:43:00
Initial Temperature (°C)	22 °C
Final Temperature (°C)	114 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	45 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	119 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	1	7
0:01:00	22	3	11
0:02:00	21	3	9
0:03:00	21	4	8
0:04:00	22	5	8
0:05:00	23	6	9
0:06:00	23	7	8
0:07:00	25	7	10
0:08:00	26	8	11
0:09:00	27	8	9
0:10:00	29	9	13
0:11:00	30	10	10
0:12:00	32	10	16
0:13:00	34	11	18
0:14:00	35	11	18
0:15:00	37	12	20
0:16:00	39	12	20
0:17:00	40	13	23
0:18:00	42	14	26
0:19:00	43	14	16
0:20:00	45	15	17
0:21:00	47	16	13
0:22:00	48	16	14
0:23:00	50	17	18
0:24:00	51	17	23
0:25:00	52	18	21
0:26:00	54	19	20
0:27:00	55	19	24
0:28:00	56	20	16
0:29:00	58	20	18
0:30:00	59	21	23
0:31:00	60	22	17
0:32:00	62	22	20
0:33:00	63	23	22
0:34:00	64	23	23
0:35:00	66	24	24
0:36:00	67	25	18
0:37:00	68	25	18
0:38:00	70	26	19
0:39:00	71	27	17
0:40:00	72	27	14
0:41:00	73	28	18
0:42:00	75	29	18
0:43:00	76	29	19
0:44:00	77	30	37
0:45:00	79	30	17
0:46:00	80	31	24
0:47:00	81	32	29
0:48:00	83	32	20
0:49:00	84	33	27
0:50:00	86	33	21
0:51:00	87	34	26
0:52:00	88	34	24
0:53:00	89	35	23
0:54:00	91	36	19
0:55:00	92	36	24
0:56:00	93	37	27
0:57:00	95	38	25
0:58:00	96	38	22
0:59:00	97	39	21
1:00:00	98	39	20
1:01:00	100	40	20
1:02:00	101	40	20
1:03:00	102	41	20
1:04:00	104	42	22
1:05:00	105	42	22
1:06:00	106	43	27
1:07:00	108	44	24
