--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	10.12.2002
Test Start Time	11:48:39
Test Stop Date	10.12.2002
Test Stop Time	15:57:37
Test Length	4:08:58
Final Sample Time Offset	4:08:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min) T:76(30min), all dry blend
Information	WellID	56/1851
Information	Customer	Sovetsky
Information	CementClass	A
Information	CementMfr	Sukhoy Log
Information	Additives	8%Gel+0.7%D-19+0.1%Lignocan
Information	Density	1500
Information	BHCT	76
Information	BHST	87
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	Thickening_Time	N/A
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	20 °C
Final Temperature (°C)	76 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	20	2	7
0:01:00	21	3	7
0:02:00	21	4	8
0:03:00	21	5	6
0:04:00	21	6	9
0:05:00	22	7	9
0:06:00	23	8	16
0:07:00	25	8	8
0:08:00	26	9	10
0:09:00	28	10	19
0:10:00	31	11	16
0:11:00	33	11	11
0:12:00	35	12	11
0:13:00	37	13	10
0:14:00	40	14	21
0:15:00	42	14	27
0:16:00	44	15	17
0:17:00	46	16	24
0:18:00	49	17	18
0:19:00	51	17	22
0:20:00	53	18	19
0:21:00	55	19	26
0:22:00	57	20	24
0:23:00	59	20	27
0:24:00	62	21	17
0:25:00	64	22	29
0:26:00	66	22	19
0:27:00	68	23	20
0:28:00	70	24	28
0:29:00	72	25	13
0:30:00	74	26	21
0:31:00	76	26	17
0:32:00	78	26	20
0:33:00	79	26	21
0:34:00	81	25	16
0:35:00	82	26	15
0:36:00	83	26	8
0:37:00	83	26	18
0:38:00	83	26	11
0:39:00	84	25	11
0:40:00	84	25	19
0:41:00	84	25	13
0:42:00	84	25	13
0:43:00	83	25	7
0:44:00	83	25	6
0:45:00	83	25	6
0:46:00	82	25	6
0:47:00	82	25	8
0:48:00	82	25	7
0:49:00	81	25	6
0:50:00	81	25	6
0:51:00	80	25	6
0:52:00	80	25	6
0:53:00	79	25	6
0:54:00	79	25	6
0:55:00	78	25	6
0:56:00	78	25	6
0:57:00	78	25	6
0:58:00	78	25	6
0:59:00	77	25	6
1:00:00	77	25	6
1:01:00	77	25	6
1:02:00	77	25	6
1:03:00	77	25	6
1:04:00	77	25	6
1:05:00	76	25	6
1:06:00	76	25	6
1:07:00	76	25	6
1:08:00	76	25	6
1:09:00	76	25	6
1:10:00	76	25	6
1:11:00	76	25	6
1:12:00	76	25	6
1:13:00	76	25	6
1:14:00	76	25	6
1:15:00	76	25	6
1:16:00	76	25	6
1:17:00	76	25	6
1:18:00	76	25	6
1:19:00	76	25	6
1:20:00	76	25	6
1:21:00	76	25	6
1:22:00	76	26	4
1:23:00	76	25	6
1:24:00	76	25	6
1:25:00	76	25	6
1:26:00	76	26	6
1:27:00	76	25	5
1:28:00	76	25	6
1:29:00	76	25	6
1:30:00	76	26	6
1:31:00	76	26	6
1:32:00	76	26	6
1:33:00	76	25	6
1:34:00	76	26	6
1:35:00	76	25	6
1:36:00	76	26	6
1:37:00	76	26	6
1:38:00	76	25	6
1:39:00	76	25	6
1:40:00	76	25	6
1:41:00	76	26	6
1:42:00	76	26	6
1:43:00	76	25	6
1:44:00	76	25	6
1:45:00	76	26	6
1:46:00	76	25	6
1:47:00	76	26	6
1:48:00	76	25	6
1:49:00	76	26	6
1:50:00	76	26	6
1:51:00	76	25	6
1:52:00	76	25	6
1:53:00	76	25	6
1:54:00	76	25	6
1:55:00	76	25	6
1:56:00	76	26	6
1:57:00	76	26	6
1:58:00	76	25	6
1:59:00	76	25	6
2:00:00	76	26	6
2:01:00	76	26	6
2:02:00	76	25	6
2:03:00	76	25	6
2:04:00	76	26	6
2:05:00	76	26	6
2:06:00	76	26	6
2:07:00	76	25	6
2:08:00	76	26	6
2:09:00	76	26	6
2:10:00	76	25	6
2:11:00	76	25	6
2:12:00	76	26	6
2:13:00	76	25	6
2:14:00	76	26	6
