--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	15.05.2002
Test Start Time	3:22:40
Test Stop Date	15.05.2002
Test Stop Time	7:47:40
Test Length	4:25:00
Final Sample Time Offset	4:25:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min)  T:50(30min) , tap water
Information	WellID	11b/6370
Information	Customer	Sovetsky
Information	CementClass	A
Information	CementMfr	Suhoy Log
Information	Additives	8%PPB Gel+0.7%D-19+0.1%LignoCan
Information	Density	1500
Information	BHCT	50
Information	BHST	71
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	Thickening_Time	4:03:00
Calculated Value	Setting Time	4:25:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	25 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	102 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	11
0:01:00	23	3	11
0:02:00	23	4	10
0:03:00	23	4	8
0:04:00	23	5	14
0:05:00	24	6	14
0:06:00	24	7	12
0:07:00	24	8	17
0:08:00	25	8	16
0:09:00	26	9	13
0:10:00	26	10	14
0:11:00	27	11	24
0:12:00	29	12	10
0:13:00	30	13	15
0:14:00	31	14	14
0:15:00	33	14	20
0:16:00	34	15	16
0:17:00	35	16	18
0:18:00	37	17	21
0:19:00	38	17	17
0:20:00	40	18	13
0:21:00	41	19	15
0:22:00	42	19	12
0:23:00	44	20	16
0:24:00	45	20	15
0:25:00	46	21	20
0:26:00	47	22	20
0:27:00	48	23	20
0:28:00	49	23	37
0:29:00	49	25	16
0:30:00	50	25	21
0:31:00	51	25	14
0:32:00	51	25	17
0:33:00	52	25	16
0:34:00	52	25	19
0:35:00	53	25	17
0:36:00	53	25	17
0:37:00	53	25	19
0:38:00	53	25	19
0:39:00	53	25	18
0:40:00	53	25	18
0:41:00	53	25	18
0:42:00	52	25	18
0:43:00	52	25	21
0:44:00	51	25	23
0:45:00	51	25	21
0:46:00	51	25	21
0:47:00	50	25	33
0:48:00	50	25	24
0:49:00	49	25	21
0:50:00	49	25	23
0:51:00	49	25	22
0:52:00	49	25	25
0:53:00	48	25	22
0:54:00	48	25	24
0:55:00	48	26	21
0:56:00	48	26	24
0:57:00	48	26	27
0:58:00	48	26	22
0:59:00	48	26	24
1:00:00	48	26	25
1:01:00	48	26	19
1:02:00	48	26	18
1:03:00	48	26	18
1:04:00	48	26	19
1:05:00	48	26	19
1:06:00	48	26	18
1:07:00	49	26	19
1:08:00	49	26	19
1:09:00	49	26	16
1:10:00	49	26	15
1:11:00	49	26	15
1:12:00	49	26	15
1:13:00	49	26	15
1:14:00	49	26	15
1:15:00	49	26	15
1:16:00	49	26	15
1:17:00	49	26	15
1:18:00	49	26	15
1:19:00	49	26	15
1:20:00	49	26	15
1:21:00	49	26	15
1:22:00	49	26	15
1:23:00	49	26	15
1:24:00	49	26	15
1:25:00	49	26	14
1:26:00	49	26	14
1:27:00	49	26	14
1:28:00	49	26	14
1:29:00	49	26	14
1:30:00	49	26	14
1:31:00	49	26	14
1:32:00	49	26	14
1:33:00	49	26	14
1:34:00	49	26	14
1:35:00	49	26	14
1:36:00	49	26	14
1:37:00	49	26	14
1:38:00	49	26	14
1:39:00	49	26	14
1:40:00	49	26	13
1:41:00	49	26	13
1:42:00	49	26	13
1:43:00	49	26	13
1:44:00	49	26	13
1:45:00	49	26	13
1:46:00	49	26	12
1:47:00	49	26	12
1:48:00	49	26	12
1:49:00	49	26	12
1:50:00	49	26	13
1:51:00	49	26	13
1:52:00	49	26	13
1:53:00	49	26	13
1:54:00	49	26	13
1:55:00	49	26	13
1:56:00	49	26	13
1:57:00	49	26	13
1:58:00	49	26	16
1:59:00	49	26	27
2:00:00	49	26	27
2:01:00	49	26	17
2:02:00	49	26	17
2:03:00	49	26	17
2:04:00	49	26	17
2:05:00	49	26	17
2:06:00	49	26	17
2:07:00	49	26	19
2:08:00	49	26	18
2:09:00	49	26	18
2:10:00	49	26	17
2:11:00	49	26	17
2:12:00	49	26	18
2:13:00	49	26	28
2:14:00	49	26	23
2:15:00	49	26	20
2:16:00	49	26	17
2:17:00	49	26	26
2:18:00	49	26	28
2:19:00	49	26	29
2:20:00	49	26	28
2:21:00	49	26	27
2:22:00	49	26	25
2:23:00	49	26	24
2:24:00	49	26	23
2:25:00	49	26	20
2:26:00	49	26	30
2:27:00	49	26	26
2:28:00	49	26	31
2:29:00	49	26	24
2:30:00	49	26	26
2:31:00	49	26	23
2:32:00	49	26	27
2:33:00	49	26	24
2:34:00	49	26	25
2:35:00	49	26	22
2:36:00	49	26	24
2:37:00	49	26	22
2:38:00	49	26	22
2:39:00	49	26	22
2:40:00	49	26	22
2:41:00	49	26	22
2:42:00	49	26	22
2:43:00	49	26	22
2:44:00	49	26	21
2:45:00	49	26	20
2:46:00	49	26	20
2:47:00	49	26	20
2:48:00	49	26	20
2:49:00	49	26	22
2:50:00	49	26	23
2:51:00	49	26	23
2:52:00	49	26	23
2:53:00	49	26	23
2:54:00	49	26	22
2:55:00	49	26	23
2:56:00	49	26	23
2:57:00	49	26	23
2:58:00	49	26	23
2:59:00	49	26	23
3:00:00	49	26	22
3:01:00	49	26	23
3:02:00	49	26	23
3:03:00	49	26	23
3:04:00	49	26	24
3:05:00	49	26	24
3:06:00	49	26	25
3:07:00	49	26	29
3:08:00	49	26	28
3:09:00	49	26	28
3:10:00	49	26	29
3:11:00	49	26	29
3:12:00	49	26	29
3:13:00	49	26	35
3:14:00	49	26	30
3:15:00	49	26	37
3:16:00	49	26	33
3:17:00	49	26	32
3:18:00	49	26	33
3:19:00	49	26	33
3:20:00	49	26	32
3:21:00	49	26	33
3:22:00	49	26	32
3:23:00	49	26	32
3:24:00	49	26	35
3:25:00	49	26	35
3:26:00	49	26	34
3:27:00	49	26	34
3:28:00	49	26	35
3:29:00	49	26	34
3:30:00	49	26	35
3:31:00	49	26	34
3:32:00	49	25	36
3:33:00	49	26	37
3:34:00	49	25	39
3:35:00	49	25	44
3:36:00	49	25	39
3:37:00	49	25	41
3:38:00	49	26	40
3:39:00	49	25	41
3:40:00	49	26	43
3:41:00	49	25	45
3:42:00	49	25	46
3:43:00	49	25	48
3:44:00	49	25	49
3:45:00	49	25	50
3:46:00	49	25	51
3:47:00	49	25	53
3:48:00	49	25	54
3:49:00	49	25	54
3:50:00	49	25	56
3:51:00	49	25	58
3:52:00	49	25	58
3:53:00	49	25	59
3:54:00	49	25	60
3:55:00	49	25	61
3:56:00	49	25	64
3:57:00	49	25	67
3:58:00	49	25	67
3:59:00	49	25	68
4:00:00	49	25	69
4:01:00	49	25	69
4:02:00	49	25	84
4:03:00	49	25	84
4:04:00	49	25	75
4:05:00	49	25	74
4:06:00	49	25	74
4:07:00	49	25	73
4:08:00	49	25	78
4:09:00	49	25	80
4:10:00	49	25	80
4:11:00	49	25	79
4:12:00	49	25	79
4:13:00	49	25	80
4:14:00	49	25	80
4:15:00	49	25	80
4:16:00	49	25	80
4:17:00	49	25	80
4:18:00	49	25	81
4:19:00	49	25	80
4:20:00	49	25	79
4:21:00	49	25	82
4:22:00	49	25	82
4:23:00	49	25	82
4:24:00	49	25	107
4:25:00	49	25	102
