--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	22.03.2002
Test Start Time	21:52:21
Test Stop Date	23.03.2002
Test Stop Time	1:43:00
Test Length	3:50:39
Final Sample Time Offset	3:50:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35(30C); T: 50C(30min); tap water, dry blending
Information	WellID	
Information	Customer	Sovetsky
Information	CementClass	A
Information	CementMfr	Suhoy Log
Information	Additives	8%Gel+0.7%D-19+0.1%Lignocan
Information	Density	1500
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Thickening_Time	3:50:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	49 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	35 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	2	6
0:01:00	23	3	7
0:02:00	23	4	8
0:03:00	23	6	8
0:04:00	24	6	7
0:05:00	24	8	8
0:06:00	25	9	9
0:07:00	25	10	7
0:08:00	26	11	10
0:09:00	27	12	12
0:10:00	28	13	7
0:11:00	29	15	6
0:12:00	30	15	8
0:13:00	31	16	15
0:14:00	32	18	9
0:15:00	33	19	12
0:16:00	35	20	9
0:17:00	36	21	7
0:18:00	37	22	11
0:19:00	38	23	9
0:20:00	39	24	7
0:21:00	40	25	8
0:22:00	42	26	7
0:23:00	43	28	8
0:24:00	44	29	8
0:25:00	45	30	7
0:26:00	46	31	7
0:27:00	47	32	14
0:28:00	48	33	9
0:29:00	49	34	10
0:30:00	49	35	9
0:31:00	50	36	10
0:32:00	51	36	10
0:33:00	51	36	11
0:34:00	52	36	9
0:35:00	52	36	8
0:36:00	52	36	9
0:37:00	52	35	8
0:38:00	52	35	9
0:39:00	52	35	8
0:40:00	52	35	8
0:41:00	52	35	9
0:42:00	52	35	11
0:43:00	52	35	9
0:44:00	51	35	10
0:45:00	51	35	9
0:46:00	51	35	9
0:47:00	50	35	9
0:48:00	50	35	9
0:49:00	50	35	9
0:50:00	50	35	9
0:51:00	49	35	12
0:52:00	49	35	10
0:53:00	49	35	9
0:54:00	49	35	9
0:55:00	49	35	9
0:56:00	49	35	11
0:57:00	49	36	11
0:58:00	48	36	10
0:59:00	48	36	10
1:00:00	48	36	10
1:01:00	48	36	10
1:02:00	48	36	4
1:03:00	49	36	4
1:04:00	49	36	6
1:05:00	49	36	5
1:06:00	49	36	4
1:07:00	49	36	5
1:08:00	49	36	5
1:09:00	49	36	5
1:10:00	49	36	6
1:11:00	49	36	6
1:12:00	49	36	6
1:13:00	49	36	6
1:14:00	49	36	6
1:15:00	49	36	6
1:16:00	49	36	6
1:17:00	49	36	6
1:18:00	49	36	6
1:19:00	49	36	5
1:20:00	49	36	8
1:21:00	49	36	6
