--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	03.02.2002
Test Start Time	4:31:13
Test Stop Date	03.02.2002
Test Stop Time	20:09:30
Test Length	15:38:17
Final Sample Time Offset	15:38:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35(30min); T: 50C(30min); tap water, dry-blending
Information	WellID	46 / 5904
Information	Customer	Sovetsky
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.0%CFL-117+0.1%D0-13
Information	Density	1900
Information	BHCT	50
Information	BHST	64
Information	FluidLoss	
Information	JobType	146 mm csg tail slurry
Calculated Value	Thickening_Time	1:55:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	24 °C
Initial Pressure (MPa)	2 MPa
Final Pressure (MPa)	8 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	2	17
0:01:00	22	4	17
0:02:00	21	5	18
0:03:00	21	6	18
0:04:00	22	7	19
0:05:00	22	8	20
0:06:00	23	9	18
0:07:00	23	10	19
0:08:00	24	11	19
0:09:00	25	12	21
0:10:00	26	13	31
0:11:00	27	14	21
0:12:00	29	15	24
0:13:00	30	16	21
0:14:00	31	18	24
0:15:00	32	19	20
0:16:00	34	20	19
0:17:00	35	21	20
0:18:00	37	22	20
0:19:00	38	23	19
0:20:00	39	24	19
0:21:00	40	25	20
0:22:00	42	27	20
0:23:00	43	28	20
0:24:00	44	29	20
0:25:00	45	30	19
0:26:00	46	31	19
0:27:00	47	32	18
0:28:00	48	33	18
0:29:00	48	34	18
0:30:00	49	35	17
0:31:00	50	36	18
0:32:00	51	36	17
0:33:00	51	36	18
0:34:00	52	36	17
0:35:00	52	36	17
0:36:00	52	36	19
0:37:00	53	36	18
0:38:00	53	36	18
0:39:00	53	36	18
0:40:00	53	36	18
0:41:00	52	36	19
0:42:00	52	36	20
0:43:00	52	35	22
0:44:00	52	35	22
0:45:00	52	35	22
0:46:00	51	35	25
0:47:00	51	35	27
0:48:00	51	35	27
0:49:00	51	35	26
0:50:00	51	35	24
0:51:00	50	35	22
0:52:00	50	35	21
0:53:00	50	35	20
0:54:00	50	35	20
0:55:00	50	35	20
0:56:00	50	35	20
0:57:00	50	35	20
0:58:00	49	35	20
0:59:00	49	35	20
1:00:00	49	35	20
1:01:00	49	36	20
1:02:00	49	36	20
1:03:00	49	36	21
1:04:00	49	36	21
1:05:00	49	36	21
1:06:00	49	36	21
1:07:00	49	36	21
1:08:00	49	36	21
1:09:00	49	36	21
1:10:00	49	36	21
1:11:00	49	36	21
1:12:00	49	36	21
1:13:00	49	36	21
1:14:00	49	36	21
1:15:00	49	36	21
1:16:00	49	36	22
1:17:00	49	36	26
1:18:00	49	36	23
1:19:00	49	36	23
1:20:00	49	36	25
1:21:00	49	36	25
1:22:00	49	36	27
1:23:00	49	36	29
1:24:00	49	36	25
1:25:00	49	36	25
1:26:00	50	36	27
1:27:00	50	36	28
1:28:00	50	36	26
1:29:00	49	36	28
1:30:00	50	36	28
1:31:00	49	36	32
1:32:00	50	36	27
1:33:00	49	36	28
1:34:00	49	36	28
1:35:00	49	36	29
1:36:00	50	36	29
1:37:00	50	36	30
1:38:00	50	36	29
1:39:00	50	36	31
1:40:00	50	36	34
1:41:00	49	36	37
1:42:00	50	35	38
1:43:00	50	35	41
1:44:00	49	35	42
1:45:00	49	35	44
1:46:00	49	35	47
1:47:00	49	35	49
1:48:00	50	35	51
1:49:00	50	35	53
1:50:00	49	35	55
1:51:00	50	35	58
1:52:00	50	35	62
1:53:00	49	35	65
1:54:00	50	35	96
1:55:00	50	35	97
1:56:00	50	35	78
1:57:00	50	35	85
1:58:00	50	35	87
1:59:00	50	35	94
2:00:00	50	35	71
2:01:00	50	35	70
2:02:00	50	35	70
2:03:00	50	35	70
2:04:00	50	35	70
2:05:00	50	35	70
2:06:00	50	35	70
2:07:00	50	35	70
2:08:00	51	35	70
2:09:00	51	35	70
2:10:00	51	35	70
2:11:00	51	35	70
2:12:00	51	35	70
2:13:00	52	35	70
2:14:00	52	35	70
2:15:00	52	35	70
2:16:00	52	35	70
2:17:00	52	35	70
2:18:00	53	35	70
2:19:00	53	35	70
2:20:00	53	35	70
2:21:00	53	35	70
2:22:00	54	35	70
2:23:00	54	35	70
2:24:00	54	35	70
2:25:00	54	35	70
2:26:00	55	35	70
2:27:00	55	35	70
2:28:00	55	35	70
2:29:00	56	35	70
2:30:00	56	35	70
2:31:00	56	35	70
2:32:00	56	35	70
2:33:00	57	35	70
2:34:00	57	35	70
2:35:00	57	35	70
2:36:00	57	35	70
2:37:00	58	35	70
2:38:00	58	35	70
2:39:00	58	35	70
2:40:00	59	35	70
2:41:00	59	35	70
2:42:00	59	35	70
2:43:00	59	35	70
2:44:00	59	35	70
2:45:00	60	35	70
2:46:00	60	35	70
2:47:00	60	35	70
2:48:00	60	35	70
2:49:00	60	35	70
2:50:00	60	35	70
2:51:00	61	35	70
2:52:00	61	35	70
2:53:00	61	35	70
2:54:00	61	35	70
2:55:00	61	35	70
2:56:00	61	35	70
2:57:00	61	35	70
2:58:00	61	35	70
2:59:00	61	35	70
3:00:00	61	35	70
3:01:00	61	35	70
3:02:00	61	35	70
3:03:00	61	35	70
3:04:00	61	35	70
3:05:00	61	35	70
3:06:00	61	35	70
3:07:00	61	35	70
3:08:00	61	35	70
3:09:00	61	35	70
3:10:00	61	35	70
3:11:00	61	35	70
3:12:00	61	35	70
3:13:00	61	35	70
3:14:00	61	35	70
3:15:00	60	35	70
3:16:00	60	35	70
3:17:00	60	35	70
3:18:00	60	35	70
3:19:00	60	35	70
3:20:00	60	35	70
3:21:00	60	35	70
3:22:00	60	35	70
3:23:00	59	35	70
3:24:00	59	35	70
3:25:00	59	35	70
3:26:00	59	35	70
3:27:00	59	35	70
3:28:00	59	35	70
3:29:00	59	35	70
3:30:00	58	35	70
3:31:00	58	35	70
3:32:00	58	35	70
3:33:00	58	35	70
3:34:00	58	35	70
3:35:00	57	35	70
3:36:00	57	35	70
3:37:00	57	35	70
3:38:00	57	35	70
3:39:00	57	35	70
3:40:00	57	35	70
3:41:00	56	35	70
3:42:00	56	35	70
3:43:00	56	35	70
3:44:00	56	35	70
3:45:00	56	35	70
3:46:00	55	35	70
3:47:00	55	35	70
3:48:00	55	35	70
3:49:00	55	35	70
3:50:00	55	35	70
3:51:00	54	35	70
3:52:00	54	35	70
3:53:00	54	35	70
3:54:00	54	35	70
3:55:00	54	35	70
3:56:00	54	35	70
3:57:00	53	35	70
3:58:00	53	35	70
3:59:00	53	35	70
4:00:00	53	35	70
4:01:00	53	35	70
4:02:00	53	35	70
4:03:00	52	35	70
4:04:00	52	35	70
4:05:00	52	35	70
4:06:00	52	35	70
4:07:00	52	35	70
4:08:00	52	35	70
4:09:00	51	35	70
4:10:00	51	35	70
4:11:00	51	35	71
4:12:00	51	35	70
4:13:00	51	35	70
4:14:00	51	35	71
4:15:00	50	35	70
4:16:00	50	35	71
4:17:00	50	35	71
4:18:00	50	35	71
4:19:00	50	35	71
4:20:00	50	35	71
4:21:00	49	35	71
4:22:00	49	35	71
4:23:00	49	35	71
4:24:00	49	35	71
4:25:00	49	35	71
4:26:00	49	35	71
4:27:00	49	35	71
4:28:00	48	35	71
4:29:00	48	35	71
4:30:00	48	35	71
4:31:00	48	35	71
4:32:00	48	35	71
