--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	10.10.2002
Test Start Time	15:47:34
Test Stop Date	10.10.2002
Test Stop Time	17:53:04
Test Length	2:05:30
Final Sample Time Offset	2:05:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35.6(28min) T:52(28min), sample G from 10.10.02
Information	WellID	
Information	Customer	Sovetsky
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	no
Information	Density	1900
Information	BHCT	52
Information	BHST	
Information	FluidLoss	
Information	JobType	Standart test
Calculated Value	Thickening_Time	1:51:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	52 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	36 MPa
Initial Consistency (Bc)	3 Bc
Final Consistency (Bc)	99 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	3
0:01:00	24	3	3
0:02:00	24	4	4
0:03:00	24	5	4
0:04:00	25	7	4
0:05:00	25	8	4
0:06:00	26	9	4
0:07:00	26	10	4
0:08:00	27	12	3
0:09:00	28	13	4
0:10:00	30	14	4
0:11:00	31	15	4
0:12:00	32	16	3
0:13:00	33	17	3
0:14:00	35	19	3
0:15:00	36	20	3
0:16:00	37	21	3
0:17:00	38	23	3
0:18:00	40	24	3
0:19:00	41	25	3
0:20:00	42	26	4
0:21:00	43	28	4
0:22:00	45	28	4
0:23:00	46	30	4
0:24:00	47	31	4
0:25:00	48	32	4
0:26:00	49	33	4
0:27:00	50	34	4
0:28:00	51	36	4
0:29:00	52	36	4
0:30:00	53	36	4
0:31:00	54	37	4
0:32:00	55	36	4
0:33:00	55	36	4
0:34:00	56	36	4
0:35:00	56	36	4
0:36:00	56	36	4
0:37:00	56	36	4
0:38:00	56	36	4
0:39:00	56	35	4
0:40:00	56	36	4
0:41:00	55	36	4
0:42:00	55	36	4
0:43:00	55	36	4
0:44:00	55	36	4
0:45:00	54	36	4
0:46:00	54	36	4
0:47:00	54	36	4
0:48:00	54	36	4
0:49:00	53	36	4
0:50:00	53	36	4
0:51:00	53	36	4
0:52:00	53	35	4
0:53:00	53	36	5
0:54:00	53	36	5
0:55:00	53	36	5
0:56:00	53	36	5
0:57:00	53	35	7
0:58:00	52	36	7
0:59:00	52	36	7
1:00:00	52	36	7
1:01:00	52	36	7
1:02:00	52	36	7
1:03:00	52	36	8
1:04:00	52	36	8
1:05:00	52	36	9
1:06:00	52	35	9
1:07:00	52	36	9
1:08:00	52	36	10
1:09:00	52	36	10
1:10:00	52	36	11
1:11:00	52	36	11
1:12:00	52	36	12
1:13:00	52	36	13
1:14:00	52	36	13
1:15:00	52	36	14
1:16:00	52	36	14
1:17:00	52	36	16
1:18:00	52	36	17
1:19:00	52	36	17
1:20:00	52	36	-0
1:21:00	52	36	28
1:22:00	52	36	23
1:23:00	52	36	24
1:24:00	52	36	25
1:25:00	52	36	26
1:26:00	53	36	28
1:27:00	52	36	29
1:28:00	53	36	30
1:29:00	52	36	33
1:30:00	52	36	37
1:31:00	52	35	38
1:32:00	52	36	39
1:33:00	52	36	41
1:34:00	52	36	50
1:35:00	52	36	50
1:36:00	52	36	52
1:37:00	52	36	53
1:38:00	52	36	51
1:39:00	52	36	53
1:40:00	52	36	54
1:41:00	52	35	56
1:42:00	52	36	59
1:43:00	52	36	59
1:44:00	52	36	64
1:45:00	52	36	64
1:46:00	52	36	65
1:47:00	52	35	67
1:48:00	52	36	67
1:49:00	52	36	68
1:50:00	52	36	70
1:51:00	52	36	72
1:52:00	52	36	73
1:53:00	52	36	74
1:54:00	52	35	76
1:55:00	52	36	78
1:56:00	52	36	79
1:57:00	52	36	81
1:58:00	52	36	82
1:59:00	52	36	87
2:00:00	52	36	88
2:01:00	52	36	90
2:02:00	52	36	93
2:03:00	52	35	95
2:04:00	52	35	97
2:05:00	52	36	99
