--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	06.06.2002
Test Start Time	21:51:09
Test Stop Date	07.06.2002
Test Stop Time	5:38:09
Test Length	7:47:00
Final Sample Time Offset	7:47:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 20(40min) T:35(40min) tap water all dryblend
Information	WellID	1-G. I (Gas Injection)
Information	Customer	Sever Tek
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%SMS(Trican)+1%TC-101
Information	Density	1500
Information	BHCT	35
Information	BHST	40
Information	FluidLoss	
Information	JobType	177.8 mm tail slurry
Calculated Value	Thickening_Time	6:32:00
Calculated Value	Setting Time	7:47:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	34 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	20 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	99 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	10
0:01:00	24	2	10
0:02:00	24	3	10
0:03:00	24	3	10
0:04:00	24	4	10
0:05:00	24	4	10
0:06:00	24	5	10
0:07:00	25	5	10
0:08:00	25	6	10
0:09:00	25	6	10
0:10:00	25	7	11
0:11:00	26	7	11
0:12:00	26	7	11
0:13:00	26	8	11
0:14:00	27	8	10
0:15:00	27	9	10
0:16:00	28	9	10
0:17:00	28	9	10
0:18:00	28	10	10
0:19:00	29	11	10
0:20:00	29	11	11
0:21:00	29	11	10
0:22:00	30	12	11
0:23:00	30	12	11
0:24:00	30	13	11
0:25:00	31	13	11
0:26:00	31	13	11
0:27:00	31	14	11
0:28:00	31	15	11
0:29:00	32	15	11
0:30:00	32	15	11
0:31:00	32	16	11
0:32:00	32	16	11
0:33:00	33	17	11
0:34:00	33	17	11
0:35:00	33	17	11
0:36:00	33	18	11
0:37:00	33	18	11
0:38:00	33	19	11
0:39:00	34	19	11
0:40:00	34	20	11
0:41:00	34	20	11
0:42:00	34	20	11
0:43:00	35	20	11
0:44:00	35	20	11
0:45:00	35	20	11
0:46:00	35	20	11
0:47:00	35	20	11
0:48:00	35	20	11
0:49:00	35	20	11
0:50:00	35	20	11
0:51:00	35	20	11
0:52:00	35	20	11
0:53:00	35	20	11
0:54:00	35	20	11
0:55:00	35	20	11
0:56:00	35	20	11
0:57:00	35	20	11
0:58:00	35	20	11
0:59:00	34	20	11
1:00:00	34	20	11
1:01:00	34	20	11
1:02:00	34	20	11
