--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	03.10.2002
Test Start Time	9:03:02
Test Stop Date	03.10.2002
Test Stop Time	21:07:02
Test Length	12:04:00
Final Sample Time Offset	12:04:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 15(30min) T:35(30min), tap water, all dry blending
Information	WellID	North / 10
Information	Customer	SeverTek
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.5%SMS(Fr)
Information	Density	1500
Information	BHCT	35
Information	BHST	39
Information	FluidLoss	
Information	JobType	Intermediate Csg
Calculated Value	Thickening_Time	9:57:00
Calculated Value	Setting Time	12:04:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	35 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	15 MPa
Initial Consistency (Bc)	3 Bc
Final Consistency (Bc)	99 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	3
0:01:00	25	2	3
0:02:00	26	3	3
0:03:00	26	3	3
0:04:00	26	4	3
0:05:00	27	4	2
0:06:00	27	4	2
0:07:00	27	5	2
0:08:00	28	5	2
0:09:00	28	6	2
0:10:00	28	6	2
0:11:00	28	7	2
0:12:00	29	7	2
0:13:00	29	8	2
0:14:00	29	8	2
0:15:00	29	9	2
0:16:00	30	9	2
0:17:00	30	9	2
0:18:00	30	10	2
0:19:00	30	10	2
0:20:00	31	11	2
0:21:00	31	11	2
0:22:00	31	12	2
0:23:00	32	12	1
0:24:00	32	13	2
0:25:00	32	13	2
0:26:00	33	13	2
0:27:00	33	13	1
0:28:00	34	14	1
0:29:00	34	15	1
0:30:00	35	15	1
0:31:00	35	15	1
0:32:00	36	15	1
0:33:00	36	15	1
0:34:00	36	15	1
0:35:00	37	15	1
0:36:00	37	15	1
0:37:00	37	15	1
0:38:00	37	15	2
0:39:00	37	15	2
0:40:00	37	15	2
0:41:00	37	15	2
0:42:00	37	15	2
0:43:00	37	15	2
0:44:00	37	15	2
0:45:00	37	15	2
0:46:00	37	15	2
0:47:00	36	15	1
0:48:00	36	15	1
0:49:00	36	15	1
0:50:00	36	15	1
0:51:00	36	15	1
0:52:00	35	15	1
0:53:00	35	15	2
0:54:00	35	15	2
0:55:00	35	15	2
0:56:00	35	15	1
0:57:00	35	15	1
0:58:00	35	15	1
0:59:00	35	15	1
1:00:00	35	15	1
1:01:00	35	15	1
1:02:00	35	15	1
1:03:00	35	15	1
1:04:00	35	15	1
1:05:00	35	15	1
1:06:00	35	15	1
1:07:00	35	15	2
1:08:00	35	15	2
1:09:00	35	15	2
1:10:00	35	15	2
1:11:00	35	15	2
1:12:00	35	15	2
1:13:00	35	15	2
1:14:00	35	15	2
1:15:00	35	15	2
1:16:00	35	15	2
1:17:00	35	15	2
1:18:00	35	15	2
1:19:00	35	15	2
1:20:00	35	15	2
1:21:00	35	15	2
1:22:00	35	15	2
1:23:00	35	15	2
1:24:00	35	15	2
