--Test Summary--
Full Path and File Name	
Instrument Name	4262 L
Instrument Type	UCA
Instrument Serial Number	111
Test Start Date	08.04.2002
Test Start Time	21:55:37
Test Stop Date	10.04.2002
Test Stop Time	22:19:31
Test Length	48:23:54
Final Sample Time Offset	48:23:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 40C(50min); tap water, dry blending

Information	WellID	
Information	Customer	Petro-Aliance
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.25%SMS+1.25%TC-101+0.2%TR-1
Information	Density	1500
Information	BHCT	40
Information	BHST	40
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Finish Set	6:27:00
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	25 °C
Final Temperature (°C)	40 °C
Initial Transit Time (microsec/in)	16,88 microsec/in
Final Transit Time (microsec/in)	12,21 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	3,89 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	25	16,88	0,00
0:01:00	25	16,88	0,00
0:02:00	25	16,89	0,00
0:03:00	25	16,89	0,00
0:04:00	25	16,89	0,00
0:05:00	25	16,89	0,00
0:06:00	25	16,89	0,00
0:07:00	25	16,90	0,00
0:08:00	26	16,89	0,00
0:09:00	26	16,89	0,00
0:10:00	26	16,89	0,00
0:11:00	26	16,89	0,00
0:12:00	27	16,89	0,00
0:13:00	27	16,89	0,00
0:14:00	27	16,89	0,00
0:15:00	28	16,89	0,00
0:16:00	28	16,88	0,00
0:17:00	28	16,88	0,00
0:18:00	28	16,86	0,00
0:19:00	29	16,86	0,00
0:20:00	29	16,86	0,00
0:21:00	30	16,86	0,01
0:22:00	30	16,84	0,01
0:23:00	31	16,84	0,01
0:24:00	31	16,83	0,01
0:25:00	31	16,83	0,02
0:26:00	31	16,82	0,02
0:27:00	32	16,81	0,02
0:28:00	32	16,80	0,02
0:29:00	32	16,80	0,03
0:30:00	33	16,80	0,03
0:31:00	33	16,79	0,03
0:32:00	33	16,78	0,03
0:33:00	34	16,78	0,03
