--Test Summary--
Full Path and File Name	
Instrument Name	4262 L
Instrument Type	UCA
Instrument Serial Number	111
Test Start Date	05.06.2002
Test Start Time	23:42:06
Test Stop Date	07.06.2002
Test Stop Time	23:40:53
Test Length	47:58:47
Final Sample Time Offset	47:58:01
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 40C(50min), 60C(240min); tap water, dry blending
Information	WellID	1-G. I (Gas Injection)
Information	Customer	Sever Tek
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%SMS(Trican)+1%TC-101
Information	Density	1500
Information	BHCT	40
Information	BHST	60
Information	FluidLoss	358cc/30min
Information	JobType	177.8 mm tail slurry
Calculated Value	Finish Set	3:22:01
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	27 °C
Final Temperature (°C)	59 °C
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	12,04 microsec/in
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	4,16 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	27		
0:01:00	27	16,68	0,00
0:02:00	27		
0:03:00	26		
0:04:00	27		
0:05:00	27		
0:06:00	27		
0:07:00	27	16,67	0,00
0:08:00	27		
0:09:00	28		
0:13:01			
0:13:01	28		
0:14:01	29	16,66	0,00
0:15:01	29	16,66	0,00
0:16:01	29		
0:17:01	29	16,66	0,00
0:18:01	29		
0:19:01	29	16,66	0,00
0:20:01	29	16,66	0,00
0:21:01	29	16,67	0,00
0:22:01	29	16,67	0,00
0:23:01	29	16,67	0,00
0:24:01	29	16,67	0,00
0:25:01	29	16,67	0,00
0:26:01	29	16,67	0,00
0:27:01	29	16,67	0,00
0:28:01	30		
0:29:01	30	16,68	0,00
0:30:01	30	16,67	0,00
0:31:01	30	16,68	0,00
0:32:01	30		
0:33:01	31	16,68	0,00
0:34:01	31		
0:35:01	31	16,67	0,00
0:36:01	31	16,68	0,00
0:37:01	31	16,67	0,00
0:38:01	32	16,67	0,00
0:39:01	32	16,67	0,00
0:40:01	32	16,67	0,00
0:41:01	32	16,66	0,00
0:42:01	32	16,66	0,00
0:43:01	33		
0:44:01	33		
0:45:01	33	16,66	0,01
0:46:01	34	16,65	0,01
0:47:01	33		
0:48:01	34	16,65	0,01
0:49:01	34	16,65	0,01
0:50:01	35	16,64	0,01
0:51:01	35	16,64	0,01
0:52:01	35	16,64	0,01
0:53:01	35		
0:54:01	36	16,63	0,01
0:55:01	36	16,63	0,01
0:56:01	36	16,63	0,01
0:57:01	36	16,63	0,01
0:58:01	37	16,63	0,01
0:59:01	37	16,63	0,01
1:00:01	37	16,63	0,01
1:01:01	37	16,63	0,01
1:02:01	37	16,63	0,02
1:03:01	38	16,63	0,01
1:04:01	38	16,63	0,01
1:05:01	38	16,64	0,01
1:06:01	38		
1:07:01	38	16,64	0,01
1:08:01	39	16,65	0,01
1:09:01	39	16,66	0,01
1:10:01	39		
1:11:01	40		
1:12:01	40		
1:13:01	40		
1:14:01	40		
1:15:01	40	16,68	0,00
1:16:01	41	16,68	0,00
1:17:01	40	16,70	0,00
1:18:01	41	16,70	0,00
1:19:01	41		
1:20:01	41	16,72	0,00
1:21:01	41	16,72	0,00
1:22:01	41	16,73	0,00
1:23:01	41		
1:24:01	42	16,75	0,00
1:25:01	41	16,77	0,00
1:26:01	42	16,77	0,00
1:27:01	42	16,78	0,00
1:28:01	42	16,78	0,00
1:29:01	42	16,79	0,00
1:30:01	42		
1:31:01	42	16,80	0,00
1:32:01	42		
1:33:01	42	16,81	0,00
1:34:01	42	16,82	0,00
1:35:01	43	16,83	0,00
1:36:01	42	16,83	0,00
