--Test Summary--
Full Path and File Name	
Instrument Name	4262 R
Instrument Type	UCA
Instrument Serial Number	111
Test Start Date	27.09.2001
Test Start Time	2:33:52
Test Stop Date	29.09.2001
Test Stop Time	2:52:14
Test Length	48:18:22
Final Sample Time Offset	48:18:09
Controller Schedule Name	
Sampling Period	30 seconds
Comments	T: 45C(30min), tap water, all dry-blending
Information	WellID	1256 Pokachevneftegaz
Information	Customer	Kogalym
Information	EngName	
Information	CementClass	A
Information	CementMfr	Suhoy Log
Information	Additives	8%PPB Gel+0.7%CFR-10+0.35%DO-13+Dfmr
Information	Density	1500
Information	BHCT	45
Information	BHST	45
Information	FluidLoss	
Information	JobType	146 MM CSG lead slurry
Calculated Value	Finish Set	11:48:30
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	44 °C
Initial Transit Time (microsec/in)	17,07 microsec/in
Final Transit Time (microsec/in)	11,82 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	4,77 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	17,07	0,00
0:00:30	23	16,99	0,03
0:01:00	24	17,02	0,02
0:01:30	24	17,03	0,01
0:02:00	24	17,05	0,01
0:02:30	24	17,03	0,01
0:03:00	24	17,03	0,01
0:03:30	25	17,04	0,01
0:04:00	25	17,04	0,01
0:04:30	25	17,04	0,01
0:05:00	25	17,04	0,01
0:05:30	25	17,04	0,01
0:06:00	25	17,04	0,01
0:06:30	25	17,04	0,01
0:07:00	26	17,03	0,01
0:07:30	26	17,03	0,01
0:08:00	26	17,03	0,01
0:08:30	26	17,03	0,01
0:09:00	26	17,03	0,01
0:09:30	27	17,02	0,02
0:10:00	27	17,02	0,02
0:10:30	28	17,02	0,02
0:11:00	28	17,02	0,02
0:11:30	28	17,02	0,02
0:12:00	28	17,02	0,02
0:12:30	29	17,01	0,02
0:13:00	29	17,01	0,02
0:13:30	30	17,00	0,02
0:14:00	30	17,00	0,02
0:14:30	31	16,99	0,02
0:15:00	31	16,99	0,02
0:15:30	31	16,99	0,03
0:16:00	32	16,98	0,03
0:16:30	32	16,98	0,03
0:17:00	33	16,97	0,03
0:17:30	33	16,96	0,03
0:18:00	33	16,95	0,04
0:18:30	34	16,95	0,04
0:19:00	34	16,93	0,04
0:19:30	34	16,93	0,04
0:20:00	35	16,92	0,05
0:20:30	35	16,91	0,05
0:21:00	36	16,90	0,05
0:21:30	36	16,90	0,05
0:22:00	37	16,89	0,05
0:22:30	37	16,89	0,06
0:23:00	37	16,88	0,06
0:23:30	38	16,86	0,06
0:24:00	38	16,87	0,06
0:24:30	39	16,87	0,06
0:25:00	39	16,86	0,06
0:25:30	40	16,86	0,07
0:26:00	40	16,83	0,07
0:26:30	40	16,83	0,07
0:27:00	41	16,81	0,08
0:27:30	41	16,81	0,08
0:28:00	42	16,81	0,08
0:28:30	42	16,80	0,08
0:29:00	42	16,80	0,08
0:29:30	43	16,79	0,09
0:30:00	43	16,79	0,09
0:30:30	43	16,78	0,09
0:31:00	44	16,77	0,09
0:31:30	44	16,77	0,09
0:32:00	44	16,77	0,09
0:32:30	44	16,76	0,10
0:33:00	44	16,77	0,09
0:33:30	45	16,74	0,10
0:34:00	45	16,73	0,11
0:34:30	45	16,72	0,11
0:35:00	45	16,72	0,11
0:35:30	45	16,72	0,11
0:36:00	45	16,71	0,11
0:36:30	45	16,71	0,11
0:37:00	45	16,71	0,11
0:37:30	45	16,71	0,11
0:38:00	45	16,71	0,11
0:38:30	46	16,70	0,12
0:39:00	45	16,70	0,12
0:39:30	46	16,71	0,11
0:40:00	46	16,69	0,12
0:40:30	46	16,69	0,12
0:41:00	46	16,69	0,12
0:41:30	46	16,68	0,12
0:42:00	46	16,67	0,13
0:42:30	46	16,67	0,13
0:43:00	46	16,67	0,13
0:43:30	46	16,67	0,13
0:44:00	46	16,67	0,13
0:44:30	46	16,67	0,13
0:45:00	46	16,65	0,13
0:45:30	46	16,66	0,13
0:46:00	45	16,67	0,13
0:46:30	46	16,68	0,12
0:47:00	46	16,68	0,12
0:47:30	46	16,65	0,13
0:48:00	46	16,66	0,13
0:48:30	46	16,65	0,13
0:49:00	46	16,66	0,13
0:49:30	46	16,65	0,13
0:50:00	46	16,68	0,12
0:50:30	46	16,68	0,12
0:51:00	46	16,69	0,12
0:51:30	46	16,69	0,12
0:52:00	46	16,69	0,12
0:52:30	45	16,69	0,12
0:53:00	46	16,69	0,12
0:53:30	46	16,69	0,12
0:54:00	45	16,69	0,12
0:54:30	45	16,69	0,12
0:55:00	45	16,69	0,12
0:55:30	46	16,69	0,12
0:56:00	46	16,69	0,12
0:56:30	46	16,69	0,12
0:57:00	45	16,69	0,12
0:57:30	45	16,69	0,12
0:58:00	45	16,69	0,12
0:58:30	45	16,69	0,12
0:59:00	45	16,69	0,12
0:59:30	45	16,69	0,12
1:00:00	45	16,69	0,12
1:00:30	45	16,70	0,12
1:01:00	45	16,69	0,12
1:01:30	45	16,70	0,12
1:02:00	45	16,70	0,12
1:02:30	45	16,70	0,12
1:03:00	45	16,70	0,12
1:03:30	45	16,70	0,12
1:04:00	45	16,70	0,12
1:04:30	45	16,70	0,12
1:05:00	45	16,70	0,12
1:05:30	45	16,70	0,12
1:06:00	45	16,71	0,11
