--Test Summary--
Full Path and File Name	
Instrument Name	4262 R
Instrument Type	UCA
Instrument Serial Number	111
Test Start Date	18.04.2002
Test Start Time	21:20:16
Test Stop Date	22.04.2002
Test Stop Time	20:12:33
Test Length	94:52:17
Final Sample Time Offset	94:51:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 50C(30min); tap water, dry blending; Usinsk cement, SMS Norw
Information	WellID	
Information	Customer	Petro-Aliance
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%PPB Gel+1.2%SMS (Norw)
Information	Density	1500
Information	BHCT	50
Information	BHST	60
Information	FluidLoss	
Information	JobType	Research
Calculated Value	Finish Set	3:10:00
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	49 °C
Initial Transit Time (microsec/in)	16,83 microsec/in
Final Transit Time (microsec/in)	11,74 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	4,87 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	16,83	0,00
0:01:00	23	16,80	0,01
0:02:00	23	16,80	0,01
0:03:00	24	16,80	0,01
0:04:00	24	16,80	0,01
0:05:00	24	16,79	0,01
0:06:00	25	16,78	0,01
0:07:00	25	16,77	0,02
0:08:00	26	16,77	0,02
0:09:00	27	16,76	0,02
0:10:00	27	16,76	0,02
0:11:00	28	16,74	0,03
0:12:00	29	16,74	0,03
0:13:00	30	16,73	0,03
0:14:00	31	16,72	0,03
0:15:00	32	16,71	0,04
0:16:00	33	16,69	0,04
0:17:00	33	16,68	0,05
0:18:00	34	16,67	0,05
0:19:00	35	16,65	0,06
0:20:00	36	16,64	0,06
0:21:00	37	16,62	0,07
0:22:00	38	16,61	0,07
0:23:00	39	16,59	0,08
0:24:00	40	16,58	0,08
0:25:00	41	16,56	0,09
0:26:00	42	16,54	0,09
0:27:00	43	16,53	0,10
0:28:00	44	16,51	0,10
0:29:00	45	16,50	0,11
0:30:00	46	16,49	0,11
0:31:00	47	16,48	0,12
0:32:00	48	16,46	0,12
0:33:00	49	16,44	0,13
0:34:00	50	16,44	0,13
0:35:00	50	16,42	0,14
0:36:00	50	16,41	0,14
0:37:00	51	16,41	0,14
0:38:00	51	16,39	0,15
0:39:00	51	16,39	0,15
0:40:00	51	16,38	0,15
0:41:00	51	16,38	0,15
0:42:00	52	16,37	0,16
0:43:00	52	16,37	0,16
0:44:00	52	16,37	0,16
0:45:00	52	16,37	0,16
0:46:00	52	16,37	0,16
0:47:00	52	16,36	0,16
0:48:00	52	16,37	0,16
0:49:00	52	16,37	0,16
0:50:00	52	16,38	0,15
0:51:00	52	16,38	0,15
0:52:00	52	16,38	0,15
0:53:00	52	16,39	0,15
0:54:00	52	16,40	0,14
0:55:00	51	16,41	0,14
0:56:00	51	16,41	0,14
0:57:00	51	16,42	0,14
0:58:00	51	16,43	0,13
0:59:00	51	16,44	0,13
1:00:00	51	16,44	0,13
1:01:00	51	16,45	0,13
1:02:00	51	16,46	0,12
1:03:00	51	16,48	0,12
1:04:00	50	16,48	0,11
1:05:00	50	16,49	0,11
1:06:00	50	16,50	0,11
1:07:00	50	16,51	0,10
1:08:00	50	16,53	0,10
1:09:00	51	16,50	0,11
1:10:00	50	16,51	0,10
1:11:00	50	16,53	0,10
1:12:00	50	16,54	0,09
1:13:00	50	16,55	0,09
1:14:00	50	16,55	0,09
1:15:00	50	16,55	0,09
1:16:00	50	16,56	0,09
1:17:00	50	16,56	0,09
1:18:00	50	16,57	0,08
1:19:00	50	16,58	0,08
1:20:00	50	16,58	0,08
1:21:00	50	16,59	0,08
1:22:00	50	16,59	0,08
1:23:00	50	16,59	0,08
1:24:00	49	16,60	0,07
1:25:00	49	16,60	0,07
1:26:00	49	16,61	0,07
1:27:00	50	16,61	0,07
1:28:00	49	16,61	0,07
1:29:00	50	16,62	0,07
1:30:00	49	16,62	0,07
1:31:00	49	16,61	0,07
1:32:00	49	16,61	0,07
1:33:00	49	16,61	0,07
1:34:00	49	16,61	0,07
1:35:00	49	16,61	0,07
1:36:00	49	16,61	0,07
1:37:00	49	16,60	0,07
1:38:00	49	16,60	0,07
1:39:00	49	16,58	0,08
1:40:00	49	16,58	0,08
1:41:00	49	16,58	0,08
1:42:00	49	16,57	0,08
1:43:00	49	16,57	0,08
1:44:00	49	16,56	0,09
1:45:00	49	16,56	0,09
1:46:00	49	16,55	0,09
1:47:00	49	16,54	0,09
1:48:00	49	16,54	0,09
1:49:00	49	16,54	0,10
1:50:00	49	16,53	0,10
1:51:00	49	16,52	0,10
1:52:00	49	16,51	0,10
1:53:00	49	16,51	0,10
1:54:00	49	16,50	0,11
1:55:00	49	16,50	0,11
1:56:00	49	16,49	0,11
1:57:00	49	16,48	0,11
1:58:00	49	16,48	0,12
1:59:00	49	16,47	0,12
2:00:00	49	16,47	0,12
2:01:00	49	16,46	0,12
2:02:00	49	16,45	0,13
2:03:00	49	16,44	0,13
2:04:00	49	16,44	0,13
2:05:00	49	16,43	0,13
2:06:00	49	16,42	0,14
2:07:00	49	16,41	0,14
2:08:00	49	16,41	0,14
2:09:00	49	16,40	0,14
2:10:00	49	16,39	0,15
2:11:00	48	16,38	0,15
2:12:00	49	16,38	0,15
2:13:00	49	16,35	0,16
2:14:00	49	16,35	0,16
2:15:00	49	16,34	0,17
2:16:00	49	16,34	0,17
2:17:00	49	16,33	0,17
2:18:00	49	16,32	0,17
2:19:00	49	16,31	0,18
2:20:00	49	16,30	0,18
2:21:00	49	16,29	0,18
2:22:00	49	16,29	0,19
2:23:00	49	16,28	0,19
2:24:00	49	16,27	0,19
2:25:00	49	16,26	0,19
2:26:00	49	16,26	0,20
2:27:00	49	16,25	0,20
2:28:00	49	16,24	0,20
2:29:00	49	16,23	0,21
2:30:00	49	16,23	0,21
2:31:00	49	16,22	0,21
2:32:00	49	16,21	0,21
2:33:00	49	16,20	0,22
2:34:00	49	16,20	0,22
2:35:00	49	16,18	0,23
2:36:00	49	16,18	0,23
2:37:00	49	16,17	0,23
2:38:00	49	16,16	0,23
2:39:00	49	16,15	0,24
2:40:00	49	16,14	0,24
2:41:00	49	16,14	0,24
2:42:00	49	16,13	0,25
2:43:00	49	16,12	0,25
2:44:00	49	16,11	0,25
2:45:00	49	16,11	0,26
2:46:00	49	16,10	0,26
2:47:00	49	16,09	0,26
2:48:00	49	16,08	0,26
2:49:00	49	16,08	0,27
2:50:00	49	16,07	0,27
2:51:00	49	16,06	0,27
2:52:00	49	16,05	0,28
2:53:00	49	16,03	0,29
2:54:00	49	16,02	0,29
2:55:00	49	16,02	0,29
2:56:00	49	16,01	0,30
2:57:00	49	16,00	0,30
2:58:00	49	15,99	0,30
2:59:00	49	15,98	0,31
3:00:00	49	15,97	0,31
3:01:00	49	15,96	0,32
3:02:00	48	15,95	0,32
3:03:00	49	15,94	0,32
3:04:00	49	15,93	0,33
3:05:00	49	15,93	0,33
3:06:00	49	15,92	0,33
3:07:00	49	15,91	0,34
3:08:00	49	15,90	0,34
3:09:00	49	15,89	0,35
3:10:00	49	15,89	0,35
3:11:00	49	15,88	0,35
3:12:00	49	15,87	0,36
3:13:00	49	15,86	0,36
3:14:00	49	15,85	0,36
3:15:00	49	15,84	0,37
3:16:00	49	15,84	0,37
3:17:00	49	15,82	0,38
3:18:00	49	15,81	0,38
3:19:00	49	15,81	0,38
3:20:00	49	15,80	0,39
3:21:00	49	15,78	0,39
3:22:00	49	15,78	0,40
3:23:00	49	15,77	0,40
3:24:00	49	15,76	0,40
3:25:00	49	15,75	0,41
3:26:00	49	15,75	0,41
3:27:00	49	15,73	0,42
3:28:00	49	15,72	0,42
3:29:00	49	15,72	0,42
3:30:00	49	15,71	0,43
3:31:00	49	15,70	0,43
3:32:00	49	15,69	0,44
3:33:00	49	15,68	0,44
3:34:00	49	15,67	0,44
3:35:00	49	15,66	0,45
3:36:00	49	15,66	0,45
3:37:00	49	15,64	0,46
3:38:00	48	15,63	0,46
3:39:00	48	15,63	0,47
3:40:00	49	15,62	0,47
3:41:00	49	15,61	0,47
3:42:00	49	15,59	0,48
3:43:00	48	15,58	0,49
3:44:00	49	15,57	0,49
3:45:00	49	15,56	0,50
3:46:00	49	15,55	0,50
3:47:00	49	15,54	0,51
3:48:00	49	15,53	0,51
3:49:00	49	15,52	0,52
3:50:00	49	15,51	0,52
3:51:00	49	15,50	0,53
3:52:00	49	15,49	0,53
3:53:00	49	15,48	0,53
3:54:00	49	15,47	0,54
3:55:00	49	15,46	0,55
3:56:00	49	15,45	0,55
3:57:00	49	15,45	0,55
3:58:00	49	15,44	0,56
3:59:00	49	15,42	0,57
4:00:00	49	15,42	0,57
4:01:00	49	15,41	0,57
4:02:00	49	15,40	0,58
4:03:00	49	15,39	0,58
4:04:00	48	15,39	0,58
4:05:00	49	15,37	0,59
4:06:00	49	15,36	0,60
4:07:00	49	15,36	0,60
4:08:00	49	15,35	0,60
4:09:00	49	15,34	0,61
4:10:00	49	15,33	0,61
4:11:00	49	15,32	0,62
4:12:00	49	15,31	0,62
4:13:00	49	15,30	0,63
4:14:00	49	15,30	0,63
4:15:00	49	15,29	0,64
4:16:00	49	15,27	0,64
4:17:00	49	15,27	0,65
4:18:00	49	15,26	0,65
4:19:00	49	15,25	0,66
4:20:00	48	15,24	0,66
