--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	07.02.2003
Test Start Time	13:24:05
Test Stop Date	07.02.2003
Test Stop Time	14:52:16
Test Length	1:28:11
Final Sample Time Offset	1:28:00
Controller Schedule Name	
Sampling Period	20 seconds
Comments	MPa: 55(40min) T:50(10min) 97(30min) Start Squeeze in 40min
Information	WellID	
Information	Customer	Buzuluk
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.7%NFL-2+0.25%THR-100
Information	Density	1900
Information	BHCT	97
Information	BHST	97
Information	FluidLoss	47cc/30min
Information	JobType	Hesitation Squeeze
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	102 °C
Initial Pressure (MPa)	2,0 MPa
Final Pressure (MPa)	54,9 MPa
Initial Consistency (Bc)	21 Bc
Final Consistency (Bc)	8 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	2,0	21
0:00:20	24	2,5	19
0:00:40	24	3,0	12
0:01:00	24	3,5	10
0:01:20	24	3,8	9
0:01:40	24	4,4	9
0:02:00	24	5,0	9
0:02:20	24	5,7	10
0:02:40	25	6,5	17
0:03:00	25	6,8	11
0:03:20	26	7,4	14
0:03:40	26	7,7	10
0:04:00	27	8,3	9
0:04:20	27	8,6	9
0:04:40	28	9,2	9
0:05:00	29	9,3	9
0:05:20	30	9,9	9
0:05:40	31	10,4	9
0:06:00	32	10,6	8
0:06:20	33	11,2	8
0:06:40	33	11,7	8
0:07:00	35	11,9	8
0:07:20	36	12,3	8
0:07:40	37	13,1	8
0:08:00	38	13,5	8
0:08:20	39	13,9	8
0:08:40	40	14,2	7
0:09:00	41	14,5	7
0:09:20	42	14,9	7
0:09:40	43	15,2	7
0:10:00	44	16,0	7
0:10:20	45	16,3	7
0:10:40	46	17,0	7
0:11:00	47	17,1	7
0:11:20	48	17,8	7
0:11:40	49	18,4	7
0:12:00	50	18,8	7
0:12:20	51	19,3	7
0:12:40	52	19,7	7
0:13:00	53	20,1	7
0:13:20	54	20,5	7
0:13:40	55	20,9	7
0:14:00	56	21,3	7
0:14:20	56	21,7	7
0:14:40	57	22,0	7
0:15:00	58	22,4	7
0:15:20	59	22,8	7
0:15:40	59	23,1	7
0:16:00	60	23,5	7
0:16:20	60	23,9	7
0:16:40	61	24,2	7
0:17:00	62	24,7	6
0:17:20	62	25,1	5
0:17:40	63	25,4	6
0:18:00	63	26,1	6
0:18:20	64	26,4	6
0:18:40	64	26,9	6
0:19:00	65	27,3	6
0:19:20	65	27,7	6
0:19:40	66	28,2	6
0:20:00	66	28,6	6
0:20:20	67	28,9	6
0:20:40	67	29,4	6
0:21:00	68	29,9	6
0:21:20	68	30,3	6
0:21:40	69	30,8	6
0:22:00	69	31,3	5
0:22:20	70	31,6	5
0:22:40	70	32,0	5
0:23:00	71	32,9	5
0:23:20	71	33,5	5
0:23:40	72	34,3	5
0:24:00	72	34,7	5
0:24:20	73	35,0	5
0:24:40	73	35,4	5
0:25:00	74	35,7	6
0:25:20	74	36,1	6
0:25:40	75	36,5	6
0:26:00	75	37,0	6
0:26:20	76	37,3	6
0:26:40	76	37,7	6
0:27:00	77	38,2	6
0:27:20	77	38,5	6
0:27:40	78	39,0	6
0:28:00	78	39,4	6
0:28:20	79	39,8	6
0:28:40	79	40,2	6
0:29:00	80	40,6	6
0:29:20	80	41,0	6
0:29:40	80	41,5	6
0:30:00	81	42,0	6
0:30:20	81	42,4	7
0:30:40	82	42,8	7
0:31:00	82	43,3	7
0:31:20	83	43,8	7
0:31:40	83	44,2	7
0:32:00	84	44,6	7
0:32:20	84	45,1	7
0:32:40	85	45,5	7
0:33:00	85	46,1	7
0:33:20	86	46,5	7
0:33:40	86	46,9	7
0:34:00	87	47,4	7
0:34:20	87	47,9	7
0:34:40	88	48,4	7
0:35:00	88	48,8	13
0:35:20	89	49,2	8
0:35:40	89	49,7	8
0:36:00	90	50,2	8
0:36:20	91	50,7	8
0:36:40	91	51,2	7
0:37:00	92	51,8	7
0:37:20	92	52,3	7
0:37:40	93	52,6	7
0:38:00	93	53,1	7
0:38:20	94	53,5	7
0:38:40	94	54,0	7
0:39:00	95	54,4	7
0:39:20	95	54,9	7
0:39:40	96	55,2	7
0:40:00	96	55,7	5
0:40:20	97	55,7	22
0:40:40	97	55,9	27
0:41:00	97	53,4	16
0:41:20	97	55,5	20
0:41:40	97	55,8	11
0:42:00	97	54,2	18
0:42:20	97	55,1	19
0:42:40	97	53,6	16
0:43:00	97	54,6	14
0:43:20	97	55,9	14
0:43:40	97	55,8	19
0:44:00	97	55,8	17
0:44:20	97	55,7	21
0:44:40	97	55,3	16
0:45:00	97	55,8	17
0:45:20	98	55,5	12
0:45:40	98	55,9	13
0:46:00	98	55,4	12
0:46:20	98	55,7	21
0:46:40	98	54,8	9
0:47:00	98	55,5	5
0:47:20	98	55,8	5
0:47:40	98	55,5	11
0:48:00	98	55,9	10
0:48:20	98	55,3	13
0:48:40	98	55,5	11
0:49:00	99	55,7	11
0:49:20	99	55,8	11
0:49:40	99	53,4	21
0:50:00	99	55,8	5
0:50:20	100	55,0	6
0:50:40	102	55,0	6
0:51:00	104	54,8	5
0:51:20	105	54,7	5
0:51:40	106	54,9	9
0:52:00	106	54,9	8
0:52:20	107	54,8	9
0:52:40	107	54,8	8
0:53:00	107	55,1	7
