--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	24.06.2003
Test Start Time	17:43:52
Test Stop Date	25.06.2003
Test Stop Time	0:06:52
Test Length	6:23:00
Final Sample Time Offset	6:23:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 55(40min) T:50(10min) 92(30min) Start Squeeze in 50min
Information	WellID	
Information	Customer	Buzuluk
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.7%NFL-2+0.35%HTR-100
Information	Density	1900
Information	BHCT	92
Information	BHST	95
Information	FluidLoss	
Information	JobType	Hesitation Squeeze
Calculated Value	30Bc - TT	1:22:00
Calculated Value	70Bc - TT	6:23:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	92 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	55,2 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	2,1	19
0:01:00	24	3,2	18
0:02:00	25	5,2	19
0:03:00	26	6,9	20
0:04:00	28	8,0	17
0:05:00	30	9,4	16
0:06:00	33	10,7	12
0:07:00	35	12,3	12
0:08:00	38	13,1	13
0:09:00	41	14,6	10
0:10:00	44	16,0	10
0:11:00	47	16,9	8
0:12:00	50	18,3	9
0:13:00	53	19,6	9
0:14:00	55	20,7	7
0:15:00	57	22,0	9
0:16:00	59	23,4	10
0:17:00	61	24,6	12
0:18:00	62	25,9	10
0:19:00	63	27,2	9
0:20:00	65	28,5	9
0:21:00	66	30,1	9
0:22:00	67	31,2	9
0:23:00	68	32,5	9
0:24:00	70	33,8	10
0:25:00	71	35,4	10
0:26:00	72	36,5	10
0:27:00	74	37,9	12
0:28:00	75	39,2	10
0:29:00	76	40,7	11
0:30:00	78	42,0	8
0:31:00	79	43,1	9
0:32:00	80	44,6	12
0:33:00	82	45,8	9
0:34:00	83	47,5	11
0:35:00	84	48,6	8
0:36:00	86	49,8	8
0:37:00	87	51,1	8
0:38:00	89	52,5	7
0:39:00	90	53,7	7
0:40:00	92	55,1	8
0:41:00	93	54,6	11
0:42:00	94	55,3	9
0:43:00	95	55,3	8
0:44:00	96	55,3	7
0:45:00	96	55,0	7
0:46:00	96	55,0	9
0:47:00	96	55,0	14
0:48:00	96	55,1	9
0:49:00	96	55,0	8
0:50:00	96	55,0	8
0:51:00	96	55,1	8
0:52:00	96	55,2	5
0:53:00	96	55,0	8
0:54:00	96	55,0	9
0:55:00	96	54,9	14
0:56:00	95	54,9	15
0:57:00	95	54,9	6
0:58:00	95	55,0	2
0:59:00	95	54,9	1
1:00:00	95	55,3	8
1:01:00	94	55,1	17
1:02:00	92	55,0	10
1:03:00	90	55,5	12
1:04:00	88	55,6	10
1:05:00	88	55,6	9
1:06:00	88	56,0	24
1:07:00	88	55,8	13
1:08:00	88	55,2	36
1:09:00	88	55,2	22
1:10:00	88	55,7	27
1:11:00	88	55,4	32
1:12:00	89	55,9	24
1:13:00	89	55,4	19
1:14:00	89	55,9	16
1:15:00	89	55,2	15
1:16:00	92	54,8	32
1:17:00	95	54,9	19
1:18:00	96	55,2	19
1:19:00	96	55,1	15
1:20:00	96	55,1	24
1:21:00	96	55,3	40
1:22:00	96	55,3	35
1:23:00	96	55,1	27
1:24:00	96	55,0	41
1:25:00	96	55,1	29
1:26:00	96	54,9	36
1:27:00	96	55,4	37
1:28:00	96	54,9	37
1:29:00	95	55,0	15
1:30:00	95	55,0	16
1:31:00	94	54,9	16
1:32:00	92	54,9	15
1:33:00	90	55,4	15
1:34:00	90	55,3	15
1:35:00	89	55,7	15
1:36:00	89	55,8	14
1:37:00	89	55,8	24
1:38:00	89	55,4	26
1:39:00	89	55,5	20
1:40:00	89	55,7	29
1:41:00	89	54,0	27
1:42:00	90	55,8	16
1:43:00	90	55,9	23
1:44:00	90	56,0	26
1:45:00	90	55,9	17
1:46:00	92	55,2	19
1:47:00	93	55,1	19
1:48:00	94	55,0	16
1:49:00	95	54,9	15
1:50:00	95	55,0	33
1:51:00	94	55,0	28
1:52:00	94	54,9	38
1:53:00	94	55,0	39
1:54:00	94	55,1	29
1:55:00	94	55,1	30
1:56:00	94	55,1	29
1:57:00	94	55,1	36
1:58:00	94	55,2	41
1:59:00	94	55,0	43
2:00:00	94	55,2	15
2:01:00	93	55,0	14
2:02:00	92	54,9	15
2:03:00	91	55,4	17
2:04:00	90	55,4	16
2:05:00	89	55,9	32
2:06:00	89	56,0	43
2:07:00	89	55,5	42
2:08:00	89	55,6	36
2:09:00	89	55,8	22
2:10:00	89	55,3	36
2:11:00	89	55,4	29
2:12:00	90	55,7	15
2:13:00	90	55,7	22
2:14:00	90	55,8	23
2:15:00	90	55,4	16
2:16:00	91	55,0	10
2:17:00	93	55,0	19
2:18:00	94	55,0	21
2:19:00	95	55,0	16
2:20:00	95	55,0	13
2:21:00	95	55,0	39
2:22:00	95	54,9	28
2:23:00	95	55,1	26
2:24:00	95	55,1	21
2:25:00	95	55,1	41
2:26:00	95	55,2	33
2:27:00	95	55,0	33
2:28:00	95	55,1	34
2:29:00	95	55,0	39
2:30:00	95	55,0	20
2:31:00	94	55,0	9
2:32:00	93	55,0	7
2:33:00	91	55,2	8
2:34:00	90	55,5	8
2:35:00	90	55,4	23
2:36:00	89	55,5	20
2:37:00	89	55,5	31
2:38:00	89	54,8	37
2:39:00	89	56,0	41
2:40:00	89	55,5	27
2:41:00	89	55,7	25
2:42:00	89	55,0	28
2:43:00	89	55,4	40
2:44:00	89	55,6	22
2:45:00	90	55,2	10
2:46:00	90	55,1	16
2:47:00	92	55,0	10
2:48:00	93	55,0	25
2:49:00	94	54,9	16
2:50:00	95	55,2	41
2:51:00	96	55,0	47
2:52:00	96	55,1	37
2:53:00	96	54,9	34
2:54:00	96	54,9	20
2:55:00	96	55,0	33
2:56:00	96	55,0	35
2:57:00	96	55,2	35
2:58:00	96	55,0	41
2:59:00	96	55,0	44
3:00:00	96	55,0	17
3:01:00	95	55,0	11
3:02:00	94	55,0	14
3:03:00	93	55,0	14
3:04:00	92	55,0	16
3:05:00	91	55,1	13
3:06:00	91	55,5	13
3:07:00	90	54,8	19
3:08:00	90	55,9	39
3:09:00	90	55,5	38
3:10:00	90	55,4	37
3:11:00	90	55,4	38
3:12:00	90	55,5	30
3:13:00	90	55,6	24
3:14:00	90	55,2	42
3:15:00	90	55,8	11
3:16:00	90	55,9	16
3:17:00	90	55,4	17
3:18:00	91	55,4	15
3:19:00	92	55,2	24
3:20:00	93	55,1	42
3:21:00	93	55,0	41
3:22:00	94	55,0	32
3:23:00	94	55,0	36
3:24:00	94	54,9	34
3:25:00	94	55,2	38
3:26:00	94	55,0	38
3:27:00	95	54,9	43
3:28:00	95	55,2	42
