--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	22.11.2003
Test Start Time	12:48:54
Test Stop Date	22.11.2003
Test Stop Time	15:33:03
Test Length	2:44:09
Final Sample Time Offset	2:44:09
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25 (90min), T: 36C (90min), sea water from field, LX-200 premix
Information	WellID	LAM 21
Information	Customer	Dragon
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.464gps LX-200
Information	Density	1910
Information	BHCT	36
Information	BHST	51
Information	FluidLoss	
Information	JobType	339.7 mm csg tail slurry
Calculated Value	30Bc - TT	2:12:00
Calculated Value	70Bc - TT	2:42:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	36 °C
Initial Pressure (MPa)	2,0 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	74 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2,0	15
0:01:00	24	2,2	15
0:02:00	24	2,5	16
0:03:00	24	2,9	14
0:04:00	24	3,1	13
0:05:00	24	3,3	13
0:06:00	25	3,5	13
0:07:00	25	4,0	13
0:08:00	25	4,2	13
0:09:00	25	4,3	13
0:10:00	26	4,4	12
0:11:00	26	5,0	12
0:12:00	26	5,1	12
0:13:00	26	5,6	13
0:14:00	27	5,7	12
0:15:00	27	5,8	12
0:16:00	27	6,3	12
0:17:00	27	6,3	12
0:18:00	27	6,8	12
0:19:00	27	6,9	12
0:20:00	28	7,5	12
0:21:00	28	7,5	13
0:22:00	28	7,5	13
0:23:00	28	8,1	12
0:24:00	28	8,2	13
0:25:00	28	8,7	12
0:26:00	28	8,8	13
0:27:00	28	8,9	13
0:28:00	28	9,4	12
0:29:00	28	9,5	12
0:30:00	29	9,6	13
0:31:00	29	10,3	12
0:32:00	29	10,3	12
0:33:00	29	10,4	12
0:34:00	29	11,0	12
0:35:00	29	11,1	12
0:36:00	29	11,2	12
0:37:00	29	11,8	12
0:38:00	29	11,9	12
0:39:00	30	12,0	12
0:40:00	30	12,6	12
0:41:00	30	12,6	12
0:42:00	30	12,8	12
0:43:00	30	13,4	12
0:44:00	30	13,4	12
0:45:00	30	13,5	12
0:46:00	31	14,1	12
0:47:00	31	14,3	12
0:48:00	31	14,3	12
0:49:00	31	14,8	13
0:50:00	31	14,9	13
0:51:00	31	15,1	13
0:52:00	31	15,6	13
0:53:00	31	15,8	13
0:54:00	32	15,8	13
0:55:00	32	16,4	13
0:56:00	32	16,5	13
0:57:00	32	16,6	13
0:58:00	32	17,2	13
0:59:00	32	17,2	13
1:00:00	32	17,5	13
1:01:00	32	17,5	13
1:02:00	33	18,1	13
1:03:00	33	18,2	14
1:04:00	33	18,3	14
1:05:00	33	18,9	13
1:06:00	33	18,9	13
1:07:00	33	19,1	13
1:08:00	33	19,6	13
1:09:00	33	19,7	13
1:10:00	34	19,9	13
1:11:00	34	20,3	14
1:12:00	34	20,4	14
1:13:00	34	21,1	14
1:14:00	34	21,1	16
1:15:00	34	21,2	16
1:16:00	34	21,8	15
1:17:00	34	21,9	14
1:18:00	35	22,0	14
1:19:00	35	22,2	14
1:20:00	35	22,4	15
1:21:00	35	22,8	15
1:22:00	35	23,0	15
1:23:00	35	23,3	15
1:24:00	35	23,4	15
1:25:00	35	23,9	15
1:26:00	36	24,0	15
1:27:00	36	24,1	15
1:28:00	36	24,5	15
1:29:00	36	24,7	16
1:30:00	36	25,0	16
1:31:00	36	25,1	16
1:32:00	36	25,1	17
1:33:00	36	25,0	17
1:34:00	36	25,0	17
1:35:00	37	25,3	16
1:36:00	37	25,1	17
1:37:00	37	25,1	17
1:38:00	36	25,0	17
1:39:00	36	24,9	17
1:40:00	36	24,9	17
1:41:00	36	25,3	17
1:42:00	36	25,2	17
1:43:00	36	25,2	17
1:44:00	36	25,3	17
1:45:00	36	25,2	18
1:46:00	36	25,2	18
1:47:00	36	25,2	18
1:48:00	36	25,2	18
1:49:00	36	25,2	19
1:50:00	36	25,2	19
1:51:00	36	25,3	20
1:52:00	36	25,2	21
1:53:00	36	24,9	23
1:54:00	36	25,1	23
1:55:00	36	25,2	24
1:56:00	36	25,2	24
1:57:00	36	25,3	24
1:58:00	36	25,4	27
1:59:00	36	25,4	25
2:00:00	36	25,5	25
2:01:00	36	25,6	25
2:02:00	36	25,6	25
2:03:00	36	25,7	31
2:04:00	36	25,7	28
2:05:00	36	25,7	29
2:06:00	36	25,7	26
2:07:00	36	25,7	27
2:08:00	36	25,5	28
2:09:00	36	25,3	30
2:10:00	36	25,1	28
2:11:00	36	25,0	32
2:12:00	36	25,1	31
2:13:00	36	25,1	31
2:14:00	36	25,2	33
2:15:00	36	25,2	35
2:16:00	36	25,3	35
2:17:00	36	25,3	35
2:18:00	36	25,4	37
2:19:00	36	25,3	36
2:20:00	36	25,4	37
2:21:00	36	25,4	50
2:22:00	36	25,3	60
2:23:00	36	25,3	70
2:24:00	36	25,2	77
2:25:00	36	25,0	68
2:26:00	36	25,3	83
2:27:00	36	25,3	46
2:28:00	36	25,3	47
2:29:00	36	25,3	49
2:30:00	36	25,4	50
2:31:00	36	25,3	52
2:32:00	36	25,4	54
2:33:00	36	25,4	55
2:34:00	36	25,3	57
2:35:00	36	25,4	64
2:36:00	36	25,4	61
2:37:00	36	25,3	62
2:38:00	36	25,3	64
2:39:00	36	25,3	65
2:40:00	36	25,1	67
2:41:00	36	25,0	84
2:42:00	36	24,9	71
2:42:04			
2:42:04	36	25,0	72
2:43:04	36	25,0	72
2:43:09			
2:43:09	36	25,0	72
2:44:09	36	25,0	74
