--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	26.05.2003
Test Start Time	13:42:33
Test Stop Date	26.05.2003
Test Stop Time	15:47:33
Test Length	2:05:00
Final Sample Time Offset	2:05:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 68(40min); T:90C(40min), tap water, dry-blending
Information	WellID	
Information	Customer	Dragon
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%Diacel FL+0.4%Diacel RPM+0.2gpsEP-120
Information	Density	1940
Information	BHCT	80
Information	BHST	110
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	2:00:00
Calculated Value	70Bc - TT	2:05:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	89 °C
Initial Pressure (MPa)	1,4 MPa
Final Pressure (MPa)	68,9 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	75 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	1,4	19
0:01:00	27	3,6	20
0:02:00	26	5,2	13
0:03:00	27	7,1	13
0:04:00	27	9,4	13
0:05:00	28	10,8	12
0:06:00	30	12,5	12
0:07:00	32	14,1	12
0:08:00	34	15,9	11
0:09:00	36	17,1	10
0:10:00	39	18,6	10
0:11:00	41	20,1	10
0:12:00	43	22,0	10
0:13:00	45	23,4	10
0:14:00	47	24,9	10
0:15:00	48	26,8	10
0:16:00	50	28,4	9
0:17:00	52	29,8	8
0:18:00	54	31,5	8
0:19:00	55	33,3	8
0:20:00	57	34,9	9
0:21:00	59	36,7	8
0:22:00	60	38,5	10
0:23:00	62	39,8	13
0:24:00	63	41,9	8
0:25:00	65	43,3	8
0:26:00	66	44,7	9
0:27:00	68	46,5	8
0:28:00	70	48,3	8
0:29:00	71	49,8	10
0:30:00	73	51,3	8
0:31:00	74	53,2	8
0:32:00	76	54,6	10
0:33:00	77	56,6	13
0:34:00	79	58,1	13
0:35:00	80	59,7	9
0:36:00	82	61,2	8
0:37:00	83	63,0	8
0:38:00	85	64,9	8
0:39:00	86	66,6	8
0:40:00	88	68,2	9
0:41:00	89	66,5	9
0:42:00	91	68,2	9
0:43:00	92	68,4	9
0:44:00	94	68,2	9
0:45:00	95	68,2	9
0:46:00	95	68,0	9
0:47:00	96	67,9	9
0:48:00	96	67,9	9
0:49:00	97	67,9	9
0:50:00	96	68,0	10
0:51:00	96	68,2	10
0:52:00	96	68,0	11
0:53:00	95	68,1	11
0:54:00	95	68,1	11
0:55:00	94	68,0	11
0:56:00	93	68,0	11
0:57:00	92	68,2	11
0:58:00	91	68,1	11
0:59:00	90	68,4	11
1:00:00	89	68,7	11
1:01:00	89	68,8	11
1:02:00	88	68,6	11
1:03:00	88	68,8	10
1:04:00	88	68,7	11
1:05:00	88	68,8	12
1:06:00	88	68,5	12
1:07:00	88	68,6	11
1:08:00	88	68,5	12
1:09:00	89	68,6	11
1:10:00	89	69,0	12
1:11:00	90	68,7	13
1:12:00	90	68,7	13
1:13:00	91	68,6	13
1:14:00	91	68,3	13
1:15:00	92	68,0	13
1:16:00	92	68,2	13
1:17:00	92	68,1	13
1:18:00	92	68,0	14
1:19:00	92	67,9	14
1:20:00	92	68,0	14
1:21:00	92	68,1	14
1:22:00	91	68,4	14
1:23:00	91	68,1	14
1:24:00	91	68,0	14
1:25:00	90	68,2	14
1:26:00	90	68,2	14
1:27:00	90	68,4	14
1:28:00	89	68,5	14
1:29:00	89	68,9	14
1:30:00	89	68,7	13
1:31:00	89	68,4	16
1:32:00	89	68,9	16
1:33:00	89	68,5	15
1:34:00	89	68,8	15
1:35:00	89	69,0	16
1:36:00	89	68,8	16
1:37:00	89	68,9	17
1:38:00	90	69,0	17
1:39:00	90	68,6	17
1:40:00	90	68,6	17
1:41:00	90	68,5	17
1:42:00	90	68,3	18
1:43:00	91	68,2	18
1:44:00	91	68,0	17
1:45:00	91	68,1	18
1:46:00	91	68,1	18
1:47:00	91	68,4	18
1:48:00	90	68,2	19
1:49:00	90	68,1	21
1:50:00	90	68,0	21
1:51:00	90	68,2	22
1:52:00	90	68,1	23
1:53:00	90	68,1	23
1:54:00	90	68,1	25
1:55:00	90	68,2	24
1:56:00	89	68,3	26
1:57:00	89	68,4	30
1:58:00	89	68,5	29
1:59:00	89	68,7	36
2:00:00	89	68,9	37
2:01:00	89	68,3	40
2:02:00	89	68,5	48
2:03:00	89	68,7	62
2:04:00	89	68,8	80
2:05:00	89	68,9	75
