--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	17.12.2003
Test Start Time	16:09:34
Test Stop Date	17.12.2003
Test Stop Time	19:39:34
Test Length	3:30:00
Final Sample Time Offset	3:30:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 30(50min), T: 56C(50min), tap water, Kogalym cement
Information	WellID	1250b/77184u
Information	Customer	TNK-NV
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%Gel+1%SMS+0.2%R-7
Information	Density	1500
Information	BHCT	56
Information	BHST	72
Information	FluidLoss	
Information	JobType	168 mm csg lead slurry
Calculated Value	30Bc - TT	2:53:00
Calculated Value	70Bc - TT	3:30:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	56 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	30,1 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	76 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,5	19
0:01:00	25	2,8	14
0:02:00	26	3,3	20
0:03:00	27	3,7	22
0:04:00	28	4,1	14
0:05:00	29	4,8	14
0:06:00	30	5,4	15
0:07:00	31	6,0	16
0:08:00	32	6,7	16
0:09:00	32	7,3	14
0:10:00	32	7,7	14
0:11:00	33	8,2	17
0:12:00	33	8,7	18
0:13:00	34	9,2	20
0:14:00	34	9,8	21
0:15:00	34	10,3	21
0:16:00	34	11,1	20
0:17:00	35	11,7	18
0:18:00	35	12,2	18
0:19:00	35	12,6	17
0:20:00	35	13,2	18
0:21:00	36	13,9	18
0:22:00	36	14,6	18
0:23:00	37	15,4	18
0:24:00	37	16,2	18
0:25:00	38	16,9	18
0:26:00	39	16,8	18
0:27:00	40	17,6	19
0:28:00	40	18,3	18
0:29:00	41	18,9	19
0:30:00	42	19,6	20
0:31:00	43	20,1	19
0:32:00	44	20,7	19
0:33:00	44	21,2	20
0:34:00	45	21,8	20
0:35:00	46	22,3	19
0:36:00	47	22,8	19
0:37:00	47	23,4	19
0:38:00	48	23,8	19
0:39:00	49	24,4	19
0:40:00	49	24,9	18
0:41:00	50	25,4	19
0:42:00	50	25,9	18
0:43:00	51	26,4	19
0:44:00	52	27,0	19
0:45:00	52	27,4	19
0:46:00	53	28,0	19
0:47:00	54	28,5	20
0:48:00	54	29,1	21
0:49:00	55	29,7	20
0:50:00	56	30,2	20
0:51:00	56	30,5	20
0:52:00	57	30,6	20
0:53:00	57	30,6	20
0:54:00	58	30,4	21
0:55:00	58	30,2	21
0:56:00	58	30,0	21
0:57:00	58	30,1	21
0:58:00	58	30,3	21
0:59:00	58	30,1	21
1:00:00	58	30,3	21
1:01:00	57	30,1	20
1:02:00	57	30,0	21
1:03:00	57	30,0	22
1:04:00	57	29,9	22
1:05:00	57	30,0	23
1:06:00	57	30,2	23
1:07:00	56	30,1	24
1:08:00	56	30,2	23
1:09:00	56	30,1	22
1:10:00	56	30,2	22
1:11:00	56	30,3	23
1:12:00	56	30,2	23
1:13:00	56	30,3	23
1:14:00	56	30,3	22
1:15:00	56	30,4	23
1:16:00	56	30,4	23
1:17:00	56	30,4	23
1:18:00	56	30,4	23
1:19:00	56	30,4	23
1:20:00	56	30,5	23
1:21:00	56	30,4	27
1:22:00	56	30,5	22
1:23:00	56	30,5	22
1:24:00	56	30,5	22
1:25:00	56	30,4	22
1:26:00	56	30,5	24
1:27:00	56	30,5	23
1:28:00	56	30,5	22
1:29:00	56	30,5	27
1:30:00	56	30,4	26
1:31:00	56	30,4	29
1:32:00	56	30,5	29
1:33:00	56	30,5	26
1:34:00	56	30,5	24
1:35:00	56	30,5	23
1:36:00	56	30,5	23
1:37:00	56	30,4	22
1:38:00	56	30,4	22
1:39:00	56	30,5	22
1:40:00	56	30,5	22
1:41:00	56	30,5	22
1:42:00	56	30,5	22
1:43:00	56	30,6	23
1:44:00	56	30,6	23
1:45:00	56	30,5	22
1:46:00	56	30,5	21
1:47:00	56	30,5	21
1:48:00	56	30,5	21
1:49:00	56	30,6	22
1:50:00	56	30,6	22
1:51:00	56	30,5	22
1:52:00	56	30,6	22
1:53:00	56	30,5	22
1:54:00	56	30,5	22
1:55:00	56	30,6	22
1:56:00	56	30,5	21
1:57:00	56	30,5	21
1:58:00	56	30,5	21
1:59:00	56	30,4	21
2:00:00	56	30,5	21
2:01:00	56	30,4	21
2:02:00	56	30,5	21
2:03:00	56	30,5	22
2:04:00	56	30,5	22
2:05:00	56	30,5	22
2:06:00	56	30,4	23
2:07:00	56	30,4	23
2:08:00	56	30,4	23
2:09:00	56	30,5	24
2:10:00	56	30,4	24
2:11:00	56	30,4	24
2:12:00	56	30,4	24
2:13:00	56	30,4	23
2:14:00	56	30,4	27
2:15:00	56	30,4	25
2:16:00	56	30,4	25
2:17:00	56	30,4	25
2:18:00	56	30,4	24
2:19:00	56	30,4	23
2:20:00	56	30,3	23
2:21:00	56	30,3	23
2:22:00	56	30,3	24
2:23:00	56	30,3	24
2:24:00	56	30,3	24
2:25:00	56	30,3	24
2:26:00	56	30,3	24
2:27:00	56	30,2	24
2:28:00	56	30,2	25
2:29:00	56	30,2	26
2:30:00	56	30,1	26
2:31:00	56	30,2	25
