--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	28.03.2003
Test Start Time	12:37:10
Test Stop Date	28.03.2003
Test Stop Time	17:15:18
Test Length	4:38:08
Final Sample Time Offset	4:38:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 15(30min), T: 33C(30min), tap water
Information	WellID	75261-4130
Information	Customer	TNK-NV
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	2%CaCl+1.5%Gel+1.5%SMS
Information	Density	1500
Information	BHCT	33
Information	BHST	41
Information	FluidLoss	
Information	JobType	245 mm csg lead slurry
Calculated Value	30Bc - TT	3:28:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	33 °C
Initial Pressure (MPa)	1,7 MPa
Final Pressure (MPa)	15,2 MPa
Initial Consistency (Bc)	22 Bc
Final Consistency (Bc)	65 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,7	22
0:01:00	24	2,5	27
0:02:00	23	3,1	17
0:03:00	23	3,7	26
0:04:00	24	4,3	25
0:05:00	24	4,8	19
0:06:00	24	5,4	14
0:07:00	25	5,9	18
0:08:00	25	6,3	17
0:09:00	26	6,6	12
0:10:00	26	7,0	17
0:11:00	27	7,3	15
0:12:00	27	7,5	16
0:13:00	28	7,7	16
0:14:00	28	8,3	17
0:15:00	29	8,5	16
0:16:00	29	9,2	18
0:17:00	29	9,3	18
0:18:00	30	10,0	16
0:19:00	30	10,1	16
0:20:00	30	10,8	17
0:21:00	30	11,0	16
0:22:00	31	11,7	20
0:23:00	31	11,9	17
0:24:00	31	12,5	18
0:25:00	32	12,8	18
0:26:00	32	13,3	16
0:27:00	32	13,6	16
0:28:00	32	14,3	17
0:29:00	33	14,9	16
0:30:00	33	15,1	20
0:31:00	33	15,3	18
0:32:00	33	15,3	17
0:33:00	34	15,3	19
0:34:00	34	15,2	17
0:35:00	34	15,0	15
0:36:00	34	15,3	17
0:37:00	34	15,2	16
0:38:00	34	15,1	17
0:39:00	34	15,0	13
0:40:00	33	15,0	15
0:41:00	33	15,3	17
0:42:00	33	15,3	17
0:43:00	33	15,2	17
0:44:00	33	15,3	18
