--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	04.08.2003
Test Start Time	14:07:39
Test Stop Date	04.08.2003
Test Stop Time	16:41:39
Test Length	2:34:00
Final Sample Time Offset	2:34:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 35(30min) T:60(30min), all dry blend
Information	WellID	
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.6%Diacel FL+0.3%Diacel RPM+0.1%LTR-100
Information	Density	1920
Information	BHCT	60
Information	BHST	80
Information	FluidLoss	
Information	JobType	Liner
Calculated Value	30Bc - TT	2:18:00
Calculated Value	70Bc - TT	2:34:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	60 °C
Initial Pressure (MPa)	1,4 MPa
Final Pressure (MPa)	34,9 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	76 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	1,4	6
0:01:00	25	3,0	10
0:02:00	25	4,2	10
0:03:00	26	5,4	8
0:04:00	26	6,6	11
0:05:00	27	8,1	12
0:06:00	28	9,3	12
0:07:00	29	10,5	14
0:08:00	30	11,4	9
0:09:00	32	12,5	6
0:10:00	33	13,8	7
0:11:00	35	14,4	9
0:12:00	37	15,5	8
0:13:00	38	16,5	8
0:14:00	40	17,6	8
0:15:00	41	18,5	8
0:16:00	43	19,7	9
0:17:00	44	20,7	9
0:18:00	45	21,8	9
0:19:00	46	23,0	9
0:20:00	48	24,0	11
0:21:00	49	24,9	10
0:22:00	50	26,3	11
0:23:00	51	27,3	11
0:24:00	52	28,4	11
0:25:00	53	29,4	9
0:26:00	54	30,5	10
0:27:00	55	31,6	8
0:28:00	57	32,8	7
0:29:00	58	33,9	7
0:30:00	59	35,0	7
0:31:00	60	35,7	7
0:32:00	61	35,5	7
0:33:00	62	35,3	7
0:34:00	63	35,0	6
0:35:00	64	35,3	6
0:36:00	64	34,9	6
0:37:00	64	35,1	6
0:38:00	64	34,9	6
0:39:00	64	35,0	7
0:40:00	64	35,0	7
0:41:00	63	34,9	7
0:42:00	63	35,1	7
0:43:00	62	35,0	7
0:44:00	61	35,0	7
0:45:00	61	35,1	7
0:46:00	60	35,2	7
0:47:00	60	35,4	7
0:48:00	60	35,6	7
0:49:00	60	35,7	7
0:50:00	60	35,9	7
0:51:00	60	35,1	7
0:52:00	60	35,3	7
0:53:00	60	35,4	7
0:54:00	60	35,4	7
0:55:00	60	35,5	7
0:56:00	60	35,4	7
0:57:00	60	35,4	7
0:58:00	60	35,4	7
0:59:00	60	35,3	7
1:00:00	61	35,3	7
1:01:00	61	35,2	7
1:02:00	60	35,2	7
1:03:00	60	35,2	7
1:04:00	60	35,1	7
1:05:00	60	35,1	7
1:06:00	60	35,2	7
1:07:00	60	35,1	7
1:08:00	60	35,2	7
1:09:00	60	35,2	7
1:10:00	60	35,2	7
1:11:00	60	35,2	7
1:12:00	60	35,2	7
1:13:00	60	35,3	7
1:14:00	60	35,3	7
1:15:00	60	35,3	7
1:16:00	60	35,3	7
1:17:00	60	35,3	7
1:18:00	60	35,4	8
1:19:00	60	35,3	8
1:20:00	60	35,3	8
1:21:00	60	35,3	8
1:22:00	60	35,3	8
1:23:00	60	35,3	8
1:24:00	60	35,2	8
1:25:00	60	35,3	8
1:26:00	60	35,3	8
1:27:00	60	35,3	8
1:28:00	60	35,3	8
1:29:00	60	35,3	8
1:30:00	60	35,3	8
1:31:00	60	35,3	8
1:32:00	60	35,2	8
1:33:00	60	35,2	8
1:34:00	60	35,3	8
1:35:00	60	35,3	8
1:36:00	60	35,3	8
1:37:00	60	35,3	8
1:38:00	60	35,3	8
1:39:00	60	35,3	9
1:40:00	60	35,2	9
1:41:00	60	35,2	9
1:42:00	60	35,3	9
1:43:00	60	35,3	9
1:44:00	60	35,2	9
1:45:00	60	35,3	9
1:46:00	60	35,2	9
1:47:00	60	35,2	9
1:48:00	60	35,2	9
1:49:00	60	35,3	10
1:50:00	60	35,2	10
1:51:00	60	35,3	10
1:52:00	60	35,3	10
1:53:00	60	35,2	11
1:54:00	60	35,2	11
1:55:00	60	35,2	11
1:56:00	60	35,2	11
1:57:00	60	35,1	11
1:58:00	60	35,2	11
1:59:00	60	35,2	11
2:00:00	60	35,2	11
2:01:00	60	35,2	12
2:02:00	60	35,1	12
2:03:00	60	35,2	13
2:04:00	60	35,1	13
2:05:00	60	35,1	14
2:06:00	60	35,1	14
2:07:00	60	35,1	15
2:08:00	60	35,1	15
2:09:00	60	35,0	16
2:10:00	60	35,0	17
2:11:00	60	35,0	18
2:12:00	60	34,9	19
2:13:00	60	35,3	20
2:14:00	60	35,3	28
2:15:00	60	35,2	29
2:16:00	60	35,2	27
2:17:00	60	35,3	33
2:18:00	60	35,1	38
2:19:00	60	35,2	44
2:20:00	60	35,2	52
2:21:00	60	35,2	58
2:22:00	60	35,1	59
2:23:00	60	35,2	64
2:24:00	60	35,1	69
2:25:00	60	35,1	69
2:26:00	60	35,1	66
2:27:00	60	35,2	65
2:28:00	60	35,1	65
2:29:00	60	35,1	65
2:30:00	60	35,1	65
2:31:00	60	35,1	65
2:32:00	60	35,0	69
2:33:00	60	35,0	73
2:34:00	60	34,9	76
