--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	07.03.2003
Test Start Time	10:41:08
Test Stop Date	07.03.2003
Test Stop Time	16:22:29
Test Length	5:41:21
Final Sample Time Offset	5:41:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 15(30min) T:30(30min)
Information	WellID	
Information	Customer	PetroAlliance
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.5%NaCl+0.5%Diacel FL+0.5%Diacel RPM
Information	Density	1940
Information	BHCT	30
Information	BHST	40
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	31 °C
Initial Pressure (MPa)	1,8 MPa
Final Pressure (MPa)	15,0 MPa
Initial Consistency (Bc)	17 Bc
Final Consistency (Bc)	-2 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	1,8	17
0:01:00	23	2,2	3
0:02:00	23	2,5	4
0:03:00	23	3,2	19
0:04:00	24	3,7	4
0:05:00	24	4,0	2
0:06:00	24	4,5	1
0:07:00	24	5,3	1
0:08:00	24	5,6	3
0:09:00	24	6,1	1
0:10:00	24	6,2	3
0:11:00	24	6,7	2
0:12:00	25	7,3	1
0:13:00	25	7,6	0
0:14:00	25	8,0	2
0:15:00	26	8,6	1
0:16:00	26	8,8	1
0:17:00	27	9,3	2
0:18:00	27	10,0	8
0:19:00	28	10,1	2
0:20:00	28	10,7	2
0:21:00	29	10,9	1
0:22:00	29	11,8	2
0:23:00	29	12,0	1
0:24:00	30	12,6	1
0:25:00	30	12,7	1
0:26:00	30	13,3	1
0:27:00	30	13,6	0
0:28:00	30	14,2	0
0:29:00	30	14,6	1
0:30:00	30	15,3	1
0:31:00	30	15,2	1
0:32:00	30	15,0	1
0:33:00	30	15,3	1
0:34:00	30	15,0	1
0:35:00	30	15,4	1
0:36:00	30	15,0	1
0:37:00	30	15,2	1
0:38:00	30	15,1	1
0:39:00	30	15,2	1
0:40:00	30	15,2	1
0:41:00	30	15,2	1
0:42:00	30	15,2	1
0:43:00	30	14,9	1
0:44:00	30	15,0	1
0:45:00	30	14,9	2
0:46:00	30	14,9	2
0:47:00	30	15,1	2
0:48:00	30	15,2	3
0:49:00	30	15,6	2
0:50:00	30	15,2	2
0:51:00	29	15,2	2
0:52:00	29	15,1	1
0:53:00	29	15,0	1
0:54:00	29	15,0	1
0:55:00	29	15,0	1
0:56:00	29	15,0	1
0:57:00	29	15,1	1
0:58:00	29	15,0	0
0:59:00	30	14,9	0
1:00:00	30	15,3	1
1:01:00	30	15,1	1
1:02:00	30	15,3	1
1:03:00	30	15,0	1
1:04:00	30	14,9	1
1:05:00	30	15,0	1
1:06:00	30	15,2	1
1:07:00	30	15,0	2
1:08:00	30	15,3	4
1:09:00	30	15,0	2
1:10:00	30	15,5	5
1:11:00	30	15,2	2
1:12:00	30	14,9	1
1:13:00	30	15,4	4
1:14:00	30	15,1	2
1:15:00	30	15,6	5
1:16:00	30	15,4	3
1:17:00	30	15,3	2
1:18:00	29	15,2	3
1:19:00	29	15,1	1
1:20:00	29	15,1	1
1:21:00	29	15,0	1
1:22:00	29	14,9	0
1:23:00	30	15,4	2
1:24:00	30	15,2	1
1:25:00	30	15,0	0
1:26:00	30	15,3	1
1:27:00	30	15,3	1
1:28:00	30	14,9	1
1:29:00	30	15,2	1
1:30:00	30	15,4	1
1:31:00	30	15,1	1
1:32:00	30	14,9	1
1:33:00	30	15,2	4
1:34:00	30	15,0	5
1:35:00	30	15,3	5
1:36:00	30	15,1	4
1:37:00	30	14,9	4
1:38:00	30	15,2	3
1:39:00	30	15,2	2
1:40:00	30	15,1	2
1:41:00	30	15,1	2
1:42:00	30	15,2	2
1:43:00	30	15,2	2
1:44:00	30	15,2	2
1:45:00	30	15,1	3
1:46:00	30	15,1	2
1:47:00	30	15,0	2
1:48:00	30	14,9	2
1:49:00	30	15,3	2
1:50:00	30	15,0	3
1:51:00	30	15,3	3
1:52:00	30	15,1	3
1:53:00	30	14,9	3
1:54:00	30	15,3	4
1:55:00	30	15,1	4
1:56:00	30	14,9	3
1:57:00	30	15,4	3
1:58:00	30	15,2	4
1:59:00	30	15,1	3
2:00:00	30	15,0	3
2:01:00	30	15,0	3
2:02:00	30	15,0	2
2:03:00	30	15,0	3
2:04:00	30	15,0	3
2:05:00	30	15,0	3
2:06:00	30	15,0	3
2:07:00	30	15,1	2
2:08:00	30	15,0	2
2:09:00	30	15,0	2
2:10:00	30	14,9	2
2:11:00	30	15,4	2
2:12:00	30	15,2	2
2:13:00	30	14,9	2
2:14:00	30	15,2	2
2:15:00	30	15,0	1
2:16:00	30	15,2	2
2:17:00	30	15,1	2
2:18:00	30	15,0	1
2:19:00	30	15,4	1
2:20:00	30	15,1	1
2:21:00	30	14,9	1
2:22:00	30	15,2	0
2:23:00	30	15,2	1
2:24:00	30	15,0	0
2:25:00	30	15,0	0
2:26:00	30	15,0	0
2:27:00	30	15,0	1
2:28:00	30	15,0	0
2:29:00	30	15,0	0
2:30:00	30	15,0	0
2:31:00	30	14,9	0
2:32:00	30	15,0	0
2:33:00	30	15,4	0
2:34:00	30	15,3	1
2:35:00	30	15,1	1
2:36:00	30	14,9	0
2:37:00	30	15,2	0
2:38:00	30	15,1	0
2:39:00	30	15,4	0
2:40:00	30	15,3	1
2:41:00	30	15,2	1
2:42:00	30	15,0	0
2:43:00	30	14,9	0
2:44:00	30	15,4	1
2:45:00	30	15,3	1
2:46:00	30	15,1	1
2:47:00	30	15,1	1
2:48:00	30	15,0	1
2:49:00	30	15,0	1
2:50:00	30	15,1	1
2:51:00	30	15,0	0
2:52:00	30	15,0	0
2:53:00	30	15,1	0
2:54:00	30	15,1	1
2:55:00	30	15,0	0
2:56:00	30	15,0	0
2:57:00	30	15,3	1
2:58:00	30	15,2	1
2:59:00	30	14,9	0
3:00:00	30	15,3	1
3:01:00	30	15,1	1
3:02:00	30	15,0	1
3:03:00	30	15,3	1
3:04:00	30	15,2	1
3:05:00	30	15,1	1
3:06:00	30	15,0	1
3:07:00	30	14,9	1
3:08:00	30	15,3	1
3:09:00	30	15,2	1
3:10:00	30	15,0	1
3:11:00	30	15,0	1
3:12:00	30	15,3	1
3:13:00	30	15,2	1
3:14:00	30	15,2	1
3:15:00	30	15,2	1
3:16:00	30	15,2	1
3:17:00	30	15,2	1
3:18:00	30	15,2	1
3:19:00	30	15,2	1
3:20:00	30	15,2	1
3:21:00	30	15,1	1
3:22:00	30	15,1	1
3:23:00	30	15,0	1
3:24:00	30	15,3	1
3:25:00	30	15,1	1
3:26:00	30	15,0	1
3:27:00	30	15,2	1
3:28:00	30	14,9	1
3:29:00	30	15,1	1
3:30:00	30	15,4	1
3:31:00	30	15,3	1
3:32:00	30	15,1	1
3:33:00	30	15,0	1
3:34:00	30	15,3	1
3:35:00	30	15,2	1
3:36:00	30	15,1	1
3:37:00	30	15,0	1
3:38:00	30	15,3	1
3:39:00	30	15,2	1
3:40:00	30	15,2	0
3:41:00	30	15,1	0
3:42:00	30	15,0	0
3:43:00	30	15,3	0
3:44:00	30	15,1	-0
3:45:00	30	15,1	-1
3:46:00	30	15,0	-1
3:47:00	30	15,4	-1
3:48:00	30	15,3	-1
3:49:00	30	15,1	-1
3:50:00	30	15,1	-1
3:51:00	30	15,0	-1
3:52:00	30	14,9	-1
3:53:00	30	15,3	0
3:54:00	30	15,2	-0
3:55:00	30	15,2	-0
