--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	17.03.2003
Test Start Time	11:08:50
Test Stop Date	17.03.2003
Test Stop Time	16:54:50
Test Length	5:46:00
Final Sample Time Offset	5:46:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 30(40min) T:70(40min), tap water
Information	WellID	
Information	Customer	PetroAlliance
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.8%Diacel FL+0.8%Diacel RPM
Information	Density	1940
Information	BHCT	70
Information	BHST	
Information	FluidLoss	80cc/30min
Information	JobType	Research
Calculated Value	30Bc - TT	5:36:00
Calculated Value	70Bc - TT	5:46:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	70 °C
Initial Pressure (MPa)	1,2 MPa
Final Pressure (MPa)	30,1 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	89 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	1,2	11
0:01:00	25	2,9	10
0:02:00	25	3,6	10
0:03:00	25	4,7	11
0:04:00	25	5,7	12
0:05:00	26	6,3	17
0:06:00	27	7,1	12
0:07:00	28	7,5	10
0:08:00	30	8,2	14
0:09:00	31	8,9	11
0:10:00	33	9,8	12
0:11:00	34	10,5	11
0:12:00	36	11,1	10
0:13:00	37	11,6	10
0:14:00	39	12,6	9
0:15:00	40	13,1	9
0:16:00	41	13,7	9
0:17:00	43	14,6	9
0:18:00	44	15,3	10
0:19:00	45	16,0	10
0:20:00	47	16,8	9
0:21:00	48	17,2	9
0:22:00	49	18,1	9
0:23:00	50	18,5	9
0:24:00	51	19,5	9
0:25:00	52	19,9	9
0:26:00	53	20,8	9
0:27:00	54	21,0	9
0:28:00	55	22,1	9
0:29:00	56	23,1	9
0:30:00	58	23,3	9
0:31:00	59	24,3	10
0:32:00	60	24,4	10
0:33:00	61	25,4	9
0:34:00	62	26,4	9
0:35:00	63	26,6	9
0:36:00	64	27,7	9
0:37:00	66	28,7	9
0:38:00	67	29,0	9
0:39:00	68	30,0	9
0:40:00	69	30,3	9
0:41:00	70	30,3	9
0:42:00	71	30,5	9
0:43:00	72	30,5	9
0:44:00	72	30,3	9
0:45:00	73	30,1	9
0:46:00	73	30,0	9
0:47:00	73	29,9	9
0:48:00	73	30,1	9
0:49:00	73	30,0	8
0:50:00	72	30,1	8
0:51:00	72	30,1	8
0:52:00	72	30,0	8
0:53:00	72	30,1	8
0:54:00	71	30,0	8
0:55:00	71	30,0	8
0:56:00	71	29,9	8
0:57:00	71	30,1	8
0:58:00	71	30,1	8
0:59:00	71	30,1	8
1:00:00	71	30,2	8
1:01:00	71	30,1	8
1:02:00	70	30,1	8
1:03:00	70	30,1	8
1:04:00	70	30,1	8
1:05:00	70	30,1	8
1:06:00	70	30,1	8
1:07:00	70	30,1	8
1:08:00	70	30,2	8
1:09:00	70	30,1	8
1:10:00	70	30,2	8
1:11:00	70	30,2	8
1:12:00	70	30,2	8
1:13:00	70	30,2	8
1:14:00	70	30,3	8
1:15:00	70	30,3	7
1:16:00	70	30,3	8
1:17:00	70	30,3	8
1:18:00	70	30,4	8
1:19:00	70	30,4	8
1:20:00	70	30,4	8
1:21:00	70	30,3	8
1:22:00	70	30,4	8
1:23:00	70	30,4	8
1:24:00	70	30,4	8
1:25:00	70	30,5	8
1:26:00	70	30,4	8
1:27:00	70	30,4	8
1:28:00	70	30,4	8
1:29:00	70	30,4	8
1:30:00	70	30,4	8
1:31:00	70	30,4	8
1:32:00	70	30,4	8
1:33:00	70	30,5	8
1:34:00	70	30,5	8
1:35:00	70	30,5	8
1:36:00	70	30,5	8
1:37:00	70	30,5	8
1:38:00	70	30,5	8
1:39:00	70	30,5	8
1:40:00	70	30,5	8
1:41:00	70	30,5	8
1:42:00	70	30,5	8
1:43:00	70	30,5	8
1:44:00	70	30,6	8
1:45:00	70	30,5	8
1:46:00	70	30,5	8
1:47:00	70	30,6	8
1:48:00	70	30,5	8
1:49:00	70	30,6	8
1:50:00	70	30,5	8
1:51:00	70	30,5	8
1:52:00	70	30,5	8
1:53:00	70	30,6	8
1:54:00	70	30,5	8
1:55:00	70	30,5	8
1:56:00	70	30,6	8
1:57:00	70	30,6	8
1:58:00	70	30,5	8
1:59:00	70	30,6	8
2:00:00	70	30,5	8
2:01:00	70	30,6	8
2:02:00	70	30,5	8
2:03:00	70	30,6	8
2:04:00	70	30,5	8
2:05:00	70	30,5	8
2:06:00	70	30,6	8
2:07:00	70	30,5	8
2:08:00	70	30,5	8
2:09:00	70	30,5	8
2:10:00	70	30,5	8
2:11:00	70	30,5	8
2:12:00	70	30,5	8
2:13:00	70	30,6	8
2:14:00	70	30,5	8
2:15:00	70	30,5	8
2:16:00	70	30,6	8
2:17:00	70	30,5	8
2:18:00	70	30,6	8
2:19:00	70	30,5	8
2:20:00	70	30,5	8
2:21:00	70	30,6	8
2:22:00	70	30,6	8
2:23:00	70	30,6	8
2:24:00	70	30,6	8
2:25:00	70	30,5	8
2:26:00	70	30,5	8
2:27:00	70	30,6	8
2:28:00	70	30,6	8
2:29:00	70	30,6	8
2:30:00	70	30,6	8
2:31:00	70	30,6	8
2:32:00	70	30,6	8
2:33:00	70	30,6	8
2:34:00	70	30,5	8
2:35:00	70	30,6	8
2:36:00	70	30,6	8
2:37:00	70	30,6	8
2:38:00	70	30,6	8
2:39:00	70	30,5	8
2:40:00	70	30,6	8
2:41:00	70	30,6	8
2:42:00	70	30,6	8
2:43:00	70	30,6	8
2:44:00	70	30,6	8
2:45:00	70	30,5	8
2:46:00	70	30,6	8
2:47:00	70	30,6	8
2:48:00	70	30,6	8
2:49:00	70	30,5	8
2:50:00	70	30,5	8
2:51:00	70	30,6	8
2:52:00	70	30,5	8
