--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	10.10.2003
Test Start Time	12:50:29
Test Stop Date	10.10.2003
Test Stop Time	15:51:19
Test Length	3:00:50
Final Sample Time Offset	3:00:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(40min) T:50(40min)
Information	WellID	27/6788
Information	Customer	Sovetsky
Information	CementClass	A
Information	CementMfr	Sukhoy Log
Information	Additives	1.25%Gel+1.25%SMS+0.27%R-7
Information	Density	1500
Information	BHCT	50
Information	BHST	65
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	30Bc - TT	0:29:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	2,1	13
0:01:00	23	2,8	14
0:02:00	23	3,5	12
0:03:00	23	3,9	17
0:04:00	23	4,5	21
0:05:00	23	5,3	11
0:06:00	23	6,2	16
0:07:00	24	6,9	14
0:08:00	25	7,5	18
0:09:00	26	8,0	15
0:10:00	27	8,7	22
0:11:00	28	9,2	18
0:12:00	29	9,8	18
0:13:00	30	10,2	21
0:14:00	31	10,8	17
0:15:00	32	11,5	41
0:16:00	33	12,1	21
0:17:00	34	12,5	14
0:18:00	35	12,9	24
0:19:00	36	13,5	35
0:20:00	36	13,8	26
0:21:00	37	14,1	31
0:22:00	38	15,0	26
0:23:00	38	15,5	30
0:24:00	39	16,1	23
0:25:00	40	16,7	33
0:26:00	40	17,4	19
0:27:00	41	18,0	26
0:28:00	42	18,5	38
0:29:00	42	19,1	41
0:30:00	43	19,7	30
0:31:00	44	20,3	37
0:32:00	44	20,9	41
0:33:00	45	21,4	39
0:34:00	46	22,0	23
0:35:00	46	22,7	33
0:36:00	47	23,4	24
0:37:00	48	24,0	19
0:38:00	49	24,5	29
0:39:00	49	25,1	14
0:40:00	50	25,6	19
0:41:00	50	25,5	22
0:42:00	51	25,7	16
0:43:00	52	25,5	17
0:44:00	52	25,4	15
0:45:00	52	25,3	16
0:46:00	52	25,1	15
0:47:00	52	25,1	16
0:48:00	52	25,0	15
0:49:00	52	25,1	15
0:50:00	51	24,9	16
0:51:00	51	25,1	15
0:52:00	51	25,0	16
0:53:00	51	25,0	16
0:54:00	51	25,0	15
0:55:00	51	25,2	15
0:56:00	51	25,2	15
0:57:00	51	25,2	15
0:58:00	51	25,1	15
0:59:00	50	25,1	15
1:00:00	50	25,1	15
1:01:00	50	25,1	16
1:02:00	50	25,1	15
1:03:00	50	25,1	15
1:04:00	50	25,1	15
1:05:00	50	25,1	15
1:06:00	50	25,2	15
1:07:00	50	25,1	15
1:08:00	50	25,2	15
1:09:00	50	25,2	15
1:10:00	50	25,3	15
1:11:00	50	25,2	15
1:12:00	50	25,2	15
1:13:00	50	25,2	15
1:14:00	50	25,2	16
1:15:00	50	25,3	16
1:16:00	50	25,2	16
1:17:00	50	25,2	16
1:18:00	50	25,2	16
1:19:00	50	25,2	16
1:20:00	50	25,3	16
1:21:00	50	25,2	16
1:22:00	50	25,3	16
1:23:00	50	25,2	16
1:24:00	50	25,3	16
1:25:00	50	25,2	16
1:26:00	50	25,3	16
1:27:00	50	25,3	16
1:28:00	50	25,3	16
1:29:00	50	25,3	16
1:30:00	50	25,2	16
1:31:00	50	25,2	16
1:32:00	50	25,2	16
1:33:00	50	25,2	16
1:34:00	50	25,2	16
1:35:00	50	25,3	16
1:36:00	50	25,2	16
1:37:00	50	25,2	16
