--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	19.02.2003
Test Start Time	12:51:14
Test Stop Date	19.02.2003
Test Stop Time	17:25:14
Test Length	4:34:00
Final Sample Time Offset	4:34:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min), T: 50C(30min), tap water, Gel without mark
Information	WellID	25/7991
Information	Customer	URAYNEFTEGAZ
Information	CementClass	A
Information	CementMfr	Dyckerhoff
Information	Additives	8%PPB Gel(N/A)+0.7%CD-12+0.1%HR-7
Information	Density	1500
Information	BHCT	50
Information	BHST	67
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	30Bc - TT	3:18:00
Calculated Value	70Bc - TT	4:34:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	1,6 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,6	14
0:01:00	24	2,8	16
0:02:00	24	3,7	15
0:03:00	24	4,6	21
0:04:00	24	5,7	16
0:05:00	25	6,6	16
0:06:00	25	7,5	19
0:07:00	26	8,2	17
0:08:00	27	8,8	18
0:09:00	29	9,6	17
0:10:00	30	10,3	18
0:11:00	31	11,3	18
0:12:00	33	12,1	18
0:13:00	34	12,5	17
0:14:00	35	13,2	16
0:15:00	36	13,9	15
0:16:00	37	14,5	15
0:17:00	38	15,3	14
0:18:00	39	16,0	16
0:19:00	40	16,7	15
0:20:00	41	17,4	14
0:21:00	42	18,1	17
0:22:00	43	19,0	19
0:23:00	44	19,7	20
0:24:00	44	20,5	18
0:25:00	45	21,2	16
0:26:00	46	21,9	16
0:27:00	47	22,6	16
0:28:00	48	23,8	15
0:29:00	49	24,6	15
0:30:00	50	25,3	15
0:31:00	50	25,7	15
0:32:00	51	25,8	15
0:33:00	52	25,8	15
0:34:00	52	25,5	15
0:35:00	52	25,3	16
0:36:00	52	25,1	16
0:37:00	52	25,2	17
0:38:00	52	25,0	18
0:39:00	52	24,9	17
0:40:00	52	25,1	16
0:41:00	52	24,9	20
0:42:00	51	25,1	17
0:43:00	51	25,1	15
0:44:00	51	25,0	16
0:45:00	51	25,0	16
0:46:00	51	24,9	12
0:47:00	50	25,0	12
0:48:00	50	25,1	13
0:49:00	50	25,0	13
0:50:00	50	25,1	14
0:51:00	50	25,2	14
0:52:00	50	25,2	14
0:53:00	50	25,1	16
0:54:00	50	25,2	14
0:55:00	50	25,1	14
0:56:00	50	25,2	15
0:57:00	50	25,3	14
0:58:00	50	25,2	15
0:59:00	50	25,3	15
1:00:00	50	25,3	15
1:01:00	50	25,3	15
1:02:00	50	25,3	16
1:03:00	50	25,3	16
1:04:00	50	25,4	16
1:05:00	50	25,4	16
1:06:00	50	25,4	16
1:07:00	50	25,3	16
1:08:00	50	25,4	15
1:09:00	50	25,3	15
1:10:00	50	25,4	15
1:11:00	50	25,4	15
1:12:00	50	25,5	15
1:13:00	50	25,4	15
1:14:00	50	25,5	15
1:15:00	50	25,4	15
1:16:00	50	25,4	16
1:17:00	50	25,4	15
1:18:00	50	25,4	16
1:19:00	50	25,4	15
1:20:00	50	25,5	16
1:21:00	50	25,4	16
1:22:00	50	25,5	16
1:23:00	50	25,4	16
1:24:00	50	25,5	16
1:25:00	50	25,5	16
1:26:00	50	25,4	16
1:27:00	50	25,4	16
1:28:00	50	25,5	16
1:29:00	50	25,5	16
1:30:00	50	25,4	16
1:31:00	50	25,4	17
1:32:00	50	25,4	16
1:33:00	50	25,4	17
1:34:00	50	25,4	17
1:35:00	50	25,5	16
1:36:00	50	25,5	16
1:37:00	50	25,5	18
1:38:00	50	25,5	17
1:39:00	50	25,5	17
1:40:00	50	25,5	16
1:41:00	50	25,5	16
1:42:00	50	25,5	17
1:43:00	50	25,5	15
1:44:00	50	25,5	18
1:45:00	50	25,5	17
1:46:00	50	25,5	17
1:47:00	50	25,5	17
1:48:00	50	25,4	18
1:49:00	50	25,5	17
1:50:00	50	25,4	16
1:51:00	50	25,5	16
1:52:00	50	25,5	16
1:53:00	50	25,4	16
1:54:00	50	25,5	16
1:55:00	50	25,5	16
1:56:00	50	25,5	16
1:57:00	50	25,5	16
1:58:00	50	25,4	15
1:59:00	50	25,5	15
2:00:00	50	25,5	15
2:01:00	50	25,4	15
2:02:00	50	25,4	15
2:03:00	50	25,5	15
2:04:00	50	25,4	15
2:05:00	50	25,5	15
2:06:00	50	25,5	16
2:07:00	50	25,4	16
2:08:00	50	25,4	16
2:09:00	50	25,5	16
2:10:00	50	25,4	17
2:11:00	50	25,5	16
2:12:00	50	25,0	16
2:13:00	50	25,1	15
2:14:00	50	25,0	15
2:15:00	50	25,1	15
2:16:00	49	25,1	15
2:17:00	49	25,2	15
2:18:00	49	25,3	15
2:19:00	49	25,4	15
2:20:00	49	25,5	15
2:21:00	49	25,6	15
2:22:00	50	25,7	15
2:23:00	50	25,7	15
2:24:00	50	25,8	15
2:25:00	50	25,8	15
2:26:00	50	25,8	15
2:27:00	50	25,8	15
2:28:00	50	25,8	15
2:29:00	50	25,9	15
2:30:00	50	25,8	15
2:31:00	50	25,8	15
2:32:00	50	25,8	15
2:33:00	50	25,8	15
2:34:00	50	25,8	15
2:35:00	50	25,7	15
2:36:00	50	25,7	15
2:37:00	50	25,7	15
2:38:00	50	25,8	15
2:39:00	50	25,7	15
2:40:00	50	25,7	15
2:41:00	50	25,7	15
2:42:00	50	25,7	15
2:43:00	50	25,6	15
2:44:00	50	25,7	15
2:45:00	50	25,6	15
2:46:00	50	25,7	15
2:47:00	50	25,6	15
2:48:00	50	25,6	15
2:49:00	50	25,6	15
2:50:00	50	25,6	15
2:51:00	50	25,6	15
2:52:00	50	25,6	15
2:53:00	50	25,6	16
2:54:00	50	25,6	16
2:55:00	50	25,5	16
2:56:00	50	25,5	16
2:57:00	50	25,6	17
2:58:00	50	25,5	18
2:59:00	50	25,5	18
3:00:00	50	25,5	18
3:01:00	50	25,5	18
3:02:00	50	25,5	18
3:03:00	50	25,5	19
3:04:00	50	25,5	19
3:05:00	50	25,5	20
3:06:00	50	25,5	20
3:07:00	50	25,6	20
3:08:00	50	25,5	23
3:09:00	50	25,3	24
3:10:00	50	24,9	25
3:11:00	50	25,0	26
3:12:00	50	25,0	27
3:13:00	49	25,0	27
3:14:00	49	25,1	28
3:15:00	49	25,2	28
3:16:00	49	25,2	29
3:17:00	50	25,3	30
3:18:00	50	25,3	31
3:19:00	50	25,3	32
3:20:00	50	25,3	32
3:21:00	50	25,3	32
3:22:00	50	25,3	33
3:23:00	50	25,3	33
3:24:00	50	25,2	34
3:25:00	50	25,3	34
3:26:00	50	25,1	35
3:27:00	50	25,2	35
3:28:00	50	25,0	36
3:29:00	50	25,1	36
3:30:00	50	25,3	36
3:31:00	50	25,1	36
3:32:00	50	25,2	36
3:33:00	50	25,2	36
3:34:00	50	25,2	36
3:35:00	50	25,3	36
3:36:00	50	25,3	37
3:37:00	50	25,3	36
3:38:00	50	25,3	37
3:39:00	50	25,2	37
3:40:00	50	25,3	37
3:41:00	50	25,2	37
3:42:00	50	25,2	37
3:43:00	50	25,1	37
3:44:00	50	25,1	37
3:45:00	50	25,1	37
3:46:00	50	25,0	37
3:47:00	50	24,9	37
3:48:00	50	25,0	37
3:49:00	50	25,0	37
3:50:00	50	25,0	37
3:51:00	50	25,0	37
3:52:00	50	25,0	37
3:53:00	50	25,0	37
3:54:00	50	25,0	37
3:55:00	50	24,9	37
3:56:00	50	25,2	37
3:57:00	50	25,2	37
3:58:00	50	25,2	38
3:59:00	50	25,2	38
4:00:00	50	25,0	38
4:01:00	50	25,1	39
4:02:00	50	24,9	40
4:03:00	50	25,1	41
4:04:00	50	25,1	42
