--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	27.03.2003
Test Start Time	10:00:21
Test Stop Date	27.03.2003
Test Stop Time	14:31:44
Test Length	4:31:23
Final Sample Time Offset	4:31:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 28(30min), T: 60C(30min), tap water
Information	WellID	25 / 7971
Information	Customer	URAYNEFTEGAZ
Information	CementClass	A
Information	CementMfr	Sukhoy Log
Information	Additives	8%PPB Gel+0.7%CD-12+0.15%HR-7
Information	Density	1500
Information	BHCT	60
Information	BHST	75
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	30Bc - TT	3:45:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	20 °C
Final Temperature (°C)	60 °C
Initial Pressure (MPa)	2,2 MPa
Final Pressure (MPa)	28,0 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	20	2,2	7
0:01:00	20	3,4	7
0:02:00	20	4,4	7
0:03:00	21	5,8	7
0:04:00	21	6,7	6
0:05:00	22	7,4	6
0:06:00	23	8,5	6
0:07:00	25	9,2	5
0:08:00	27	10,0	5
0:09:00	28	10,9	5
0:10:00	30	12,0	5
0:11:00	32	12,7	7
0:12:00	34	13,6	7
0:13:00	36	14,4	7
0:14:00	38	14,9	6
0:15:00	40	16,0	6
0:16:00	41	17,1	6
0:17:00	43	17,7	6
0:18:00	44	18,7	6
0:19:00	46	19,7	6
0:20:00	47	20,3	6
0:21:00	48	21,4	7
0:22:00	50	22,3	7
0:23:00	51	23,1	7
0:24:00	52	23,4	7
0:25:00	53	24,6	7
0:26:00	55	25,7	7
0:27:00	56	26,0	6
0:28:00	57	27,3	7
0:29:00	58	28,5	7
0:30:00	60	28,8	7
0:31:00	61	28,6	7
0:32:00	62	28,7	7
0:33:00	63	28,5	7
0:34:00	63	28,1	8
0:35:00	64	28,0	7
0:36:00	64	28,0	8
0:37:00	64	27,9	8
0:38:00	64	28,1	8
0:39:00	63	27,9	8
0:40:00	63	28,1	8
0:41:00	63	28,1	8
0:42:00	62	28,0	7
0:43:00	62	28,2	8
0:44:00	62	28,0	8
0:45:00	61	28,0	8
0:46:00	61	28,1	8
0:47:00	61	28,0	8
0:48:00	61	28,1	8
0:49:00	60	28,1	8
0:50:00	60	28,2	8
0:51:00	60	28,2	8
0:52:00	60	28,3	8
0:53:00	60	28,4	8
0:54:00	60	28,5	8
