--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	22.10.2003
Test Start Time	11:19:29
Test Stop Date	22.10.2003
Test Stop Time	14:49:29
Test Length	3:30:00
Final Sample Time Offset	3:30:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(44min), T: 60C(44min)
Information	WellID	10/4262
Information	Customer	URAYNEFTEGAZ
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%Gel+1.25%SMS+0.25%R-7
Information	Density	1500
Information	BHCT	60
Information	BHST	80
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	30Bc - TT	2:53:00
Calculated Value	70Bc - TT	3:30:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	60 °C
Initial Pressure (MPa)	1,8 MPa
Final Pressure (MPa)	25,1 MPa
Initial Consistency (Bc)	38 Bc
Final Consistency (Bc)	79 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	1,8	38
0:01:00	22	2,5	9
0:02:00	22	3,2	7
0:03:00	22	4,0	5
0:04:00	23	4,9	8
0:05:00	23	5,4	5
0:06:00	24	6,0	5
0:07:00	25	6,6	9
0:08:00	26	7,0	10
0:09:00	27	7,3	5
0:10:00	28	7,8	6
0:11:00	29	8,4	5
0:12:00	31	8,9	5
0:13:00	32	9,5	4
0:14:00	33	10,0	4
0:15:00	34	10,6	4
0:16:00	36	10,8	4
0:17:00	37	11,4	4
0:18:00	38	12,1	4
0:19:00	38	12,7	3
0:20:00	39	13,3	4
0:21:00	40	13,4	3
0:22:00	41	14,1	3
0:23:00	42	14,8	3
0:24:00	43	15,0	3
0:25:00	43	15,7	4
0:26:00	44	16,4	4
0:27:00	45	16,5	3
0:28:00	46	17,4	3
0:29:00	47	18,1	4
0:30:00	48	18,4	4
0:31:00	48	19,0	4
0:32:00	49	19,2	3
0:33:00	50	20,0	3
0:34:00	51	20,7	3
0:35:00	52	21,0	3
0:36:00	53	20,9	3
0:37:00	54	21,7	3
0:38:00	55	22,5	27
0:39:00	55	23,1	4
0:40:00	56	23,1	6
0:41:00	57	23,9	7
0:42:00	58	24,7	4
0:43:00	59	24,5	5
0:44:00	60	25,6	4
0:45:00	60	25,2	5
0:46:00	61	25,3	5
0:47:00	62	25,2	5
0:48:00	62	25,0	5
0:49:00	63	25,0	5
0:50:00	63	25,2	4
0:51:00	63	25,1	4
0:52:00	63	25,3	4
0:53:00	63	25,0	5
0:54:00	62	25,2	5
0:55:00	62	25,0	4
0:56:00	62	25,1	5
0:57:00	62	25,0	4
0:58:00	61	25,0	4
0:59:00	61	24,9	4
1:00:00	61	25,4	17
1:01:00	61	25,4	14
1:02:00	61	25,5	7
1:03:00	61	25,5	7
1:04:00	61	25,5	6
1:05:00	60	25,5	6
1:06:00	60	25,5	8
1:07:00	60	25,6	12
1:08:00	60	25,6	6
1:09:00	60	25,6	5
1:10:00	60	25,6	5
1:11:00	60	25,7	5
1:12:00	60	25,8	18
1:13:00	60	25,8	11
1:14:00	60	25,8	9
1:15:00	60	25,8	8
1:16:00	60	25,7	8
1:17:00	60	25,7	8
1:18:00	60	25,8	7
1:19:00	60	25,8	7
1:20:00	60	25,8	7
1:21:00	60	25,8	7
1:22:00	60	25,8	7
1:23:00	60	25,8	7
1:24:00	60	25,8	7
1:25:00	60	25,8	8
1:26:00	60	25,8	8
1:27:00	60	25,8	11
1:28:00	60	25,7	28
1:29:00	60	25,7	8
1:30:00	60	25,7	12
1:31:00	60	25,7	13
1:32:00	60	25,7	10
1:33:00	60	25,7	15
1:34:00	60	25,7	11
1:35:00	60	25,7	9
1:36:00	60	25,7	9
1:37:00	60	25,7	9
1:38:00	60	25,7	9
1:39:00	60	25,7	10
1:40:00	60	25,7	10
1:41:00	60	25,7	12
1:42:00	60	25,7	9
1:43:00	60	25,8	10
1:44:00	60	25,8	10
1:45:00	60	25,7	11
1:46:00	60	25,8	11
1:47:00	60	25,7	11
1:48:00	60	25,8	11
1:49:00	60	25,7	13
1:50:00	60	25,8	20
1:51:00	60	25,8	16
1:52:00	60	25,7	13
1:53:00	60	25,8	13
1:54:00	60	25,7	13
1:55:00	60	25,8	13
1:56:00	60	25,8	13
1:57:00	60	25,7	13
1:58:00	60	25,7	14
1:59:00	60	25,7	14
2:00:00	60	25,8	14
2:01:00	60	25,8	11
2:02:00	60	25,8	15
2:03:00	60	25,8	12
2:04:00	60	25,7	20
2:05:00	60	25,8	15
2:06:00	60	25,8	16
2:07:00	60	25,7	13
2:08:00	60	25,7	13
2:09:00	60	25,7	13
2:10:00	60	25,8	13
2:11:00	60	25,7	13
2:12:00	60	25,7	12
2:13:00	60	25,8	12
2:14:00	60	25,7	12
2:15:00	60	25,7	12
2:16:00	60	25,6	13
2:17:00	60	25,7	15
2:18:00	60	25,7	16
2:19:00	60	25,6	14
2:20:00	60	25,7	15
2:21:00	60	25,6	19
2:22:00	60	25,6	18
2:23:00	60	25,6	19
2:24:00	60	25,6	18
2:25:00	60	25,5	19
2:26:00	60	25,6	19
2:27:00	60	25,6	19
2:28:00	60	25,5	20
2:29:00	60	25,5	20
2:30:00	60	25,5	20
2:31:00	60	25,5	20
2:32:00	60	25,5	21
2:33:00	60	25,5	21
2:34:00	60	25,5	21
2:35:00	60	25,4	22
2:36:00	60	25,4	22
2:37:00	60	25,3	22
2:38:00	60	25,4	23
2:39:00	60	25,3	23
2:40:00	60	25,3	23
2:41:00	60	25,2	23
2:42:00	60	25,3	24
2:43:00	60	25,2	25
2:44:00	60	25,2	25
2:45:00	60	25,1	26
2:46:00	60	25,1	26
2:47:00	60	25,1	27
2:48:00	60	25,1	28
2:49:00	60	25,0	33
2:50:00	60	24,9	29
2:51:00	60	24,9	29
2:52:00	60	25,3	30
2:53:00	60	25,2	30
2:54:00	60	25,2	31
2:55:00	60	25,2	31
2:56:00	60	25,0	60
2:57:00	60	25,0	65
2:58:00	60	24,9	33
2:59:00	60	25,4	37
3:00:00	60	25,4	35
3:01:00	60	25,4	36
3:02:00	60	25,2	36
3:03:00	60	25,2	37
3:04:00	60	25,1	42
3:05:00	60	25,0	41
3:06:00	60	25,3	48
3:07:00	60	25,2	40
3:08:00	60	25,0	40
3:09:00	60	24,9	40
3:10:00	60	25,3	41
3:11:00	60	25,3	42
3:12:00	60	25,2	43
3:13:00	60	25,1	43
3:14:00	60	25,0	44
3:15:00	60	24,9	45
3:16:00	60	24,9	45
3:17:00	60	25,3	51
3:18:00	60	25,2	56
3:19:00	60	25,2	58
3:20:00	60	25,1	63
3:21:00	60	25,0	54
3:22:00	60	24,9	52
3:23:00	60	25,1	64
3:24:00	60	25,0	65
3:25:00	60	25,0	56
3:26:00	60	25,4	64
3:27:00	60	25,3	74
3:28:00	60	25,2	64
3:29:00	60	25,1	79
3:30:00	60	25,1	79
