--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	10.07.2003
Test Start Time	18:01:40
Test Stop Date	10.07.2003
Test Stop Time	22:15:40
Test Length	4:14:00
Final Sample Time Offset	4:14:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min); T: 60C(30min), tap water, dry-blending
Information	WellID	10-4259
Information	Customer	URAYNEFTEGAZ
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	8%Gel+0.7%RPM
Information	Density	1500
Information	BHCT	60
Information	BHST	80
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	30Bc - TT	3:39:00
Calculated Value	70Bc - TT	4:14:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	60 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	2 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	1,5	2
0:01:00	25	3,0	1
0:02:00	25	3,6	0
0:03:00	25	4,7	3
0:04:00	26	5,9	5
0:05:00	26	6,6	-0
0:06:00	28	7,4	2
0:07:00	29	8,2	1
0:08:00	30	9,0	1
0:09:00	32	9,6	1
0:10:00	33	10,5	1
0:11:00	35	11,2	1
0:12:00	37	11,9	1
0:13:00	38	12,2	1
0:14:00	40	13,3	1
0:15:00	41	14,2	1
0:16:00	43	15,1	1
0:17:00	44	15,6	1
0:18:00	45	16,4	1
0:19:00	47	17,3	1
0:20:00	48	18,1	1
0:21:00	49	19,0	1
0:22:00	50	19,5	1
0:23:00	51	20,5	2
0:24:00	52	20,9	2
0:25:00	53	21,8	2
0:26:00	54	22,5	2
0:27:00	55	23,4	2
0:28:00	57	23,7	1
0:29:00	58	24,8	1
0:30:00	59	25,9	1
0:31:00	60	26,0	1
0:32:00	61	25,4	1
0:33:00	62	25,3	1
0:34:00	63	25,2	2
0:35:00	63	24,9	2
0:36:00	64	24,9	2
0:37:00	64	25,1	2
0:38:00	64	24,9	3
0:39:00	63	25,2	2
0:40:00	63	25,0	2
0:41:00	62	25,2	2
0:42:00	62	25,0	2
0:43:00	61	25,2	2
0:44:00	61	25,2	2
0:45:00	61	25,2	1
0:46:00	60	25,3	1
0:47:00	60	25,4	1
0:48:00	60	25,5	2
0:49:00	60	25,6	2
0:50:00	60	25,7	2
0:51:00	60	25,8	2
0:52:00	60	26,0	2
0:53:00	60	25,0	2
0:54:00	60	25,1	2
0:55:00	60	25,2	2
0:56:00	60	25,3	2
0:57:00	60	25,4	2
0:58:00	60	25,3	2
0:59:00	60	25,3	3
1:00:00	60	25,3	2
1:01:00	60	25,3	2
1:02:00	60	25,3	2
1:03:00	60	25,3	2
1:04:00	60	25,3	3
1:05:00	60	25,3	3
1:06:00	60	25,3	2
1:07:00	60	25,3	2
1:08:00	60	25,2	3
1:09:00	60	25,2	2
1:10:00	60	25,3	3
1:11:00	60	25,2	3
1:12:00	60	25,2	2
1:13:00	60	25,2	3
1:14:00	60	25,3	2
1:15:00	60	25,3	2
