--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	31.10.2003
Test Start Time	13:45:22
Test Stop Date	31.10.2003
Test Stop Time	16:42:22
Test Length	2:57:00
Final Sample Time Offset	2:57:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 26 (50min), T: 40C(50min)
Information	WellID	South Pad/well 105
Information	Customer	SeverTEK
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%Diacel FL+0.2%D-19+1%TA-1
Information	Density	1900
Information	BHCT	40
Information	BHST	45
Information	FluidLoss	
Information	JobType	177.8 csg tail slurry
Calculated Value	30Bc - TT	2:33:00
Calculated Value	70Bc - TT	2:57:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	40 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	26,8 MPa
Initial Consistency (Bc)	1 Bc
Final Consistency (Bc)	83 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	2,1	1
0:01:00	27	2,5	1
0:02:00			
0:06:00	28	2,2	2
0:07:00	29	2,6	8
0:08:00	29	3,2	8
0:09:00	30	3,8	3
0:10:00	30	4,2	3
0:11:00	31	4,7	3
0:12:00	31	5,2	3
0:13:00	32	5,7	3
0:14:00	32	6,2	3
0:15:00	32	6,7	2
0:16:00	33	7,1	2
0:17:00	33	7,6	2
0:18:00	33	8,1	2
0:19:00	33	8,6	6
0:20:00	33	9,0	7
0:21:00	33	9,4	9
0:22:00	33	9,9	11
0:23:00	33	10,2	8
0:24:00	33	10,8	8
0:25:00	33	11,6	18
0:26:00	33	12,0	10
0:27:00	33	12,3	8
0:28:00	33	12,7	14
0:29:00	33	13,3	10
0:30:00	33	14,0	12
0:31:00	33	14,2	8
0:32:00	33	14,6	9
0:33:00	34	15,5	12
0:34:00	34	15,8	10
0:35:00	34	16,1	12
0:36:00	34	16,5	11
0:37:00	35	17,3	13
0:38:00	35	17,5	14
0:39:00	35	18,2	14
0:40:00	36	18,4	9
0:41:00	36	19,0	9
0:42:00	36	19,5	12
0:43:00	37	20,1	14
0:44:00	37	20,2	11
0:45:00	37	21,0	12
0:46:00	38	21,6	13
0:47:00	38	22,1	17
0:48:00	38	22,3	11
0:49:00	38	22,9	16
0:50:00	38	23,5	14
0:51:00	39	23,7	9
0:52:00	39	24,2	20
0:53:00	39	24,8	16
0:54:00	39	25,5	25
0:55:00	40	25,6	16
0:56:00	40	26,0	18
0:57:00	40	26,1	12
0:58:00	40	26,1	13
0:59:00	40	26,0	12
1:00:00	40	26,2	6
1:01:00	41	26,1	6
1:02:00	41	25,9	6
1:03:00	41	26,1	6
1:04:00	41	25,9	6
1:05:00	40	26,0	7
1:06:00	40	25,9	7
1:07:00	40	26,0	7
1:08:00	40	26,1	7
1:09:00	40	26,0	7
1:10:00	40	26,1	7
1:11:00	40	26,0	7
1:12:00	40	26,1	7
1:13:00	40	26,1	7
1:14:00	40	26,1	7
1:15:00	40	26,2	7
1:16:00	40	26,2	6
1:17:00	40	26,2	6
1:18:00	40	26,3	6
1:19:00	40	26,3	6
1:20:00	40	26,2	6
