--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	03.02.2003
Test Start Time	14:51:16
Test Stop Date	03.02.2003
Test Stop Time	17:07:00
Test Length	2:15:44
Final Sample Time Offset	2:15:40
Controller Schedule Name	
Sampling Period	20 seconds
Comments	MPa: 55(40min) T:50(10min) 97(30min) Start Squeeze in 40min
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.7%NFL-2+0.5%CD-12
Information	Density	1850
Information	BHCT	97
Information	BHST	97
Information	FluidLoss	
Information	JobType	Hesitation Squeeze
Calculated Value	30Bc - TT	1:50:20
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	98 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	34,5 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	61 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2,1	8
0:00:20	25	2,4	8
0:00:40	24	3,1	8
0:01:00	24	3,4	10
0:01:20	24	4,0	11
0:01:40	24	4,3	12
0:02:00	24	4,9	12
0:02:20	25	5,2	11
0:02:40	25	5,9	12
0:03:00	25	6,5	11
0:03:20	25	7,3	12
0:03:40	25	7,7	11
0:04:00	26	8,3	11
0:04:20	26	8,9	13
0:04:40	27	9,2	12
0:05:00	27	9,5	11
0:05:20	28	10,1	11
0:05:40	28	10,4	11
0:06:00	29	10,7	11
0:06:20	30	11,4	11
0:06:40	31	11,9	11
0:07:00	31	12,2	11
0:07:20	32	12,8	10
0:07:40	33	12,8	10
0:08:00	34	13,6	10
0:08:20	35	13,9	10
0:08:40	36	14,4	9
0:09:00	36	14,7	9
0:09:20	37	15,5	9
0:09:40	38	15,8	9
0:10:00	39	16,1	9
0:10:20	40	16,8	9
0:10:40	41	17,1	9
0:11:00	42	17,5	10
0:11:20	43	17,9	10
0:11:40	44	18,1	9
0:12:00	45	18,8	9
0:12:20	46	19,3	9
0:12:40	47	19,5	8
0:13:00	48	20,1	8
0:13:20	49	20,9	8
0:13:40	49	20,9	8
0:14:00	50	21,4	7
0:14:20	51	22,0	7
0:14:40	52	22,1	8
0:15:00	52	22,6	8
0:15:20	53	23,3	7
0:15:40	54	23,8	8
0:16:00	55	23,7	8
0:16:20	56	24,3	8
0:16:40	56	25,0	8
0:17:00	57	25,4	7
0:17:20	58	25,9	7
0:17:40	58	26,5	8
0:18:00	59	26,5	7
0:18:20	60	27,0	8
0:18:40	60	27,5	7
0:19:00	61	28,2	7
0:19:20	62	28,8	7
0:19:40	62	28,7	7
0:20:00	63	29,1	8
0:20:20	64	29,9	7
0:20:40	64	30,4	7
0:21:00	65	30,6	7
0:21:20	65	31,3	7
0:21:40	66	31,6	7
0:22:00	67	32,2	7
0:22:20	67	32,4	7
0:22:40	68	33,0	7
0:23:00	68	33,4	7
0:23:20	69	33,9	7
0:23:40	70	34,5	7
0:24:00	70	34,9	7
0:24:20	71	34,6	7
0:24:40	71	35,2	7
0:25:00	72	35,8	7
0:25:20	72	36,2	7
0:25:40	73	36,7	7
0:26:00	73	37,0	7
0:26:20	74	37,7	7
0:26:40	74	38,0	7
0:27:00	75	38,5	7
0:27:20	75	38,9	7
0:27:40	76	39,3	7
0:28:00	77	39,8	7
0:28:20	77	40,5	7
0:28:40	78	40,3	7
0:29:00	78	40,6	7
