--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	08.08.2003
Test Start Time	9:07:20
Test Stop Date	08.08.2003
Test Stop Time	12:26:21
Test Length	3:19:01
Final Sample Time Offset	3:19:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 65(50min), T: 60C(15min), 97C(35min), tap water, dry-blending
Information	WellID	24
Information	Customer	Buzuluk
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.2%NFL-2+0.27%HTR-100
Information	Density	1900
Information	BHCT	97
Information	BHST	99.1
Information	FluidLoss	64cc/30min
Information	JobType	139.7 mm csg Continuous Squeeze
Calculated Value	30Bc - TT	0:10:00
Calculated Value	70Bc - TT	3:19:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	96 °C
Initial Pressure (MPa)	1,4 MPa
Final Pressure (MPa)	65,0 MPa
Initial Consistency (Bc)	25 Bc
Final Consistency (Bc)	82 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,4	25
0:01:00	27	3,2	25
0:02:00	27	4,6	25
0:03:00	28	5,7	25
0:04:00	29	7,1	25
0:05:00	30	8,6	25
0:06:00	32	10,2	30
0:07:00	34	11,5	30
0:08:00	36	12,9	28
0:09:00	38	14,0	30
0:10:00	40	15,4	31
0:11:00	42	16,5	30
0:12:00	45	17,8	29
0:13:00	47	18,9	29
0:14:00	50	20,4	28
0:15:00	52	21,3	27
0:16:00	54	22,8	26
0:17:00	57	23,8	26
0:18:00	59	25,5	27
0:19:00	61	26,8	26
0:20:00	63	28,0	26
0:21:00	65	29,0	27
0:22:00	66	30,0	26
0:23:00	68	31,1	27
0:24:00	69	32,3	27
0:25:00	70	33,5	27
0:26:00	72	35,0	27
0:27:00	73	35,9	26
0:28:00	74	37,6	26
0:29:00	75	38,6	26
0:30:00	76	39,8	27
0:31:00	77	41,0	26
0:32:00	78	42,2	28
0:33:00	79	43,6	26
0:34:00	80	44,7	24
0:35:00	81	46,2	22
0:36:00	82	47,4	20
0:37:00	83	48,7	19
0:38:00	84	49,8	19
0:39:00	85	51,3	18
0:40:00	86	52,2	18
0:41:00	87	53,4	18
0:42:00	87	54,8	18
0:43:00	89	56,3	17
0:44:00	90	57,3	17
0:45:00	91	58,4	17
0:46:00	92	60,0	18
0:47:00	93	61,3	21
0:48:00	94	62,5	22
0:49:00	95	63,7	21
0:50:00	96	64,9	21
0:51:00	97	65,9	21
0:52:00	98	65,5	21
0:53:00	98	65,9	21
0:54:00	99	65,6	21
0:55:00	100	64,6	21
0:56:00	100	65,4	22
0:57:00	100	65,2	22
0:58:00	100	65,2	22
0:59:00	101	65,4	22
1:00:00	101	65,5	22
1:01:00	101	65,1	22
1:02:00	101	65,1	22
1:03:00	100	65,1	22
1:04:00	100	65,1	22
1:05:00	100	64,9	21
1:06:00	100	65,2	21
1:07:00	100	65,0	21
1:08:00	100	65,4	21
1:09:00	99	65,1	21
1:10:00	99	65,0	21
1:11:00	99	65,2	20
1:12:00	99	65,4	20
1:13:00	98	65,3	20
1:14:00	98	65,0	20
1:15:00	98	65,3	20
1:16:00	98	65,0	19
1:17:00	98	65,0	19
1:18:00	97	65,3	19
1:19:00	97	65,1	19
1:20:00	97	65,1	19
1:21:00	97	65,1	19
1:22:00	97	64,9	19
1:23:00	97	65,2	19
1:24:00	97	65,1	19
1:25:00	97	64,9	19
1:26:00	97	64,9	19
1:27:00	97	65,2	19
1:28:00	97	65,4	19
1:29:00	97	65,3	19
1:30:00	97	65,3	19
1:31:00	97	65,2	19
1:32:00	97	65,2	20
1:33:00	97	65,0	20
1:34:00	97	65,0	24
1:35:00	97	65,1	24
1:36:00	97	65,3	23
1:37:00	97	64,9	23
1:38:00	97	65,0	23
1:39:00	97	65,2	21
1:40:00	97	65,2	21
1:41:00	97	65,2	21
1:42:00	97	65,3	21
1:43:00	97	65,3	21
1:44:00	97	65,2	21
1:45:00	96	65,3	21
1:46:00	96	65,1	20
1:47:00	96	65,2	20
1:48:00	97	65,0	20
1:49:00	96	65,1	20
1:50:00	96	65,0	21
1:51:00	96	65,1	21
1:52:00	96	64,9	21
1:53:00	97	65,3	21
1:54:00	96	65,0	21
1:55:00	97	65,2	21
1:56:00	97	65,1	21
1:57:00	97	65,3	21
1:58:00	97	65,3	22
1:59:00	97	65,2	23
2:00:00	97	65,2	23
2:01:00	97	65,2	24
2:02:00	96	65,0	24
2:03:00	97	65,1	24
2:04:00	97	65,1	24
2:05:00	96	64,9	24
2:06:00	97	65,1	24
2:07:00	96	65,0	24
2:08:00	96	65,1	24
2:09:00	96	65,2	25
2:10:00	96	65,1	25
2:11:00	96	65,1	25
2:12:00	96	65,2	25
2:13:00	96	65,1	25
