--Test Summary--
Full Path and File Name	
Instrument Name	7222 #2
Instrument Type	Consistometer
Instrument Serial Number	128
Test Start Date	25.10.2002
Test Start Time	21:22:19
Test Stop Date	26.10.2002
Test Stop Time	16:55:59
Test Length	19:33:40
Final Sample Time Offset	19:33:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa:37(0:37) T:61(0:37)
Information	WellID	304
Information	Customer	Evikon-Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.25%SMS+0.25%R-7
Information	Density	1500
Information	BHCT	60
Information	BHST	90
Information	FluidLoss	
Information	JobType	168.3 mm csg Lead slurry
Calculated Value	Thickening_Time	3:39:00
Calculated Value	Setting Time	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	18 °C
Initial Pressure (MPa)	1 MPa
Final Pressure (MPa)	-0 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	-0 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1	5
0:01:00	24	3	3
0:02:00	24	4	10
0:03:00	24	5	3
0:04:00	24	6	6
0:05:00	24	7	15
0:06:00	25	8	14
0:07:00	25	9	17
0:08:00	26	10	16
0:09:00	27	11	13
0:10:00	29	12	14
0:11:00	30	13	11
0:12:00	31	14	17
0:13:00	33	15	11
0:14:00	34	16	8
0:15:00	36	17	10
0:16:00	37	18	13
0:17:00	39	19	16
0:18:00	40	20	13
0:19:00	41	21	6
0:20:00	43	21	9
0:21:00	44	23	6
0:22:00	45	23	6
0:23:00	46	24	5
0:24:00	47	25	6
0:25:00	49	26	6
0:26:00	50	27	10
0:27:00	51	27	9
0:28:00	52	29	6
0:29:00	53	29	5
0:30:00	54	31	5
0:31:00	55	31	6
0:32:00	56	32	5
0:33:00	57	33	5
0:34:00	58	34	5
0:35:00	59	35	5
0:36:00	60	36	5
0:37:00	61	37	5
0:38:00	62	37	6
0:39:00	63	37	6
0:40:00	63	37	9
0:41:00	64	38	8
0:42:00	65	38	10
0:43:00	65	37	7
0:44:00	65	37	5
0:45:00	65	37	8
0:46:00	65	37	7
0:47:00	65	37	6
0:48:00	65	37	10
0:49:00	65	37	8
0:50:00	65	37	11
0:51:00	64	37	7
0:52:00	64	37	7
0:53:00	64	37	8
0:54:00	63	37	6
0:55:00	63	37	9
0:56:00	63	37	10
0:57:00	63	37	11
0:58:00	63	37	8
0:59:00	62	37	9
1:00:00	62	37	9
1:01:00	62	37	8
1:02:00	62	37	11
1:03:00	62	37	9
1:04:00	62	37	9
1:05:00	62	37	12
1:06:00	62	37	11
1:07:00	61	37	10
1:08:00	61	37	10
1:09:00	61	37	11
1:10:00	61	37	10
1:11:00	61	37	9
1:12:00	61	37	10
1:13:00	62	38	9
1:14:00	62	38	9
1:15:00	61	37	10
1:16:00	62	38	11
1:17:00	62	38	9
1:18:00	62	38	11
1:19:00	62	38	10
1:20:00	62	38	9
1:21:00	62	38	8
1:22:00	62	38	8
1:23:00	62	37	7
1:24:00	62	37	7
1:25:00	62	38	11
1:26:00	62	38	11
1:27:00	62	38	9
1:28:00	61	37	12
1:29:00	62	38	10
1:30:00	61	37	14
1:31:00	61	37	14
1:32:00	61	37	11
1:33:00	61	37	11
1:34:00	61	38	11
1:35:00	61	37	12
1:36:00	61	37	11
1:37:00	61	37	11
1:38:00	61	37	10
1:39:00	61	37	11
1:40:00	61	37	10
1:41:00	61	37	11
1:42:00	61	38	11
1:43:00	61	37	13
1:44:00	61	37	13
1:45:00	61	37	11
1:46:00	61	37	15
1:47:00	61	37	11
1:48:00	61	37	13
1:49:00	61	37	8
1:50:00	61	37	8
1:51:00	61	37	9
1:52:00	61	37	10
1:53:00	61	37	16
1:54:00	61	37	10
1:55:00	61	37	10
1:56:00	61	37	10
1:57:00	61	37	9
1:58:00	61	37	8
1:59:00	61	37	8
2:00:00	61	37	8
2:01:00	61	37	9
2:02:00	61	37	8
2:03:00	61	37	9
2:04:00	61	37	9
2:05:00	61	37	7
2:06:00	61	37	7
2:07:00	61	37	6
2:08:00	61	37	6
2:09:00	61	37	6
2:10:00	61	37	6
2:11:00	61	37	6
2:12:00	61	37	6
2:13:00	61	37	5
2:14:00	61	37	5
2:15:00	61	37	5
2:16:00	61	37	5
2:17:00	61	37	5
2:18:00	61	37	5
2:19:00	61	37	5
2:20:00	61	37	6
2:21:00	61	37	6
2:22:00	61	37	6
2:23:00	61	37	6
2:24:00	61	37	9
2:25:00	61	37	9
2:26:00	61	37	9
2:27:00	61	37	10
2:28:00	61	37	10
2:29:00	61	37	9
2:30:00	61	37	10
2:31:00	61	37	9
2:32:00	61	37	8
2:33:00	61	37	9
2:34:00	61	37	9
2:35:00	61	37	9
2:36:00	61	37	9
2:37:00	61	37	9
2:38:00	61	37	9
2:39:00	61	37	10
2:40:00	61	37	9
2:41:00	61	37	9
2:42:00	61	37	10
2:43:00	61	37	10
2:44:00	61	37	10
2:45:00	61	37	11
2:46:00	61	37	12
2:47:00	61	37	12
2:48:00	61	37	13
2:49:00	61	37	15
2:50:00	61	37	14
2:51:00	61	37	15
2:52:00	61	37	15
2:53:00	61	37	15
2:54:00	61	37	15
2:55:00	61	37	17
2:56:00	61	37	17
2:57:00	61	37	18
2:58:00	61	37	19
2:59:00	61	37	19
3:00:00	61	37	20
3:01:00	61	37	21
3:02:00	61	37	23
3:03:00	61	37	23
3:04:00	61	37	24
3:05:00	61	37	24
3:06:00	61	37	25
3:07:00	61	37	25
3:08:00	61	37	26
3:09:00	61	37	27
3:10:00	61	37	28
3:11:00	61	37	28
3:12:00	61	37	29
3:13:00	61	37	29
3:14:00	61	37	30
3:15:00	61	37	31
3:16:00	61	37	33
3:17:00	61	37	34
3:18:00	61	37	34
3:19:00	61	37	36
3:20:00	61	37	39
3:21:00	61	37	39
3:22:00	61	37	40
3:23:00	61	37	40
3:24:00	61	37	42
3:25:00	61	37	43
3:26:00	61	37	45
3:27:00	61	37	48
3:28:00	61	37	49
3:29:00	61	37	53
3:30:00	61	38	55
3:31:00	61	37	56
3:32:00	61	37	58
3:33:00	61	37	62
3:34:00	61	37	64
3:35:00	61	37	66
3:36:00	61	37	67
3:37:00	61	37	69
3:38:00	61	37	72
3:39:00	61	37	74
3:40:00	61	37	76
3:41:00	61	37	79
3:42:00	61	37	81
3:43:00	61	37	83
3:44:00	61	37	87
3:45:00	61	37	90
3:46:00	61	37	97
3:47:00	61	37	64
3:48:00	62	37	64
3:49:00	62	37	64
3:50:00	62	37	64
3:51:00	62	37	64
3:52:00	63	37	64
3:53:00	63	37	64
3:54:00	63	37	64
3:55:00	63	37	64
3:56:00	63	37	64
3:57:00	63	37	64
3:58:00	63	37	64
3:59:00	64	37	64
4:00:00	64	37	64
4:01:00	64	37	64
4:02:00	64	37	64
4:03:00	64	37	64
4:04:00	64	37	64
4:05:00	64	37	64
4:06:00	64	37	64
4:07:00	64	37	64
4:08:00	64	37	64
4:09:00	64	37	64
4:10:00	64	37	64
4:11:00	64	37	64
4:12:00	64	37	64
4:13:00	64	37	64
4:14:00	64	37	64
4:15:00	64	37	64
4:16:00	64	37	64
4:17:00	64	37	64
4:18:00	64	37	64
4:19:00	63	37	64
4:20:00	63	37	64
4:21:00	63	37	64
4:22:00	63	37	64
4:23:00	63	37	64
4:24:00	63	37	64
4:25:00	63	37	64
4:26:00	63	37	64
4:27:00	63	37	64
4:28:00	63	37	64
4:29:00	63	37	64
4:30:00	62	37	64
4:31:00	62	37	64
4:32:00	62	37	64
4:33:00	62	37	64
4:34:00	62	37	64
4:35:00	62	37	64
4:36:00	62	37	64
4:37:00	62	37	64
4:38:00	62	37	64
4:39:00	61	37	64
4:40:00	61	37	64
