--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	26.03.2003
Test Start Time	11:12:38
Test Stop Date	26.03.2003
Test Stop Time	15:29:39
Test Length	4:17:01
Final Sample Time Offset	4:17:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min0 T:60(30min)
Information	WellID	33-421
Information	Customer	KOGALYMNEFTEGAS
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.7%NFL-2
Information	Density	1850
Information	BHCT	60
Information	BHST	64
Information	FluidLoss	
Information	JobType	Hesitation Squeeze
Calculated Value	30Bc - TT	4:11:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	59 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	45 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	1,5	8
0:01:00	22	2,6	8
0:02:00	22	3,5	8
0:03:00	22	4,5	10
0:04:00	22	5,3	10
0:05:00	23	6,7	7
0:06:00	24	7,5	10
0:07:00	25	8,0	11
0:08:00	26	8,8	8
0:09:00	27	9,6	9
0:10:00	29	10,7	9
0:11:00	31	11,3	10
0:12:00	32	12,0	9
0:13:00	34	12,6	10
0:14:00	36	13,7	10
0:15:00	37	14,3	10
0:16:00	39	15,2	10
0:17:00	40	15,6	10
0:18:00	42	16,8	10
0:19:00	43	17,4	10
0:20:00	45	18,1	10
0:21:00	46	18,7	10
0:22:00	47	19,6	8
0:23:00	49	20,3	8
0:24:00	50	21,1	8
0:25:00	51	21,8	8
0:26:00	53	22,4	8
0:27:00	54	23,2	8
0:28:00	55	24,3	8
0:29:00	56	24,9	8
0:30:00	58	25,7	7
0:31:00	58	25,9	7
0:32:00	58	25,4	10
0:33:00	58	26,0	9
0:34:00	58	25,6	18
0:35:00	58	25,4	6
0:36:00	58	25,6	6
0:37:00	58	25,6	17
0:38:00	59	25,9	11
0:39:00	59	25,8	7
0:40:00	59	25,9	11
0:41:00	63	25,3	10
0:42:00	65	25,2	10
0:43:00	66	25,2	8
0:44:00	67	25,6	9
0:45:00	67	25,1	8
0:46:00	67	25,1	8
0:47:00	67	25,0	8
0:48:00	68	25,2	8
0:49:00	68	25,3	8
0:50:00	68	25,0	8
0:51:00	67	25,3	8
0:52:00	67	25,4	8
0:53:00	67	25,4	8
0:54:00	67	25,0	8
0:55:00	67	25,0	7
0:56:00	66	25,0	8
0:57:00	65	24,9	8
0:58:00	64	25,1	10
0:59:00	63	25,3	10
1:00:00	61	25,0	8
1:01:00	61	25,2	9
1:02:00	60	25,2	9
1:03:00	60	25,1	9
1:04:00	60	25,0	9
1:05:00	59	25,0	11
1:06:00	59	25,3	16
1:07:00	59	25,2	14
1:08:00	59	25,1	14
1:09:00	59	25,1	14
1:10:00	59	25,1	9
1:11:00	59	25,1	7
1:12:00	58	25,1	8
1:13:00	58	25,5	8
1:14:00	58	25,7	10
1:15:00	57	25,9	9
1:16:00	57	25,8	12
1:17:00	57	25,8	16
1:18:00	57	25,9	9
1:19:00	57	25,5	6
1:20:00	57	25,6	13
1:21:00	57	25,9	8
1:22:00	57	25,5	7
1:23:00	57	25,5	7
1:24:00	57	25,6	7
1:25:00	57	25,8	6
1:26:00	58	25,1	6
1:27:00	58	25,1	6
1:28:00	59	24,8	7
1:29:00	60	24,9	7
1:30:00	61	25,4	7
1:31:00	61	25,3	7
1:32:00	62	25,2	7
1:33:00	62	25,0	7
1:34:00	62	25,3	7
1:35:00	62	24,9	6
1:36:00	62	25,0	6
1:37:00	62	24,9	7
1:38:00	62	25,0	7
1:39:00	62	25,2	7
1:40:00	62	24,9	8
1:41:00	62	25,3	7
1:42:00	62	25,1	7
1:43:00	62	25,3	7
1:44:00	61	25,1	7
1:45:00	61	24,9	7
1:46:00	60	25,4	7
1:47:00	60	25,5	7
1:48:00	60	25,5	7
1:49:00	59	25,5	7
1:50:00	59	25,5	7
1:51:00	59	25,6	7
1:52:00	59	25,5	7
1:53:00	59	25,5	7
1:54:00	59	25,5	7
1:55:00	59	25,5	8
1:56:00	59	25,4	8
1:57:00	59	25,6	8
1:58:00	59	25,5	8
1:59:00	59	25,5	7
2:00:00	58	25,7	7
2:01:00	58	25,8	7
2:02:00	58	25,6	9
2:03:00	58	26,0	13
2:04:00	58	25,7	13
2:05:00	58	25,9	13
2:06:00	58	25,9	13
2:07:00	58	25,4	14
2:08:00	58	25,7	12
2:09:00	58	25,5	15
2:10:00	58	25,7	9
2:11:00	59	25,7	8
2:12:00	59	25,7	9
2:13:00	59	25,4	8
2:14:00	59	25,3	8
2:15:00	60	25,3	8
2:16:00	60	25,3	8
2:17:00	60	25,4	8
2:18:00	60	25,3	8
2:19:00	60	25,3	8
2:20:00	60	25,0	8
2:21:00	61	24,9	8
2:22:00	61	25,2	8
2:23:00	61	25,0	8
2:24:00	61	25,3	8
2:25:00	61	24,9	8
2:26:00	61	25,1	8
2:27:00	61	25,1	8
2:28:00	60	25,5	8
2:29:00	60	25,0	8
2:30:00	60	25,0	8
2:31:00	59	25,0	8
2:32:00	59	25,0	8
2:33:00	59	25,0	8
2:34:00	59	25,1	8
2:35:00	59	25,0	8
2:36:00	59	25,0	8
2:37:00	59	25,2	8
2:38:00	59	25,2	8
2:39:00	59	25,4	8
2:40:00	58	25,5	9
2:41:00	59	25,7	9
2:42:00	58	25,7	9
2:43:00	58	25,8	9
2:44:00	58	25,6	8
2:45:00	58	25,9	8
2:46:00	58	25,7	8
2:47:00	58	25,9	10
2:48:00	58	25,6	10
2:49:00	58	25,9	9
2:50:00	58	25,6	8
2:51:00	58	25,9	8
2:52:00	58	25,5	8
2:53:00	59	25,7	8
2:54:00	59	25,6	8
2:55:00	59	25,8	13
2:56:00	59	25,2	12
2:57:00	59	25,3	12
2:58:00	59	25,2	12
2:59:00	60	24,9	12
3:00:00	60	25,2	8
3:01:00	60	25,2	8
3:02:00	60	25,1	8
3:03:00	60	25,1	8
3:04:00	61	25,0	8
3:05:00	61	24,9	8
3:06:00	61	25,1	8
3:07:00	61	25,5	8
3:08:00	61	25,1	8
3:09:00	61	25,1	8
3:10:00	61	25,0	24
3:11:00	60	25,2	16
3:12:00	60	25,2	16
3:13:00	59	25,1	16
3:14:00	59	25,0	16
3:15:00	59	24,9	13
3:16:00	59	25,5	13
3:17:00	59	25,5	14
3:18:00	59	25,5	16
3:19:00	59	25,5	15
3:20:00	59	25,5	14
3:21:00	59	25,6	13
3:22:00	59	25,6	13
3:23:00	59	25,7	13
3:24:00	59	25,7	12
3:25:00	59	25,9	25
3:26:00	58	25,9	20
3:27:00	59	26,0	20
3:28:00	59	25,9	20
3:29:00	59	25,7	20
3:30:00	59	25,9	15
3:31:00	59	25,4	15
3:32:00	59	25,6	15
3:33:00	59	25,8	18
3:34:00	59	25,9	19
3:35:00	59	25,5	19
3:36:00	59	25,6	20
3:37:00	59	25,7	20
3:38:00	59	25,8	20
3:39:00	59	25,3	20
3:40:00	59	25,5	38
3:41:00	59	25,5	25
3:42:00	60	24,9	23
3:43:00	60	25,5	23
3:44:00	60	25,3	23
3:45:00	60	25,2	19
3:46:00	60	25,2	19
3:47:00	60	25,3	19
3:48:00	60	25,3	19
3:49:00	60	25,1	19
3:50:00	60	25,1	19
3:51:00	60	25,0	19
3:52:00	60	25,0	19
3:53:00	60	24,9	19
3:54:00	60	25,2	19
3:55:00	60	25,1	47
3:56:00	60	24,9	30
3:57:00	59	25,0	26
3:58:00	59	25,5	27
3:59:00	59	25,4	26
4:00:00	59	25,3	22
4:01:00	59	25,3	22
4:02:00	59	25,3	23
4:03:00	59	25,3	23
4:04:00	59	25,3	23
4:05:00	59	25,4	23
4:06:00	59	25,4	23
4:07:00	60	25,3	23
4:08:00	60	25,2	23
4:09:00	60	25,2	23
4:10:00	60	25,0	69
4:11:00	59	25,1	45
4:12:00	59	25,2	44
4:13:00	59	25,0	43
4:14:00	59	25,0	43
4:15:00	59	25,1	45
4:16:00	59	25,1	45
4:17:00	59	25,2	45
