--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	27.01.2003
Test Start Time	13:06:04
Test Stop Date	27.01.2003
Test Stop Time	15:43:24
Test Length	2:37:20
Final Sample Time Offset	2:37:20
Controller Schedule Name	
Sampling Period	20 seconds
Comments	MPa: 32 (30min), T: 57C(30min), tap water, dry blending
Information	WellID	462-2/5B
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1%Diacel FL+0.3%DiacelRPM
Information	Density	1940
Information	BHCT	57
Information	BHST	70
Information	FluidLoss	60cc/30min
Information	JobType	Liner cementing job
Calculated Value	30Bc - TT	2:13:20
Calculated Value	70Bc - TT	2:37:20
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	56 °C
Initial Pressure (MPa)	2,0 MPa
Final Pressure (MPa)	32,1 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	2,0	12
0:00:20	24	2,2	13
0:00:40	24	2,6	14
0:01:00	24	3,2	13
0:01:20	23	3,5	13
0:01:40	23	3,8	15
0:02:00	23	4,4	14
0:02:20	23	4,4	13
0:02:40	23	4,8	13
0:03:00	23	5,1	13
0:03:20	23	5,3	13
0:03:40	23	5,7	13
0:04:00	24	6,0	13
0:04:20	24	6,4	14
0:04:40	24	6,8	14
0:05:00	24	7,2	14
0:05:20	24	7,7	13
0:05:40	25	8,1	14
0:06:00	25	8,4	14
0:06:20	25	8,9	14
0:06:40	25	9,3	14
0:07:00	26	9,7	14
0:07:20	26	10,2	16
0:07:40	26	10,4	14
0:08:00	27	10,8	15
0:08:20	27	11,0	18
0:08:40	28	11,6	13
0:09:00	28	11,8	13
0:09:20	29	12,3	13
0:09:40	29	12,5	13
0:10:00	30	13,0	14
0:10:20	30	13,2	14
0:10:40	31	13,5	14
0:11:00	31	14,0	13
0:11:20	32	14,3	14
0:11:40	32	14,3	13
0:12:00	33	14,8	13
0:12:20	33	15,3	12
0:12:40	34	15,6	12
0:13:00	34	15,9	12
0:13:20	35	16,3	12
0:13:40	35	16,5	12
0:14:00	36	16,8	14
0:14:20	36	17,1	14
0:14:40	36	17,5	14
0:15:00	37	18,0	14
0:15:20	37	18,1	14
0:15:40	38	18,5	14
0:16:00	38	18,9	14
0:16:20	39	19,3	13
0:16:40	39	19,5	13
0:17:00	40	19,9	13
0:17:20	40	20,4	13
0:17:40	41	20,8	13
0:18:00	41	21,1	13
0:18:20	42	20,9	13
0:18:40	42	21,4	13
0:19:00	43	21,7	13
0:19:20	43	22,2	13
0:19:40	44	22,6	13
0:20:00	44	22,7	12
0:20:20	44	23,0	12
0:20:40	45	23,4	12
0:21:00	45	23,7	12
0:21:20	46	24,2	12
0:21:40	46	24,5	12
0:22:00	47	24,9	12
0:22:20	47	25,1	12
0:22:40	47	25,5	12
0:23:00	48	25,8	12
0:23:20	48	26,1	12
0:23:40	49	26,3	12
0:24:00	49	26,5	13
0:24:20	49	27,0	13
0:24:40	50	27,3	13
0:25:00	50	27,7	13
0:25:20	50	28,1	13
0:25:40	51	28,2	13
0:26:00	51	28,6	13
0:26:20	51	29,0	13
0:26:40	52	29,4	13
0:27:00	52	29,6	13
0:27:20	53	30,1	13
0:27:40	53	30,3	13
0:28:00	53	30,8	13
0:28:20	54	31,2	13
0:28:40	54	31,4	13
0:29:00	54	31,7	13
0:29:20	55	31,9	13
0:29:40	55	32,3	13
0:30:00	55	32,6	13
0:30:20	56	32,9	13
0:30:40	56	32,5	14
0:31:00	57	32,8	14
0:31:20	57	33,0	14
0:31:40	57	32,5	15
0:32:00	57	32,6	15
0:32:20	58	32,7	14
0:32:40	58	32,8	15
0:33:00	58	32,9	15
0:33:20	59	32,9	15
0:33:40	59	32,9	16
0:34:00	59	32,3	14
0:34:20	59	32,4	11
0:34:40	59	32,3	11
0:35:00	60	32,5	11
0:35:20	60	32,4	11
0:35:40	60	32,4	11
0:36:00	60	32,4	11
0:36:20	60	32,4	11
0:36:40	60	32,5	11
0:37:00	60	32,4	11
