--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	20.08.2003
Test Start Time	9:49:06
Test Stop Date	20.08.2003
Test Stop Time	13:43:06
Test Length	3:54:00
Final Sample Time Offset	3:54:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min) T:50(30min)
Information	WellID	
Information	Customer	PetroAlliance
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.7%Diacel FL+0.7%Diacel RPM
Information	Density	1900
Information	BHCT	50
Information	BHST	65
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	3:37:00
Calculated Value	70Bc - TT	3:54:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	50 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	45 Bc
Final Consistency (Bc)	77 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	2,1	45
0:01:00	23	2,9	18
0:02:00	23	3,7	22
0:03:00	24	4,3	21
0:04:00	24	5,1	17
0:05:00	24	5,7	12
0:06:00	25	6,7	13
0:07:00	25	7,5	12
0:08:00	26	8,3	12
0:09:00	27	9,3	12
0:10:00	28	10,2	12
0:11:00	29	11,0	12
0:12:00	30	11,8	12
0:13:00	32	12,7	12
0:14:00	33	13,5	16
0:15:00	34	14,2	10
0:16:00	35	15,1	12
0:17:00	36	15,7	22
0:18:00	37	16,7	11
0:19:00	38	17,4	13
0:20:00	39	18,2	19
0:21:00	40	18,9	19
0:22:00	41	19,6	19
0:23:00	42	20,4	24
0:24:00	43	21,1	22
0:25:00	44	21,8	16
0:26:00	45	22,7	17
0:27:00	46	23,5	16
0:28:00	47	24,3	16
0:29:00	48	25,0	17
0:30:00	49	25,5	17
0:31:00	49	25,7	17
0:32:00	50	25,4	18
0:33:00	51	25,7	14
0:34:00	51	25,9	13
0:35:00	52	25,7	9
0:36:00	52	26,0	8
0:37:00	52	25,8	8
0:38:00	52	25,9	8
0:39:00	52	25,7	6
0:40:00	52	25,6	7
0:41:00	52	25,6	8
0:42:00	52	25,5	10
0:43:00	52	25,4	19
0:44:00	52	25,4	26
0:45:00	51	25,1	23
0:46:00	51	25,0	12
0:47:00	51	25,0	19
0:48:00	51	24,9	12
0:49:00	51	25,0	8
0:50:00	51	25,3	15
0:51:00	50	25,2	17
0:52:00	50	25,2	9
0:53:00	50	25,1	16
0:54:00	50	25,1	16
0:55:00	50	25,3	16
0:56:00	50	25,0	16
0:57:00	50	25,1	14
0:58:00	50	25,2	16
0:59:00	50	25,2	16
1:00:00	50	25,2	16
1:01:00	50	25,2	16
1:02:00	50	25,1	16
1:03:00	50	25,1	16
1:04:00	50	25,1	16
1:05:00	50	25,1	17
1:06:00	50	25,2	16
1:07:00	50	25,2	16
1:08:00	50	25,2	15
1:09:00	50	25,1	17
1:10:00	50	25,1	17
1:11:00	50	25,2	17
1:12:00	50	25,1	15
1:13:00	50	25,2	15
1:14:00	50	25,1	16
1:15:00	50	25,2	15
1:16:00	50	25,1	16
1:17:00	50	25,2	15
1:18:00	50	25,2	15
1:19:00	50	25,3	15
1:20:00	50	25,3	15
1:21:00	50	25,4	7
1:22:00	49	25,2	14
1:23:00	49	25,2	20
1:24:00	49	25,3	16
1:25:00	49	25,3	17
1:26:00	49	25,4	19
1:27:00	49	25,4	15
1:28:00	49	25,3	15
1:29:00	49	25,2	16
1:30:00	49	25,3	17
1:31:00	49	25,2	16
1:32:00	50	25,3	17
1:33:00	49	25,2	17
1:34:00	49	25,2	17
1:35:00	49	25,4	16
1:36:00	49	25,4	15
1:37:00	49	25,3	14
1:38:00	49	25,3	14
1:39:00	50	25,4	13
1:40:00	50	25,3	13
1:41:00	49	25,3	13
1:42:00	50	25,4	13
1:43:00	50	25,3	14
1:44:00	49	25,3	14
1:45:00	49	25,3	14
1:46:00	49	25,2	14
1:47:00	49	25,3	15
1:48:00	50	25,3	15
1:49:00	50	25,4	14
1:50:00	49	25,3	14
1:51:00	50	25,5	15
1:52:00	50	25,5	15
1:53:00	50	25,5	15
1:54:00	50	25,5	15
1:55:00	49	25,3	14
1:56:00	49	25,5	14
1:57:00	49	25,3	15
1:58:00	49	25,5	15
1:59:00	49	25,4	15
2:00:00	49	25,3	14
2:01:00	49	25,2	14
2:02:00	49	25,3	14
2:03:00	49	25,4	14
2:04:00	49	25,4	14
2:05:00	49	25,4	15
2:06:00	49	25,4	19
2:07:00	49	25,2	15
2:08:00	49	25,4	15
2:09:00	49	25,4	15
2:10:00	50	25,5	15
2:11:00	49	25,4	15
2:12:00	50	25,4	15
2:13:00	49	25,4	15
2:14:00	49	25,3	14
2:15:00	49	25,4	14
2:16:00	49	25,4	14
2:17:00	50	25,5	14
2:18:00	50	25,4	14
2:19:00	50	25,5	14
2:20:00	49	25,3	14
2:21:00	49	25,3	14
2:22:00	49	25,3	14
2:23:00	49	25,4	14
2:24:00	49	25,4	14
2:25:00	49	25,3	14
2:26:00	50	25,5	14
2:27:00	49	25,4	14
2:28:00	49	25,3	14
2:29:00	49	25,3	14
2:30:00	50	25,4	14
2:31:00	50	25,5	14
2:32:00	49	25,3	14
2:33:00	49	25,4	14
2:34:00	49	25,2	14
2:35:00	49	25,5	14
2:36:00	49	25,4	14
2:37:00	49	25,4	14
2:38:00	49	25,3	14
2:39:00	49	25,3	14
2:40:00	49	25,4	14
2:41:00	49	25,5	14
2:42:00	49	25,4	15
2:43:00	49	25,5	15
2:44:00	49	25,4	15
2:45:00	49	25,2	14
2:46:00	49	25,4	14
2:47:00	49	25,5	14
2:48:00	49	25,3	14
2:49:00	49	25,4	14
2:50:00	49	25,2	14
2:51:00	49	25,4	14
2:52:00	49	25,4	14
2:53:00	50	25,4	13
2:54:00	49	25,2	14
2:55:00	49	25,4	14
2:56:00	49	25,4	13
2:57:00	49	25,4	14
2:58:00	49	25,2	14
2:59:00	49	25,2	14
