--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	03.04.2003
Test Start Time	16:18:40
Test Stop Date	03.04.2003
Test Stop Time	20:43:41
Test Length	4:25:01
Final Sample Time Offset	4:25:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min); T: 57(30min), tap water, dry-blending, new sample gel
Information	WellID	56-1833
Information	Customer	URAYNEFTEGAZ
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	8%PPB Gel+0.7%CD-12+0.12%HR-7
Information	Density	1500
Information	BHCT	57
Information	BHST	70
Information	FluidLoss	
Information	JobType	146 mm csg lead slurry
Calculated Value	30Bc - TT	3:26:00
Calculated Value	70Bc - TT	4:25:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	56 °C
Initial Pressure (MPa)	1,3 MPa
Final Pressure (MPa)	25,0 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	74 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,3	14
0:01:00	26	2,1	16
0:02:00	27	2,8	15
0:03:00	27	3,1	15
0:04:00	27	3,8	15
0:05:00	28	4,1	15
0:06:00	28	4,4	15
0:07:00	28	3,4	14
0:08:00	28	3,1	14
0:09:00	28	3,7	15
0:10:00	29	4,3	15
0:11:00	29	5,3	14
0:12:00	30	6,2	15
0:13:00	30	6,8	15
0:14:00	31	7,7	16
0:15:00	32	8,6	15
0:16:00	33	9,6	16
0:17:00	34	10,4	17
0:18:00	35	11,3	16
0:19:00	37	12,0	17
0:20:00	38	12,7	17
0:21:00	39	13,6	17
0:22:00	40	14,4	18
0:23:00	41	15,1	18
0:24:00	42	15,6	19
0:25:00	43	16,5	20
0:26:00	45	17,1	21
0:27:00	46	18,1	21
0:28:00	47	18,9	21
0:29:00	48	19,9	24
0:30:00	49	20,3	23
0:31:00	50	20,9	20
0:32:00	51	22,0	22
0:33:00	52	22,7	28
0:34:00	53	23,5	22
0:35:00	54	24,3	22
0:36:00	55	24,7	21
0:37:00	56	25,5	20
0:38:00	57	25,2	20
0:39:00	58	25,8	20
0:40:00	58	26,0	19
